,group
acne_medication,binary
acne_medication_otc,binary
alcohol_consumption,binary
alcohol_types_beercider,binary
alcohol_types_red_wine,binary
alcohol_types_sour_beers,binary
alcohol_types_spiritshard_alcohol,binary
alcohol_types_white_wine,binary
allergic_to_i_have_no_food_allergies_that_i_know_of,binary
allergic_to_other,binary
allergic_to_peanuts,binary
allergic_to_shellfish,binary
allergic_to_tree_nuts,binary
appendix_removed,binary
breastmilk_formula_ensure,binary
cat,binary
chickenpox,binary
consume_animal_products_abx,binary
csection,binary
dog,binary
lactose,binary
livingwith,binary
lowgrain_diet_type,binary
mental_illness,binary
mental_illness_type_anorexia_nervosa,binary
mental_illness_type_bipolar_disorder,binary
mental_illness_type_bulimia_nervosa,binary
mental_illness_type_depression,binary
mental_illness_type_ptsd_posttraumatic_stress_disorder,binary
mental_illness_type_schizophrenia,binary
mental_illness_type_substance_abuse,binary
multivitamin,binary
nail_biter,binary
non_food_allergies_beestings,binary
non_food_allergies_drug_eg_penicillin,binary
non_food_allergies_pet_dander,binary
non_food_allergies_poison_ivyoak,binary
non_food_allergies_sun,binary
other_supplement_frequency,binary
pets_other,binary
pregnant,binary
roommates_in_study,binary
seasonal_allergies,binary
softener,binary
specialized_diet_exclude_dairy,binary
specialized_diet_exclude_nightshades,binary
specialized_diet_exclude_refined_sugars,binary
specialized_diet_fodmap,binary
specialized_diet_halaal,binary
specialized_diet_kosher,binary
specialized_diet_modified_paleo_diet,binary
specialized_diet_other_restrictions_not_described_here,binary
specialized_diet_paleodiet_or_primal_diet,binary
specialized_diet_raw_food_diet,binary
specialized_diet_westenprice_or_other_lowgrain_low_processed_fo,binary
tonsils_removed,binary
alcohol_frequency,frequency
artificial_sweeteners,frequency
cosmetics_frequency,frequency
exercise_frequency,frequency
flossing_frequency,frequency
frozen_dessert_frequency,frequency
fruit_frequency,frequency
high_fat_red_meat_frequency,frequency
homecooked_meals_frequency,frequency
meat_eggs_frequency,frequency
milk_cheese_frequency,frequency
milk_substitute_frequency,frequency
olive_oil,frequency
one_liter_of_water_a_day_frequency,frequency
pool_frequency,frequency
poultry_frequency,frequency
prepared_meals_frequency,frequency
probiotic_frequency,frequency
ready_to_eat_meals_frequency,frequency
red_meat_frequency,frequency
salted_snacks_frequency,frequency
seafood_frequency,frequency
smoking_frequency,frequency
sugar_sweetened_drink_frequency,frequency
sugary_sweets_frequency,frequency
teethbrushing_frequency,frequency
vegetable_frequency,frequency
vitamin_b_supplement_frequency,frequency
vitamin_d_supplement_frequency,frequency
vivid_dreams,frequency
whole_eggs,frequency
whole_grain_frequency,frequency
acid_reflux,disease
add_adhd,disease
alzheimers,disease
asd,disease
autoimmune,disease
cancer,disease
cardiovascular_disease,disease
cdiff,disease
clinical_condition,disease
depression_bipolar_schizophrenia,disease
diabetes,disease
epilepsy_or_seizure_disorder,disease
fungal_overgrowth,disease
ibd,disease
ibs,disease
kidney_disease,disease
liver_disease,disease
lung_disease,disease
migraine,disease
pku,disease
sibo,disease
skin_condition,disease
thyroid,disease
age_cat,other
antibiotic_history,other
bmi_cat,other
bowel_movement_frequency,other
bowel_movement_quality,other
cancer_treatment,other
census_region,other
collection_season,other
contraceptive,other
country,other
diabetes_type,other
diet_type,other
elevation,other
fed_as_infant,other
level_of_education,other
race,other
sex,other
sleep_duration,other
state,other
weight_change,other
country_of_birth,other
country_residence,other
subset_healthy,other
survey_id,other
age_years,regression
age_corrected,regression
bmi,regression
bmi_corrected,regression
weight_kg,regression
longitude,regression
latitude,regression
