Fequency_cohort,Variable,plot_name
alcohol_frequency_daily_cohort,alcohol_frequency,Daily
alcohol_frequency_occasional_cohort,alcohol_frequency,Occasionally 
alcohol_frequency_rare_cohort,alcohol_frequency,Rarely 
alcohol_frequency_regular_cohort,alcohol_frequency,Regularly 
artificial_sweeteners_daily_cohort,artificial_sweeteners,Daily
artificial_sweeteners_occasional_cohort,artificial_sweeteners,Occasionally 
artificial_sweeteners_rare_cohort,artificial_sweeteners,Rarely 
artificial_sweeteners_regular_cohort,artificial_sweeteners,Regularly 
exercise_frequency_daily_cohort,exercise_frequency,Daily
exercise_frequency_occasional_cohort,exercise_frequency,Occasionally 
exercise_frequency_rare_cohort,exercise_frequency,Rarely 
exercise_frequency_regular_cohort,exercise_frequency,Regularly 
fermented_plant_frequency_daily_cohort,fermented_plant_frequency,Daily
fermented_plant_frequency_occasional_cohort,fermented_plant_frequency,Occasionally 
fermented_plant_frequency_rare_cohort,fermented_plant_frequency,Rarely 
fermented_plant_frequency_regular_cohort,fermented_plant_frequency,Regularly 
flossing_frequency_daily_cohort,flossing_frequency,Daily
flossing_frequency_occasional_cohort,flossing_frequency,Occasionally 
flossing_frequency_rare_cohort,flossing_frequency,Rarely 
flossing_frequency_regular_cohort,flossing_frequency,Regularly 
frozen_dessert_frequency_daily_cohort,frozen_dessert_frequency,Daily
frozen_dessert_frequency_occasional_cohort,frozen_dessert_frequency,Occasionally 
frozen_dessert_frequency_rare_cohort,frozen_dessert_frequency,Rarely 
frozen_dessert_frequency_regular_cohort,frozen_dessert_frequency,Regularly 
fruit_frequency_daily_cohort,fruit_frequency,Daily
fruit_frequency_occasional_cohort,fruit_frequency,Occasionally 
fruit_frequency_rare_cohort,fruit_frequency,Rarely 
fruit_frequency_regular_cohort,fruit_frequency,Regularly 
high_fat_red_meat_frequency_daily_cohort,high_fat_red_meat_frequency,Daily
high_fat_red_meat_frequency_occasional_cohort,high_fat_red_meat_frequency,Occasionally 
high_fat_red_meat_frequency_rare_cohort,high_fat_red_meat_frequency,Rarely 
high_fat_red_meat_frequency_regular_cohort,high_fat_red_meat_frequency,Regularly 
homecooked_meals_frequency_daily_cohort,homecooked_meals_frequency,Daily
homecooked_meals_frequency_occasional_cohort,homecooked_meals_frequency,Occasionally 
