Fequency_cohort,Variable,plot_name
alcohol_frequency_daily_cohort,Alcohol Frequency,Daily
alcohol_frequency_occasional_cohort,Alcohol Frequency,Occasionally 
alcohol_frequency_rare_cohort,Alcohol Frequency,Rarely 
alcohol_frequency_regular_cohort,Alcohol Frequency,Regularly 
artificial_sweeteners_daily_cohort,Artificial Sweeteners,Daily
artificial_sweeteners_occasional_cohort,Artificial Sweeteners,Occasionally 
artificial_sweeteners_rare_cohort,Artificial Sweeteners,Rarely 
artificial_sweeteners_regular_cohort,Artificial Sweeteners,Regularly 
exercise_frequency_daily_cohort,Exercise Frequency,Daily
exercise_frequency_occasional_cohort,Exercise Frequency,Occasionally 
exercise_frequency_rare_cohort,Exercise Frequency,Rarely 
exercise_frequency_regular_cohort,Exercise Frequency,Regularly 
fermented_plant_frequency_daily_cohort,Fermented Plant Frequency,Daily
fermented_plant_frequency_occasional_cohort,Fermented Plant Frequency,Occasionally 
fermented_plant_frequency_rare_cohort,Fermented Plant Frequency,Rarely 
fermented_plant_frequency_regular_cohort,Fermented Plant Frequency,Regularly 
flossing_frequency_daily_cohort,Flossing Frequency,Daily
flossing_frequency_occasional_cohort,Flossing Frequency,Occasionally 
flossing_frequency_rare_cohort,Flossing Frequency,Rarely 
flossing_frequency_regular_cohort,Flossing Frequency,Regularly 
frozen_dessert_frequency_daily_cohort,Frozen Dessert Frequency,Daily
frozen_dessert_frequency_occasional_cohort,Frozen Dessert Frequency,Occasionally 
frozen_dessert_frequency_rare_cohort,Frozen Dessert Frequency,Rarely 
frozen_dessert_frequency_regular_cohort,Frozen Dessert Frequency,Regularly 
fruit_frequency_daily_cohort,Fruit Frequency,Daily
fruit_frequency_occasional_cohort,Fruit Frequency,Occasionally 
fruit_frequency_rare_cohort,Fruit Frequency,Rarely 
fruit_frequency_regular_cohort,Fruit Frequency,Regularly 
high_fat_red_meat_frequency_daily_cohort,High Fat Red Meat Frequency,Daily
high_fat_red_meat_frequency_occasional_cohort,High Fat Red Meat Frequency,Occasionally 
high_fat_red_meat_frequency_rare_cohort,High Fat Red Meat Frequency,Rarely 
high_fat_red_meat_frequency_regular_cohort,High Fat Red Meat Frequency,Regularly 
homecooked_meals_frequency_daily_cohort,Homecooked Meals Frequency,Daily
