10317_000001001,ERR1073439
10317_000001004,ERR1072625
10317_000001018,ERR1089664
10317_000001020,ERR1075599
10317_000001022,ERR1074147
10317_000001026,ERR1073066
10317_000001028,ERR1072628
10317_000001030,ERR1075600
10317_000001031,ERR1072629
10317_000001032,ERR1072630
10317_000001038,ERR1072631
10317_000001041,ERR1079918
10317_000001042,ERR1073067
10317_000001046,ERR1072632
10317_000001047,ERR1072633
10317_000001049,ERR1072635
10317_000001056,ERR1072636
10317_000001059,ERR1072638
10317_000001060,ERR1072639
10317_000001065,ERR1072640
10317_000001067,ERR1072641
10317_000001069,ERR1074148
10317_000001072,ERR1073068
10317_000001073,ERR1073069
10317_000001089,ERR1072646
10317_000001097,ERR1072647
10317_000001098,ERR1072648
10317_000001099,ERR1072649
10317_000001100,ERR1072650
10317_000001109,ERR1072651
10317_000001111,ERR1073071
10317_000001115,ERR1072653
10317_000001121,ERR1072656
10317_000001129,ERR1072659
10317_000001138,ERR1072662
10317_000001140,ERR1072663
10317_000001141,ERR1072664
10317_000001142,ERR1072665
10317_000001150,ERR1072666
10317_000001151,ERR1072667
10317_000001154,ERR1072669
10317_000001156,ERR1074152
10317_000001161,ERR1073440
10317_000001166,ERR2032461
10317_000001173,ERR1072673
10317_000001180,ERR1072675
10317_000001182,ERR1073691
10317_000001184,ERR1073692
10317_000001187,ERR1075601
10317_000001189,ERR1072677
10317_000001192,ERR1072678
10317_000001193,ERR1073074
10317_000001196,ERR1072680
10317_000001197,ERR1073075
10317_000001203,ERR1073076
10317_000001205,ERR1073077
10317_000001208,ERR1073693
10317_000001209,ERR1073078
10317_000001216,ERR1072682
10317_000001218,ERR1072683
10317_000001221,ERR1072684
10317_000001230,ERR1250393
10317_000001231,ERR1072687
10317_000001234,ERR1076903
10317_000001240,ERR1073443
10317_000001241,ERR1089667
10317_000001243,ERR1073444
10317_000001246,ERR1072688
10317_000001247,ERR1077262
10317_000001252,ERR1073081
10317_000001255,ERR1073083
10317_000001263,ERR1073084
10317_000001267,ERR1073085
10317_000001270,ERR1074157
10317_000001281,ERR1073086
10317_000001282,ERR1072697
10317_000001285,ERR1072699
10317_000001286,ERR1073087
10317_000001288,ERR1072700
10317_000001299,ERR1077767
10317_000001312,ERR1072709
10317_000001315,ERR1074158
10317_000001321,ERR1073694
10317_000001322,ERR1072712
10317_000001327,ERR1074739
10317_000001328,ERR1073088
10317_000001331,ERR1073089
10317_000001333,ERR1072713
10317_000001334,ERR1073091
10317_000001336,ERR1072714
10317_000001347,ERR1073092
10317_000001350,ERR1072716
10317_000001351,ERR1074957
10317_000001352,ERR1074740
10317_000001353,ERR1072717
10317_000001354,ERR1072718
10317_000001360,ERR1074958
10317_000001362,ERR1072719
10317_000001363,ERR1072720
10317_000001374,ERR1073093
10317_000001376,ERR1073696
10317_000001378,ERR1073445
10317_000001380,ERR1072725
10317_000001384,ERR1073094
10317_000001386,ERR1072726
10317_000001389,ERR1250394
10317_000001390,ERR1074161
10317_000001397,ERR1072727
10317_000001398,ERR1072728
10317_000001399,ERR1072729
10317_000001400,ERR1077768
10317_000001405,ERR1072731
10317_000001408,ERR1074741
10317_000001410,ERR1074164
10317_000001411,ERR1072732
10317_000001422,ERR1072735
10317_000001423,ERR1073097
10317_000001427,ERR1072736
10317_000001436,ERR1072739
10317_000001438,ERR1077770
10317_000001441,ERR1074742
10317_000001446,ERR1072740
10317_000001450,ERR1073699
10317_000001451,ERR1072742
10317_000001464,ERR1089668
10317_000001481,ERR1074959
10317_000001483,ERR1077771
10317_000001487,ERR1072744
10317_000001492,ERR1073100
10317_000001493,ERR1074166
10317_000001496,ERR1074960
10317_000001497,ERR1075603
10317_000001499,ERR1073101
10317_000001500,ERR1073102
10317_000001509,ERR1073103
10317_000001512,ERR1074961
10317_000001513,ERR1073702
10317_000001516,ERR1072747
10317_000001519,ERR1072748
10317_000001520,ERR1073104
10317_000001524,ERR1077808
10317_000001529,ERR1073105
10317_000001531,ERR1072752
10317_000001534,ERR1073446
10317_000001535,ERR1073704
10317_000001538,ERR1072753
10317_000001540,ERR1072754
10317_000001541,ERR1072755
10317_000001542,ERR2303800
10317_000001543,ERR1072756
10317_000001544,ERR1074167
10317_000001545,ERR1072757
10317_000001546,ERR1073705
10317_000001549,ERR1072759
10317_000001551,ERR1072760
10317_000001552,ERR1072761
10317_000001555,ERR1074168
10317_000001556,ERR1072763
