sample_number,pairdist,target,pairID
ERR2405076,0.131268612,1,266
ERR2306210,0.131268612,0,266
ERR2696716,0.172953217,1,251
ERR2056957,0.172953217,0,251
ERR2696583,0.283778579,1,129
ERR2304063,0.283778579,0,129
ERR2303955,0.466826103,1,114
ERR2032171,0.466826103,0,114
ERR2308673,0.594396809,1,229
ERR2306250,0.594396809,0,229
ERR2056881,0.602767852,1,8
ERR2579858,0.602767852,0,8
ERR2697749,0.607394848,1,137
ERR2524124,0.607394848,0,137
ERR1846043,0.63224227,1,157
ERR2304086,0.63224227,0,157
ERR2697067,0.670682242,1,36
ERR2306240,0.670682242,0,36
ERR1846146,0.697429555,1,142
ERR2523932,0.697429555,0,142
ERR2697873,0.738865417,1,45
ERR2056943,0.738865417,0,45
ERR2314098,0.752491998,1,81
ERR2308543,0.752491998,0,81
ERR2308947,0.770209122,1,21
ERR2308809,0.770209122,0,21
ERR2697656,0.780600403,1,218
ERR2523889,0.780600403,0,218
ERR2697930,0.849386184,1,32
ERR1846091,0.849386184,0,32
ERR2318002,0.86169003,1,58
ERR2314201,0.86169003,0,58
ERR1842374,0.865283569,1,77
ERR1845934,0.865283569,0,77
ERR2319898,0.866262469,1,311
ERR2057211,0.866262469,0,311
ERR2698041,0.908486772,1,295
ERR2319509,0.908486772,0,295
ERR2314095,0.917801895,1,193
ERR2304040,0.917801895,0,193
ERR2579551,0.936258335,1,56
ERR2697036,0.936258335,0,56
ERR2697829,1.002521959,1,236
ERR2697740,1.002521959,0,236
ERR1842732,1.006074078,1,208
ERR2092416,1.006074078,0,208
ERR2696525,1.006699393,1,15
ERR2032184,1.006699393,0,15
ERR2318124,1.012226267,1,274
ERR2091954,1.012226267,0,274
ERR2056855,1.019308624,1,20
ERR2696714,1.019308624,0,20
ERR2032837,1.030959935,1,164
ERR2032897,1.030959935,0,164
ERR2579804,1.037706495,1,124
ERR2580090,1.037706495,0,124
ERR2318202,1.047440443,1,101
ERR2308588,1.047440443,0,101
ERR2523955,1.047808343,1,1
ERR2091911,1.047808343,0,1
ERR2032600,1.050061789,1,296
ERR2303978,1.050061789,0,296
ERR2696890,1.057410788,1,191
ERR2697632,1.057410788,0,191
ERR2032328,1.065932344,1,87
ERR2092097,1.065932344,0,87
ERR2319601,1.06865038,1,184
ERR2091889,1.06865038,0,184
ERR2696649,1.097445014,1,74
ERR2032315,1.097445014,0,74
ERR2304144,1.181984093,1,105
ERR2697017,1.181984093,0,105
ERR2304147,1.184338228,1,27
ERR2319406,1.184338228,0,27
ERR2092189,1.196863381,1,103
ERR2032214,1.196863381,0,103
ERR2696739,1.20000101,1,40
ERR1846025,1.20000101,0,40
ERR2032213,1.217812913,1,73
ERR2308649,1.217812913,0,73
ERR2318157,1.250114064,1,26
ERR1845992,1.250114064,0,26
ERR2308824,1.269337642,1,16
ERR2032554,1.269337642,0,16
ERR2696531,1.272335545,1,2
ERR2696606,1.272335545,0,2
ERR2032721,1.311199005,1,120
ERR2308641,1.311199005,0,120
ERR2032406,1.31180705,1,70
ERR2304149,1.31180705,0,70
ERR1854670,1.313700712,1,7
ERR2092153,1.313700712,0,7
ERR2306232,1.316821386,1,145
ERR2032764,1.316821386,0,145
ERR2306177,1.318981599,1,117
ERR2306239,1.318981599,0,117
ERR2032536,1.320289279,1,186
ERR2697987,1.320289279,0,186
ERR1854673,1.335439402,1,11
ERR2698042,1.335439402,0,11
ERR2697719,1.339615879,1,262
ERR2306238,1.339615879,0,262
ERR2405074,1.340300406,1,270
ERR2579406,1.340300406,0,270
ERR1845941,1.341412395,1,133
ERR2405183,1.341412395,0,133
ERR2308944,1.341438568,1,3
ERR2032345,1.341438568,0,3
ERR2404900,1.349368825,1,194
ERR2696664,1.349368825,0,194
ERR2057092,1.351832624,1,10
ERR2405180,1.351832624,0,10
ERR2308651,1.352106711,1,199
ERR2092065,1.352106711,0,199
ERR2696920,1.358791925,1,54
ERR2092369,1.358791925,0,54
ERR2404913,1.362502378,1,162
ERR2057091,1.362502378,0,162
ERR2091978,1.376195283,1,75
ERR2057057,1.376195283,0,75
ERR2697645,1.381930053,1,98
ERR2309201,1.381930053,0,98
ERR2309200,1.38876656,1,100
ERR2579709,1.38876656,0,100
ERR2404965,1.400129392,1,55
ERR2057177,1.400129392,0,55
ERR2523938,1.403110707,1,119
ERR2032193,1.403110707,0,119
ERR2308921,1.404389028,1,38
ERR2092030,1.404389028,0,38
ERR2314089,1.430957639,1,49
ERR2696480,1.430957639,0,49
ERR2032833,1.43267093,1,125
ERR2092104,1.43267093,0,125
ERR2579655,1.441649575,1,136
ERR2032598,1.441649575,0,136
ERR2306103,1.449773481,1,96
ERR2697699,1.449773481,0,96
ERR2057223,1.453642099,1,127
ERR2319585,1.453642099,0,127
ERR2524116,1.480596596,1,217
ERR2303852,1.480596596,0,217
ERR2092204,1.490802927,1,269
ERR2057155,1.490802927,0,269
ERR2032780,1.496481715,1,37
ERR2309199,1.496481715,0,37
ERR2697925,1.497345936,1,17
ERR2579637,1.497345936,0,17
ERR2308930,1.510473783,1,222
ERR2308916,1.510473783,0,222
ERR2308873,1.517091727,1,219
ERR2697690,1.517091727,0,219
ERR2318083,1.524186793,1,147
ERR2318160,1.524186793,0,147
ERR2056908,1.53620953,1,303
ERR1846063,1.53620953,0,303
ERR2314094,1.538058469,1,78
ERR2091834,1.538058469,0,78
ERR1854688,1.539392062,1,94
ERR2308794,1.539392062,0,94
ERR2697633,1.541703588,1,89
ERR2405024,1.541703588,0,89
ERR2057141,1.54218331,1,307
ERR2057169,1.54218331,0,307
ERR2308827,1.553688209,1,248
ERR2304136,1.553688209,0,248
ERR2318052,1.555347725,1,173
ERR2523943,1.555347725,0,173
ERR2308640,1.57083291,1,24
ERR2032347,1.57083291,0,24
ERR2696717,1.57184075,1,83
ERR2309197,1.57184075,0,83
ERR2304009,1.574844984,1,172
ERR2032325,1.574844984,0,172
ERR2579475,1.581292776,1,80
ERR2405383,1.581292776,0,80
ERR2579440,1.628610496,1,211
ERR2032332,1.628610496,0,211
ERR2319580,1.62909082,1,143
ERR2697002,1.62909082,0,143
ERR2304091,1.630948209,1,88
ERR2092307,1.630948209,0,88
ERR2056792,1.632347308,1,22
ERR2092213,1.632347308,0,22
ERR2057147,1.632379795,1,245
ERR2319545,1.632379795,0,245
ERR2404903,1.645818326,1,224
ERR2032205,1.645818326,0,224
ERR2309409,1.652357627,1,152
ERR2579477,1.652357627,0,152
ERR2306256,1.65630588,1,259
ERR2092296,1.65630588,0,259
ERR2056888,1.658074949,1,228
ERR2696605,1.658074949,0,228
ERR2579895,1.667214232,1,275
ERR2579960,1.667214232,0,275
ERR2696589,1.667581152,1,168
ERR2032754,1.667581152,0,168
ERR2696725,1.680359969,1,279
ERR2306108,1.680359969,0,279
ERR2032911,1.696377365,1,289
ERR2308895,1.696377365,0,289
ERR2306253,1.701723619,1,156
ERR2318187,1.701723619,0,156
ERR2056967,1.707038164,1,293
ERR2092017,1.707038164,0,293
ERR2696453,1.707912675,1,149
ERR2306193,1.707912675,0,149
ERR2697558,1.732051985,1,185
ERR2303932,1.732051985,0,185
ERR1854820,1.732255565,1,108
ERR2405372,1.732255565,0,108
ERR2579904,1.739151986,1,154
ERR2308939,1.739151986,0,154
ERR2579715,1.739347221,1,182
ERR2319413,1.739347221,0,182
ERR2309189,1.746483526,1,14
ERR2304183,1.746483526,0,14
ERR2405362,1.760590225,1,254
ERR2580078,1.760590225,0,254
ERR2091864,1.761402624,1,39
ERR2056871,1.761402624,0,39
ERR2032592,1.771241088,1,287
ERR2032576,1.771241088,0,287
ERR2308908,1.787199493,1,210
ERR2696833,1.787199493,0,210
ERR2698935,1.788480091,1,69
ERR2056982,1.788480091,0,69
ERR2057113,1.789115074,1,51
ERR2314215,1.789115074,0,51
ERR2032838,1.798929148,1,35
ERR2319503,1.798929148,0,35
ERR2579562,1.809862931,1,204
ERR2318302,1.809862931,0,204
ERR2314313,1.813228179,1,23
ERR2319228,1.813228179,0,23
ERR2696650,1.819622727,1,231
ERR2696764,1.819622727,0,231
ERR2092274,1.837411594,1,197
ERR1842127,1.837411594,0,197
ERR2057014,1.839073615,1,82
ERR2303970,1.839073615,0,82
ERR2308940,1.840894572,1,155
ERR2306263,1.840894572,0,155
ERR2308806,1.85928187,1,249
ERR2580056,1.85928187,0,249
ERR2405356,1.859696489,1,109
ERR2304182,1.859696489,0,109
ERR2032836,1.869665241,1,48
ERR2579434,1.869665241,0,48
ERR2319326,1.882594934,1,239
ERR2580079,1.882594934,0,239
ERR2697896,1.887887521,1,281
ERR2314056,1.887887521,0,281
ERR2404978,1.91306761,1,59
ERR2319586,1.91306761,0,59
ERR2697020,1.927126856,1,282
ERR2092347,1.927126856,0,282
ERR2309339,1.934659774,1,52
ERR2696969,1.934659774,0,52
ERR2318087,1.950874644,1,237
ERR2303837,1.950874644,0,237
ERR1842707,1.952255202,1,232
ERR2057127,1.952255202,0,232
ERR2308625,1.96024896,1,67
ERR2309187,1.96024896,0,67
ERR2523874,1.960533801,1,46
ERR1846193,1.960533801,0,46
ERR2696445,1.969508849,1,272
ERR2405087,1.969508849,0,272
ERR2308894,1.970298111,1,60
ERR2579930,1.970298111,0,60
ERR2032856,1.971941856,1,170
ERR2057218,1.971941856,0,170
ERR2308954,1.980713233,1,13
ERR2057181,1.980713233,0,13
ERR2319371,1.985672346,1,225
ERR2405046,1.985672346,0,225
ERR2314188,1.987134824,1,107
ERR2314258,1.987134824,0,107
ERR2308646,1.990657002,1,195
ERR2057175,1.990657002,0,195
ERR2314300,2.001160238,1,139
ERR2308774,2.001160238,0,139
ERR2308945,2.003806247,1,4
ERR2032578,2.003806247,0,4
ERR2696694,2.016607479,1,176
ERR2523957,2.016607479,0,176
ERR2309338,2.023551156,1,128
ERR2308846,2.023551156,0,128
ERR1841824,2.034456193,1,183
ERR2696683,2.034456193,0,183
ERR2304084,2.038628523,1,44
ERR2032544,2.038628523,0,44
ERR2308764,2.048743131,1,106
ERR2032902,2.048743131,0,106
ERR2404955,2.050631199,1,6
ERR2405043,2.050631199,0,6
ERR2092109,2.052368054,1,132
ERR1854685,2.052368054,0,132
ERR2306155,2.057544956,1,65
ERR2032857,2.057544956,0,65
ERR2405136,2.057938126,1,102
ERR2304013,2.057938126,0,102
ERR2091975,2.058310402,1,187
ERR2697736,2.058310402,0,187
ERR2696750,2.060919782,1,122
ERR2696521,2.060919782,0,122
