sample_number,pairdist,target,pairID
ERR2524116,0.151633308,1,217
ERR2309310,0.151633308,0,217
ERR2696716,0.172953217,1,251
ERR2056957,0.172953217,0,251
ERR2314094,0.23868727,1,78
ERR2696530,0.23868727,0,78
ERR2696531,0.252660988,1,2
ERR2696918,0.252660988,0,2
ERR2696583,0.283778579,1,129
ERR2304063,0.283778579,0,129
ERR2697930,0.324385793,1,32
ERR2697967,0.324385793,0,32
ERR2306253,0.346016443,1,156
ERR2697052,0.346016443,0,156
ERR2032328,0.40855068,1,87
ERR2579508,0.40855068,0,87
ERR2697873,0.432015323,1,45
ERR2524112,0.432015323,0,45
ERR2092274,0.433860584,1,197
ERR2319307,0.433860584,0,197
ERR2696739,0.453792324,1,40
ERR2405292,0.453792324,0,40
ERR2303955,0.466826103,1,114
ERR2032171,0.466826103,0,114
ERR2696717,0.482428108,1,83
ERR2057056,0.482428108,0,83
ERR2404903,0.484116827,1,224
ERR2308758,0.484116827,0,224
ERR2696525,0.540466773,1,15
ERR2308638,0.540466773,0,15
ERR2579758,0.544026401,1,230
ERR2579653,0.544026401,0,230
ERR2696650,0.56883065,1,231
ERR2405377,0.56883065,0,231
ERR2032536,0.575922545,1,186
ERR2698011,0.575922545,0,186
ERR2308673,0.594396809,1,229
ERR2306250,0.594396809,0,229
ERR2056855,0.608087295,1,20
ERR2698018,0.608087295,0,20
ERR2092048,0.625974673,1,144
ERR2696701,0.625974673,0,144
ERR2523938,0.627826402,1,119
ERR2091839,0.627826402,0,119
ERR2304144,0.659150841,1,105
ERR2319502,0.659150841,0,105
ERR2697067,0.670682242,1,36
ERR2306240,0.670682242,0,36
ERR2304102,0.695283969,1,92
ERR2579373,0.695283969,0,92
ERR1846146,0.697429555,1,142
ERR2523932,0.697429555,0,142
ERR2308947,0.770209122,1,21
ERR2308809,0.770209122,0,21
ERR2304147,0.773252496,1,27
ERR2032137,0.773252496,0,27
ERR2697656,0.780600403,1,218
ERR2523889,0.780600403,0,218
ERR2319601,0.793693225,1,184
ERR2032819,0.793693225,0,184
ERR2696713,0.805240145,1,294
ERR2696462,0.805240145,0,294
ERR2306232,0.806921549,1,145
ERR2698004,0.806921549,0,145
ERR2318002,0.826562318,1,58
ERR2314078,0.826562318,0,58
ERR2309200,0.834888689,1,100
ERR2306225,0.834888689,0,100
ERR2032280,0.852219568,1,42
ERR2092467,0.852219568,0,42
ERR1842374,0.865283569,1,77
ERR1845934,0.865283569,0,77
ERR2579904,0.87387884,1,154
ERR2579529,0.87387884,0,154
ERR2308894,0.876077663,1,60
ERR2318004,0.876077663,0,60
ERR2319326,0.879985163,1,239
ERR2523989,0.879985163,0,239
ERR2697749,0.895601506,1,137
ERR2304038,0.895601506,0,137
ERR2309323,0.901515687,1,235
ERR1854684,0.901515687,0,235
ERR1846043,0.912937662,1,157
ERR2032314,0.912937662,0,157
ERR2579804,0.928302982,1,124
ERR2697056,0.928302982,0,124
ERR2057014,0.942024807,1,82
ERR2696633,0.942024807,0,82
ERR2318083,0.976726208,1,147
ERR2697864,0.976726208,0,147
ERR2032406,0.977691021,1,70
ERR2308909,0.977691021,0,70
ERR2308827,0.98112019,1,248
ERR2056871,0.98112019,0,248
ERR2308940,0.992081662,1,155
ERR2524189,0.992081662,0,155
ERR2314098,0.992800881,1,81
ERR2579960,0.992800881,0,81
ERR2697020,0.996306886,1,282
ERR2697070,0.996306886,0,282
ERR2579551,1.005376292,1,56
ERR2314345,1.005376292,0,56
ERR2308636,1.019195377,1,255
ERR1845974,1.019195377,0,255
ERR2032837,1.030959935,1,164
ERR2032897,1.030959935,0,164
ERR2696723,1.035563491,1,151
ERR2303865,1.035563491,0,151
ERR2405193,1.043688579,1,268
ERR2309403,1.043688579,0,268
ERR2696890,1.057410788,1,191
ERR2697632,1.057410788,0,191
ERR2308806,1.060816049,1,249
ERR2696882,1.060816049,0,249
ERR2032614,1.098855037,1,113
ERR2314099,1.098855037,0,113
ERR2304091,1.107487855,1,88
ERR2032497,1.107487855,0,88
ERR2318052,1.111551485,1,173
ERR2697637,1.111551485,0,173
ERR2314095,1.139163229,1,193
ERR2032201,1.139163229,0,193
ERR2032802,1.149169856,1,258
ERR2032569,1.149169856,0,258
ERR2309332,1.149966435,1,189
ERR1842880,1.149966435,0,189
ERR2404955,1.164737608,1,6
ERR2697976,1.164737608,0,6
ERR2032825,1.171290457,1,123
ERR2405354,1.171290457,0,123
ERR2318177,1.187764334,1,242
ERR2579545,1.187764334,0,242
ERR2092189,1.189944164,1,103
ERR2092307,1.189944164,0,103
ERR2032911,1.228291023,1,289
ERR1854689,1.228291023,0,289
ERR2304084,1.245013945,1,44
ERR2032579,1.245013945,0,44
ERR2697719,1.274052405,1,262
ERR2696509,1.274052405,0,262
ERR2032213,1.277000733,1,73
ERR2579381,1.277000733,0,73
ERR1842732,1.277588367,1,208
ERR2405388,1.277588367,0,208
ERR2697805,1.278338117,1,190
ERR2309184,1.278338117,0,190
ERR2404913,1.281681094,1,162
ERR2092208,1.281681094,0,162
ERR2319371,1.287304514,1,225
ERR2057019,1.287304514,0,225
ERR2032721,1.311199005,1,120
ERR2308641,1.311199005,0,120
ERR2579655,1.321995478,1,136
ERR2308516,1.321995478,0,136
ERR2696560,1.324015845,1,115
ERR1845976,1.324015845,0,115
ERR2032286,1.337891882,1,292
ERR2308881,1.337891882,0,292
ERR2405074,1.340300406,1,270
ERR2579406,1.340300406,0,270
ERR1845941,1.341412395,1,133
ERR2405183,1.341412395,0,133
ERR2308944,1.341438568,1,3
ERR2032345,1.341438568,0,3
ERR2404900,1.349368825,1,194
ERR2696664,1.349368825,0,194
ERR2308646,1.3504887,1,195
ERR2032228,1.3504887,0,195
ERR2057092,1.351832624,1,10
ERR2405180,1.351832624,0,10
ERR2308651,1.352106711,1,199
ERR2092065,1.352106711,0,199
ERR2696920,1.358791925,1,54
ERR2092369,1.358791925,0,54
ERR2032592,1.367030101,1,287
ERR2308750,1.367030101,0,287
ERR2697896,1.36946555,1,281
ERR2697695,1.36946555,0,281
ERR2696445,1.370520591,1,272
ERR2304179,1.370520591,0,272
ERR2092344,1.372174125,1,263
ERR2057207,1.372174125,0,263
ERR2032833,1.396596084,1,125
ERR1854809,1.396596084,0,125
ERR2696677,1.400793161,1,285
ERR2579662,1.400793161,0,285
ERR2308945,1.403977034,1,4
ERR2696754,1.403977034,0,4
ERR2405136,1.413642553,1,102
ERR2319430,1.413642553,0,102
ERR2056792,1.425126373,1,22
ERR2057043,1.425126373,0,22
ERR2091864,1.427515343,1,39
ERR2057110,1.427515343,0,39
ERR2698935,1.428595845,1,69
ERR1854680,1.428595845,0,69
ERR2318185,1.430734407,1,131
ERR2092099,1.430734407,0,131
ERR2314089,1.430957639,1,49
ERR2696480,1.430957639,0,49
ERR2696750,1.43418531,1,122
ERR2308658,1.43418531,0,122
ERR2579921,1.437738329,1,9
ERR1845852,1.437738329,0,9
ERR2308921,1.441213281,1,38
ERR2091872,1.441213281,0,38
ERR2092109,1.447341477,1,132
ERR2405124,1.447341477,0,132
ERR2697563,1.452472744,1,227
ERR2306157,1.452472744,0,227
ERR2057223,1.45943046,1,127
ERR2092296,1.45943046,0,127
ERR2309189,1.459875433,1,14
ERR2524098,1.459875433,0,14
ERR2306177,1.477882955,1,117
ERR2303932,1.477882955,0,117
ERR2697925,1.486528142,1,17
ERR2318161,1.486528142,0,17
ERR2308930,1.487716759,1,222
ERR2405177,1.487716759,0,222
ERR2032780,1.496481715,1,37
ERR2309199,1.496481715,0,37
ERR2404978,1.500798406,1,59
ERR2319454,1.500798406,0,59
ERR2696725,1.512814846,1,279
ERR2319363,1.512814846,0,279
ERR2318157,1.538924108,1,26
ERR2697834,1.538924108,0,26
ERR1854688,1.539392062,1,94
ERR2308794,1.539392062,0,94
ERR2404919,1.543670751,1,278
ERR2314305,1.543670751,0,278
ERR2309338,1.550265541,1,128
ERR2308768,1.550265541,0,128
ERR2318087,1.551491664,1,237
ERR2587834,1.551491664,0,237
ERR2405336,1.552371991,1,141
ERR2579912,1.552371991,0,141
ERR1854820,1.560977062,1,108
ERR2308926,1.560977062,0,108
ERR2697829,1.567084237,1,236
ERR2697714,1.567084237,0,236
ERR1854670,1.567855365,1,7
ERR2092266,1.567855365,0,7
ERR1854810,1.568720602,1,29
ERR2317998,1.568720602,0,29
ERR2308931,1.58443498,1,291
ERR2032576,1.58443498,0,291
ERR2308625,1.607782184,1,67
ERR1845937,1.607782184,0,67
ERR2056881,1.610349542,1,8
ERR2032176,1.610349542,0,8
ERR2696649,1.619422842,1,74
ERR2303879,1.619422842,0,74
ERR2033474,1.624067745,1,91
ERR2405162,1.624067745,0,91
ERR2579440,1.628610496,1,211
ERR2032332,1.628610496,0,211
ERR2319580,1.62909082,1,143
ERR2697002,1.62909082,0,143
ERR2319281,1.631069495,1,118
ERR2308862,1.631069495,0,118
ERR2057147,1.632379795,1,245
ERR2319545,1.632379795,0,245
ERR2306109,1.638426745,1,200
ERR2303970,1.638426745,0,200
ERR2314188,1.644960194,1,107
ERR2308568,1.644960194,0,107
ERR2032836,1.645667285,1,48
ERR2092191,1.645667285,0,48
ERR2309409,1.652357627,1,152
ERR2579477,1.652357627,0,152
ERR2309364,1.655359785,1,198
ERR2314159,1.655359785,0,198
ERR2308640,1.656778309,1,24
ERR2057161,1.656778309,0,24
ERR2697645,1.664729442,1,98
ERR1842836,1.664729442,0,98
ERR2306206,1.664955081,1,207
ERR2696517,1.664955081,0,207
ERR2308873,1.66591918,1,219
ERR2579883,1.66591918,0,219
ERR2314252,1.673857569,1,135
ERR2405260,1.673857569,0,135
ERR2579501,1.675468172,1,243
ERR2319591,1.675468172,0,243
ERR1854738,1.677545762,1,72
ERR2091972,1.677545762,0,72
ERR2314313,1.67841676,1,23
ERR2057221,1.67841676,0,23
ERR2056993,1.695455903,1,174
ERR2405038,1.695455903,0,174
ERR2308824,1.707663237,1,16
ERR2698045,1.707663237,0,16
ERR2696453,1.707912675,1,149
ERR2306193,1.707912675,0,149
ERR2091978,1.710389086,1,75
ERR2579650,1.710389086,0,75
ERR2697558,1.720514657,1,185
ERR1854666,1.720514657,0,185
ERR2308908,1.721534844,1,210
ERR2303846,1.721534844,0,210
ERR2696589,1.726916275,1,168
ERR2304045,1.726916275,0,168
ERR2696694,1.733483744,1,176
ERR2303964,1.733483744,0,176
ERR2319505,1.737018837,1,201
ERR1845928,1.737018837,0,201
ERR2579715,1.739347221,1,182
ERR2319413,1.739347221,0,182
ERR2697075,1.746298455,1,286
ERR2304011,1.746298455,0,286
ERR2405362,1.760590225,1,254
ERR2580078,1.760590225,0,254
ERR2318124,1.765151914,1,274
ERR2314132,1.765151914,0,274
ERR2033463,1.766095492,1,126
ERR2579525,1.766095492,0,126
ERR2579895,1.766989105,1,275
ERR2308857,1.766989105,0,275
ERR2091975,1.772148703,1,187
ERR2696714,1.772148703,0,187
ERR2057113,1.789115074,1,51
ERR2314215,1.789115074,0,51
ERR2309326,1.795783667,1,5
ERR2306095,1.795783667,0,5
ERR1842707,1.810044825,1,232
ERR2032266,1.810044825,0,232
ERR2033466,1.812110953,1,205
ERR2697006,1.812110953,0,205
ERR2314209,1.827710464,1,111
ERR2697810,1.827710464,0,111
ERR2319490,1.830610877,1,158
ERR2057079,1.830610877,0,158
ERR2405366,1.841079645,1,256
ERR2314326,1.841079645,0,256
ERR2306163,1.842643166,1,293
ERR2319549,1.842643166,0,293
ERR2696520,1.867095569,1,240
ERR1842627,1.867095569,0,240
ERR2579475,1.871516157,1,80
ERR2404947,1.871516157,0,80
ERR2032838,1.880067961,1,35
ERR2304089,1.880067961,0,35
ERR2318202,1.884715293,1,101
