sample_number,pairdist,target,pairID
ERR2314089,0.343715671,1,49
ERR2306219,0.343715671,0,49
ERR2032406,0.395399001,1,70
ERR2587833,0.395399001,0,70
ERR2308764,0.443116337,1,106
ERR2697023,0.443116337,0,106
ERR2032780,0.527699155,1,37
ERR2523979,0.527699155,0,37
ERR1842374,0.576434243,1,77
ERR2579898,0.576434243,0,77
ERR2697930,0.57989324,1,32
ERR2524125,0.57989324,0,32
ERR2304147,0.582994021,1,27
ERR1846172,0.582994021,0,27
ERR2319601,0.644212973,1,184
ERR2032561,0.644212973,0,184
ERR2579804,0.664378225,1,124
ERR2306116,0.664378225,0,124
ERR2696525,0.684261645,1,15
ERR1846011,0.684261645,0,15
ERR1846043,0.705663493,1,157
ERR2696985,0.705663493,0,157
ERR2579715,0.730209812,1,182
ERR2304047,0.730209812,0,182
ERR2697873,0.738865417,1,45
ERR2056943,0.738865417,0,45
ERR1845941,0.76058156,1,133
ERR2405143,0.76058156,0,133
ERR2697749,0.773401664,1,137
ERR2091860,0.773401664,0,137
ERR2304091,0.775304184,1,88
ERR2092368,0.775304184,0,88
ERR2308673,0.79470994,1,229
ERR2696457,0.79470994,0,229
ERR2697829,0.841067902,1,236
ERR2697684,0.841067902,0,236
ERR2696750,0.90378658,1,122
ERR2308874,0.90378658,0,122
ERR2309338,0.913914919,1,128
ERR2092068,0.913914919,0,128
ERR2032213,0.916340117,1,73
ERR2314354,0.916340117,0,73
ERR2032286,0.92109483,1,292
ERR2308882,0.92109483,0,292
ERR2579551,0.936258335,1,56
ERR2697036,0.936258335,0,56
ERR2032911,0.941928869,1,289
ERR2091863,0.941928869,0,289
ERR2696531,1.051672657,1,2
ERR1846155,1.051672657,0,2
ERR2306155,1.067553414,1,65
ERR2303980,1.067553414,0,65
ERR2318002,1.078206584,1,58
ERR2697683,1.078206584,0,58
ERR2696649,1.097445014,1,74
ERR2032315,1.097445014,0,74
ERR2309200,1.102547223,1,100
ERR1845995,1.102547223,0,100
ERR2308947,1.108187949,1,21
ERR2697046,1.108187949,0,21
ERR2404900,1.113810043,1,194
ERR2405331,1.113810043,0,194
ERR2092189,1.130153007,1,103
ERR2092434,1.130153007,0,103
ERR2091975,1.17013706,1,187
ERR2091906,1.17013706,0,187
ERR2032721,1.183351814,1,120
ERR2318246,1.183351814,0,120
ERR2308908,1.230306776,1,210
ERR2304001,1.230306776,0,210
ERR2314252,1.230342277,1,135
ERR2319600,1.230342277,0,135
ERR2304009,1.242199769,1,172
ERR2092468,1.242199769,0,172
ERR2318124,1.251882327,1,274
ERR2057001,1.251882327,0,274
ERR2308824,1.269337642,1,16
ERR2032554,1.269337642,0,16
ERR2696650,1.276926229,1,231
ERR2306170,1.276926229,0,231
ERR2697576,1.28572466,1,178
ERR2697959,1.28572466,0,178
ERR2306232,1.294324882,1,145
ERR2698010,1.294324882,0,145
ERR2319326,1.296803115,1,239
ERR2696827,1.296803115,0,239
ERR2306177,1.318981599,1,117
ERR2306239,1.318981599,0,117
ERR2032536,1.320289279,1,186
ERR2697987,1.320289279,0,186
ERR1854673,1.335439402,1,11
ERR2698042,1.335439402,0,11
ERR2308940,1.340048907,1,155
ERR2319581,1.340048907,0,155
ERR2092195,1.359954118,1,104
ERR1842701,1.359954118,0,104
ERR2697805,1.391113699,1,190
ERR2696874,1.391113699,0,190
ERR2308921,1.404389028,1,38
ERR2092030,1.404389028,0,38
ERR2308651,1.405158107,1,199
ERR2032564,1.405158107,0,199
ERR1854670,1.423163751,1,7
ERR2032347,1.423163751,0,7
ERR2032833,1.43267093,1,125
ERR2092104,1.43267093,0,125
ERR2033466,1.444609514,1,205
ERR2696868,1.444609514,0,205
ERR1846146,1.451104807,1,142
ERR2091995,1.451104807,0,142
ERR2696717,1.489337504,1,83
ERR2057011,1.489337504,0,83
ERR2308944,1.497491873,1,3
ERR2032574,1.497491873,0,3
ERR2308930,1.50816379,1,222
ERR2309187,1.50816379,0,222
ERR2579485,1.511838435,1,161
ERR2319865,1.511838435,0,161
ERR2308873,1.517091727,1,219
ERR2697690,1.517091727,0,219
ERR2318083,1.524186793,1,147
ERR2318160,1.524186793,0,147
ERR2696583,1.528055152,1,129
ERR2306102,1.528055152,0,129
ERR2696437,1.531707977,1,283
ERR2579428,1.531707977,0,283
ERR2319580,1.539259303,1,143
ERR2092388,1.539259303,0,143
ERR2579904,1.550260913,1,154
ERR2308773,1.550260913,0,154
ERR2092109,1.560644633,1,132
ERR2032462,1.560644633,0,132
ERR2309189,1.565170469,1,14
ERR1854691,1.565170469,0,14
ERR2697558,1.568425751,1,185
ERR2306118,1.568425751,0,185
ERR2405136,1.56982721,1,102
ERR2318174,1.56982721,0,102
ERR2304039,1.56985218,1,64
ERR2057055,1.56985218,0,64
ERR2523938,1.588864244,1,119
ERR2697639,1.588864244,0,119
ERR2696739,1.599630012,1,40
ERR2308807,1.599630012,0,40
ERR2091864,1.609782236,1,39
ERR1854678,1.609782236,0,39
ERR1854820,1.617636872,1,108
ERR2524149,1.617636872,0,108
ERR2032328,1.629914385,1,87
ERR2033464,1.629914385,0,87
ERR2303955,1.63040903,1,114
ERR2092059,1.63040903,0,114
ERR2032836,1.634520778,1,48
ERR2032853,1.634520778,0,48
ERR2314098,1.656448668,1,81
ERR2308853,1.656448668,0,81
ERR2697067,1.659670072,1,36
ERR1845897,1.659670072,0,36
ERR2404978,1.665639222,1,59
ERR2032925,1.665639222,0,59
ERR2696445,1.670049981,1,272
ERR2319226,1.670049981,0,272
ERR2319505,1.686229344,1,201
ERR1846176,1.686229344,0,201
ERR2405200,1.692555998,1,153
ERR2696969,1.692555998,0,153
ERR2304084,1.696438556,1,44
ERR2032550,1.696438556,0,44
ERR2308806,1.702535114,1,249
ERR2579540,1.702535114,0,249
ERR2314094,1.702891302,1,78
ERR2092039,1.702891302,0,78
ERR2314095,1.744774835,1,193
ERR2404986,1.744774835,0,193
ERR2309409,1.748042707,1,152
ERR2308528,1.748042707,0,152
ERR2306103,1.750652665,1,96
ERR2523927,1.750652665,0,96
ERR2056792,1.751163312,1,22
ERR2303878,1.751163312,0,22
ERR2309323,1.757470184,1,235
ERR2308818,1.757470184,0,235
ERR2308625,1.763300647,1,67
ERR2032921,1.763300647,0,67
ERR2032587,1.766197941,1,288
ERR2032800,1.766197941,0,288
ERR2579562,1.774395072,1,204
ERR2308830,1.774395072,0,204
ERR2308945,1.780267467,1,4
ERR2697060,1.780267467,0,4
ERR2308800,1.790580435,1,192
ERR1854686,1.790580435,0,192
ERR2697075,1.797613969,1,286
ERR2092110,1.797613969,0,286
ERR2579655,1.799947476,1,136
ERR2579542,1.799947476,0,136
ERR2314120,1.802263533,1,34
ERR2579872,1.802263533,0,34
ERR2405193,1.805183594,1,268
ERR2057228,1.805183594,0,268
ERR2057223,1.805722664,1,127
ERR2032387,1.805722664,0,127
ERR2697656,1.816599739,1,218
ERR2697780,1.816599739,0,218
ERR2032802,1.821246861,1,258
ERR2092105,1.821246861,0,258
ERR2304144,1.835213506,1,105
ERR2696734,1.835213506,0,105
ERR2696444,1.874869386,1,223
ERR2524105,1.874869386,0,223
ERR1846217,1.875825612,1,79
ERR2696687,1.875825612,0,79
ERR2308827,1.887123674,1,248
ERR2057200,1.887123674,0,248
ERR2056791,1.90843061,1,12
ERR2092093,1.90843061,0,12
ERR2309339,1.910069706,1,52
ERR1843791,1.910069706,0,52
ERR2306256,1.926829663,1,259
ERR2092373,1.926829663,0,259
ERR2579921,1.927475996,1,9
ERR2319452,1.927475996,0,9
ERR2056855,1.93709284,1,20
ERR2523971,1.93709284,0,20
ERR2032837,1.940562459,1,164
ERR2032352,1.940562459,0,164
ERR1842707,1.952255202,1,232
ERR2057127,1.952255202,0,232
ERR2404913,1.953327063,1,162
ERR2032210,1.953327063,0,162
ERR2697020,1.967787062,1,282
ERR2579899,1.967787062,0,282
ERR2306217,1.970600919,1,175
ERR1846093,1.970600919,0,175
ERR2405076,1.971511673,1,266
ERR2314127,1.971511673,0,266
ERR2405342,1.972046751,1,180
ERR2524201,1.972046751,0,180
ERR2033474,1.973384042,1,91
ERR2523899,1.973384042,0,91
ERR2306109,1.979836772,1,200
ERR2318076,1.979836772,0,200
ERR2308646,2.000384504,1,195
ERR2579720,2.000384504,0,195
ERR1842732,2.003108272,1,208
ERR2319484,2.003108272,0,208
ERR2696890,2.005422252,1,191
ERR2523926,2.005422252,0,191
