sample_number,pairdist,target,pairID
ERR2405076,0.131268612,1,266
ERR2306210,0.131268612,0,266
ERR2524116,0.151633308,1,217
ERR2309310,0.151633308,0,217
ERR2696716,0.172953217,1,251
ERR2056957,0.172953217,0,251
ERR2696531,0.252660988,1,2
ERR2696918,0.252660988,0,2
ERR2697930,0.324385793,1,32
ERR2697967,0.324385793,0,32
ERR2314089,0.343715671,1,49
ERR2306219,0.343715671,0,49
ERR2306253,0.346016443,1,156
ERR2697052,0.346016443,0,156
ERR2697020,0.371963124,1,282
ERR2092097,0.371963124,0,282
ERR2032406,0.395399001,1,70
ERR2587833,0.395399001,0,70
ERR2032328,0.40855068,1,87
ERR2579508,0.40855068,0,87
ERR2092274,0.433860584,1,197
ERR2319307,0.433860584,0,197
ERR2308764,0.443116337,1,106
ERR2697023,0.443116337,0,106
ERR2696739,0.453792324,1,40
ERR2405292,0.453792324,0,40
ERR2303955,0.466826103,1,114
ERR2032171,0.466826103,0,114
ERR2032780,0.527699155,1,37
ERR2523979,0.527699155,0,37
ERR2696525,0.540466773,1,15
ERR2308638,0.540466773,0,15
ERR2579758,0.544026401,1,230
ERR2579653,0.544026401,0,230
ERR1842374,0.576434243,1,77
ERR2579898,0.576434243,0,77
ERR2304147,0.582994021,1,27
ERR1846172,0.582994021,0,27
ERR2308673,0.594396809,1,229
ERR2306250,0.594396809,0,229
ERR2057092,0.599539744,1,10
ERR2405275,0.599539744,0,10
ERR2056855,0.608087295,1,20
ERR2698018,0.608087295,0,20
ERR2092048,0.625974673,1,144
ERR2696701,0.625974673,0,144
ERR2523938,0.627826402,1,119
ERR2091839,0.627826402,0,119
ERR2304144,0.659150841,1,105
ERR2319502,0.659150841,0,105
ERR2697067,0.670682242,1,36
ERR2306240,0.670682242,0,36
ERR2304102,0.695283969,1,92
ERR2579373,0.695283969,0,92
ERR1846146,0.697429555,1,142
ERR2523932,0.697429555,0,142
ERR1846043,0.705663493,1,157
ERR2696985,0.705663493,0,157
ERR2314209,0.705866787,1,111
ERR2697874,0.705866787,0,111
ERR2579715,0.730209812,1,182
ERR2304047,0.730209812,0,182
ERR2697873,0.738865417,1,45
ERR2056943,0.738865417,0,45
ERR2308947,0.770209122,1,21
ERR2308809,0.770209122,0,21
ERR2697749,0.773401664,1,137
ERR2091860,0.773401664,0,137
ERR2697656,0.780600403,1,218
ERR2523889,0.780600403,0,218
ERR2696484,0.788419656,1,33
ERR2697976,0.788419656,0,33
ERR2318002,0.826562318,1,58
ERR2314078,0.826562318,0,58
ERR2697829,0.841067902,1,236
ERR2697684,0.841067902,0,236
ERR2032280,0.852219568,1,42
ERR2092467,0.852219568,0,42
ERR2308894,0.876077663,1,60
ERR2318004,0.876077663,0,60
ERR2696560,0.896059546,1,115
ERR2405043,0.896059546,0,115
ERR2314300,0.906665703,1,139
ERR2319860,0.906665703,0,139
ERR2579551,0.936258335,1,56
ERR2697036,0.936258335,0,56
ERR2032614,0.958496736,1,113
ERR2696734,0.958496736,0,113
ERR2308827,0.98112019,1,248
ERR2056871,0.98112019,0,248
ERR2314098,0.992800881,1,81
ERR2579960,0.992800881,0,81
ERR2579804,1.000370909,1,124
ERR1846141,1.000370909,0,124
ERR2318124,1.012226267,1,274
ERR2091954,1.012226267,0,274
ERR2314195,1.013426348,1,260
ERR2057149,1.013426348,0,260
ERR2308636,1.019195377,1,255
ERR1845974,1.019195377,0,255
ERR1842732,1.029021379,1,208
ERR2032245,1.029021379,0,208
ERR2032837,1.030959935,1,164
ERR2032897,1.030959935,0,164
ERR2318202,1.047440443,1,101
ERR2308588,1.047440443,0,101
ERR2032213,1.055994197,1,73
ERR2318172,1.055994197,0,73
ERR2696890,1.057410788,1,191
ERR2697632,1.057410788,0,191
ERR2319601,1.06865038,1,184
ERR2091889,1.06865038,0,184
ERR2696649,1.097445014,1,74
ERR2032315,1.097445014,0,74
ERR2309200,1.102547223,1,100
ERR1845995,1.102547223,0,100
ERR2304091,1.107487855,1,88
ERR2032497,1.107487855,0,88
ERR2404900,1.113810043,1,194
ERR2405331,1.113810043,0,194
ERR2092189,1.130153007,1,103
ERR2092434,1.130153007,0,103
ERR2314095,1.139163229,1,193
ERR2032201,1.139163229,0,193
ERR2032802,1.149169856,1,258
ERR2032569,1.149169856,0,258
ERR2404955,1.151560922,1,6
ERR2314156,1.151560922,0,6
ERR2308806,1.156260987,1,249
ERR2318301,1.156260987,0,249
ERR2091975,1.156888713,1,187
ERR2696602,1.156888713,0,187
ERR2696583,1.178278658,1,129
ERR2697934,1.178278658,0,129
ERR2032721,1.183351814,1,120
ERR2318246,1.183351814,0,120
ERR2318177,1.187764334,1,242
ERR2579545,1.187764334,0,242
ERR2579904,1.193539799,1,154
ERR2319405,1.193539799,0,154
ERR2404903,1.204582096,1,224
ERR2303997,1.204582096,0,224
ERR2314252,1.230342277,1,135
ERR2319600,1.230342277,0,135
ERR2304009,1.242199769,1,172
ERR2092468,1.242199769,0,172
ERR2309332,1.268614558,1,189
ERR2308559,1.268614558,0,189
ERR2308824,1.269337642,1,16
ERR2032554,1.269337642,0,16
ERR2524197,1.27057982,1,57
ERR2696519,1.27057982,0,57
ERR2308908,1.272409517,1,210
ERR2306243,1.272409517,0,210
ERR2696750,1.28080305,1,122
ERR2092068,1.28080305,0,122
ERR2404913,1.281681094,1,162
ERR2092208,1.281681094,0,162
ERR2697576,1.28572466,1,178
ERR2697959,1.28572466,0,178
ERR2319371,1.287304514,1,225
ERR2057019,1.287304514,0,225
ERR2306232,1.316821386,1,145
ERR2032764,1.316821386,0,145
ERR2306177,1.318981599,1,117
ERR2306239,1.318981599,0,117
ERR2032536,1.320289279,1,186
ERR2697987,1.320289279,0,186
ERR2579440,1.320901053,1,211
ERR2092469,1.320901053,0,211
ERR2405015,1.32960985,1,277
ERR1846079,1.32960985,0,277
ERR1854673,1.335439402,1,11
ERR2698042,1.335439402,0,11
ERR2309211,1.339243896,1,181
ERR2318189,1.339243896,0,181
ERR2308940,1.340048907,1,155
ERR2319581,1.340048907,0,155
ERR2405074,1.340300406,1,270
ERR2579406,1.340300406,0,270
ERR1845941,1.341412395,1,133
ERR2405183,1.341412395,0,133
ERR2308944,1.341438568,1,3
ERR2032345,1.341438568,0,3
ERR2524123,1.343635098,1,179
ERR1846155,1.343635098,0,179
ERR2308651,1.352106711,1,199
ERR2092065,1.352106711,0,199
ERR2696920,1.358791925,1,54
ERR2092369,1.358791925,0,54
ERR2092195,1.359954118,1,104
ERR1842701,1.359954118,0,104
ERR2697896,1.36946555,1,281
ERR2697695,1.36946555,0,281
ERR2696677,1.400793161,1,285
ERR2579662,1.400793161,0,285
ERR2308945,1.403977034,1,4
ERR2696754,1.403977034,0,4
ERR2308921,1.404389028,1,38
ERR2092030,1.404389028,0,38
ERR1854670,1.423163751,1,7
ERR2032347,1.423163751,0,7
ERR2698935,1.428595845,1,69
ERR1854680,1.428595845,0,69
ERR2032833,1.43267093,1,125
ERR2092104,1.43267093,0,125
ERR2697805,1.436977029,1,190
ERR2056994,1.436977029,0,190
ERR2579921,1.437738329,1,9
ERR1845852,1.437738329,0,9
ERR2579655,1.441649575,1,136
ERR2032598,1.441649575,0,136
ERR2033466,1.444609514,1,205
ERR2696868,1.444609514,0,205
ERR2092109,1.447341477,1,132
ERR2405124,1.447341477,0,132
ERR2308798,1.448561036,1,76
ERR2696667,1.448561036,0,76
ERR2319326,1.452979226,1,239
ERR2032551,1.452979226,0,239
ERR2057223,1.45943046,1,127
ERR2092296,1.45943046,0,127
ERR2579397,1.484390636,1,241
ERR2579683,1.484390636,0,241
ERR2696717,1.489337504,1,83
ERR2057011,1.489337504,0,83
ERR2032825,1.49552803,1,123
ERR2304183,1.49552803,0,123
ERR2697925,1.497345936,1,17
ERR2579637,1.497345936,0,17
ERR2404978,1.500798406,1,59
ERR2319454,1.500798406,0,59
ERR2697645,1.503095944,1,98
ERR2523980,1.503095944,0,98
ERR2697702,1.506269456,1,116
ERR2304121,1.506269456,0,116
ERR2308930,1.50816379,1,222
ERR2309187,1.50816379,0,222
ERR2579485,1.511838435,1,161
ERR2319865,1.511838435,0,161
ERR2314313,1.512965441,1,23
ERR2303878,1.512965441,0,23
ERR2308873,1.514703244,1,219
ERR2304057,1.514703244,0,219
ERR2318083,1.524186793,1,147
ERR2318160,1.524186793,0,147
ERR2092344,1.527759734,1,263
ERR2032387,1.527759734,0,263
ERR2696437,1.531707977,1,283
ERR2579428,1.531707977,0,283
ERR2314094,1.538058469,1,78
ERR2091834,1.538058469,0,78
ERR1854688,1.539392062,1,94
ERR2308794,1.539392062,0,94
ERR2032436,1.547490184,1,213
ERR2032332,1.547490184,0,213
ERR2318087,1.551491664,1,237
ERR2587834,1.551491664,0,237
ERR2091864,1.553122413,1,39
ERR2092366,1.553122413,0,39
ERR2309189,1.565170469,1,14
ERR1854691,1.565170469,0,14
ERR2697558,1.568425751,1,185
ERR2306118,1.568425751,0,185
ERR1854810,1.568720602,1,29
ERR2317998,1.568720602,0,29
ERR2579864,1.569521941,1,202
ERR2314128,1.569521941,0,202
ERR2405136,1.56982721,1,102
ERR2318174,1.56982721,0,102
ERR2405193,1.572266659,1,268
ERR2304149,1.572266659,0,268
ERR2697719,1.572715486,1,262
ERR2091934,1.572715486,0,262
ERR2696520,1.592142518,1,240
ERR2319231,1.592142518,0,240
ERR2308625,1.607782184,1,67
ERR1845937,1.607782184,0,67
ERR2405362,1.613905257,1,254
ERR2303812,1.613905257,0,254
ERR2696723,1.615188583,1,151
ERR2308550,1.615188583,0,151
ERR2696694,1.617574003,1,176
ERR2309327,1.617574003,0,176
ERR1854820,1.617636872,1,108
ERR2524149,1.617636872,0,108
ERR2033474,1.617975213,1,91
ERR2314253,1.617975213,0,91
ERR2319580,1.62909082,1,143
ERR2697002,1.62909082,0,143
ERR2056792,1.632347308,1,22
ERR2092213,1.632347308,0,22
ERR2057147,1.632379795,1,245
ERR2319545,1.632379795,0,245
ERR2032836,1.634520778,1,48
ERR2032853,1.634520778,0,48
ERR2032911,1.6346297,1,289
ERR2032591,1.6346297,0,289
ERR2318052,1.635430657,1,173
ERR2319363,1.635430657,0,173
ERR2314188,1.644960194,1,107
ERR2308568,1.644960194,0,107
ERR2318157,1.645963943,1,26
ERR2697862,1.645963943,0,26
ERR2309409,1.652357627,1,152
ERR2579477,1.652357627,0,152
ERR2309364,1.655359785,1,198
ERR2314159,1.655359785,0,198
