COHORT,COHORT_TYPE,QUESTIONNAIRE_VARIABLE,VARIABLE_DESCRIPTION,POSITIVE_GROUP_RESPONSE,NEGATIVE_GROUP_RESPONSE,SPECIAL_EXCLUSION_CRITIERIA,REMOVED_MATCHING_VARIABLES
acid_reflux,standard binary,acid_reflux,has the participant been diagnosed with acid reflux,"Diagnosed by a medical professional (doctor, physician assistant)",I do not have this condition,None,None
add_adhd,standard binary,add_adhd,has the participant been diagnosed with attention deficit disorder or attention deficit hyperactivity disorder,"Diagnosed by a medical professional (doctor, physician assistant)",I do not have this condition,None,None
age_1-2,binary (special matching/exclusion),age_years,the self-reported participant age,[0-2],[20-80),None,age_years
age_3-5,binary (special matching/exclusion),age_years,the self-reported participant age,[3-5],[20-80),None,age_years
age_6-18,binary (special matching/exclusion),age_years,the self-reported participant age,[6-18],[20-80),None,age_years
age_over70,binary (special matching/exclusion),age_years,the self-reported participant age,[70-100],[20-70),None,age_years
alcohol_daily_cohort,frequency group - binary,alcohol_frequency,How often does the participant consume alcohol,Daily,Never,None,alcohol_frequency
alcohol_occasional_cohort,frequency group - binary,alcohol_frequency,How often does the participant consume alcohol,Occasionally (1-2 times/week),Never,None,alcohol_frequency
alcohol_rare_cohort,frequency group - binary,alcohol_frequency,How often does the participant consume alcohol,Rarely (a few times/month),Never,None,alcohol_frequency
alcohol_regular_cohort,frequency group - binary,alcohol_frequency,How often does the participant consume alcohol,Regularly (3-5 times/week),Never,None,alcohol_frequency
﻿alcohol_types_beercider,standard binary,﻿alcohol_types_beercider,does the participant drink beer or cider,Yes,No,None,None
alcohol_types_red_wine,standard binary,alcohol_types_red_wine,does the participant drink red wine,Yes,No,None,None
alcohol_types_sour_beers,standard binary,alcohol_types_sour_beers,does the participant drink sour beer,Yes,No,None,None
alcohol_types_spiritshard_alcohol,standard binary,alcohol_types_spiritshard_alcohol,does the participant drink hard alcohol,Yes,No,None,None
alcohol_types_white_wine,standard binary,alcohol_types_white_wine,does the participant drink white wine,Yes,No,None,None
allergic_to_i_have_no_food_allergies_that_i_know_of,standard binary,allergic_to_i_have_no_food_allergies_that_i_know_of,The participant does not have any food allergies,Yes,No,None,None
allergic_to_other,standard binary,allergic_to_other,"Is the participant allergic to some food other than peanuts, shellfish or tree nuts",Yes,No,None,None
allergic_to_peanuts,standard binary,allergic_to_peanuts,Is the participant allergic to peanuts,Yes,No,None,None
allergic_to_shellfish,standard binary,allergic_to_shellfish,Is the participant allergic to shellfish,Yes,No,None,None
allergic_to_tree_nuts,standard binary,allergic_to_tree_nuts,Is the participant allergic to tree nuts,Yes,No,None,None
antiB_6Month_cohort,binary (special matching/exclusion),antibiotic_history,The time since the participant's last antibiotic dose,6 months,I have not taken antibiotics in the past year.,None,None 
antiB_Month_cohort,binary (special matching/exclusion),antibiotic_history,The time since the participant's last antibiotic dose,Month,I have not taken antibiotics in the past year.,None ,None
antiB_Week_cohort,binary (special matching/exclusion),antibiotic_history,The time since the participant's last antibiotic dose,Week,I have not taken antibiotics in the past year.,None,None 
antiB_Year_cohort,binary (special matching/exclusion),antibiotic_history,The time since the participant's last antibiotic dose,Year,I have not taken antibiotics in the past year.,None,None 
appendix_removed,standard binary,appendix_removed,Whether the participants appendix has been removed,Yes,No,None,None
artificial_sweeteners_occasional_cohort,frequency group - binary,artificial_sweeteners,How often does the participant use artifical sweeteners,Occasionally (1-2 times/week),Never,None,None
artificial_sweeteners_rare_cohort,frequency group - binary,artificial_sweeteners,How often does the participant use artifical sweeteners,Rarely (a few times/month),Never,None,None
artificial_sweeteners_regular_cohort,frequency group - binary,artificial_sweeteners,How often does the participant use artifical sweeteners,Regularly (3-5 times/week)/Daily,Never,None,None
asd_cohort,binary (special matching/exclusion),asd,Has the participant been diagnosed with autism spectrum disorder?,Diagnosed by a medical professional (doctor/physician assistant),I do not have this condition,Ages <= 30.0,None
autoimmune,standard binary,autoimmune,Does the participant have an autoimmune disorder other than Type I diabetes or inflammatory bowel disease,"Diagnosed by a medical professional (doctor, physician assistant)",I do not have this condition,None,None
bmf_2_cohort,binary (special matching/exclusion),bowel_movement_frequency,Number of daily bowel movements,Two,One,None,None
bmf_3_cohort,binary (special matching/exclusion),bowel_movement_frequency,Number of daily bowel movements,Three,One,None,None
bmf_4_cohort,binary (special matching/exclusion),bowel_movement_frequency,Number of daily bowel movements,Four,One,None,None
bmf_5_cohort,binary (special matching/exclusion),bowel_movement_frequency,Number of daily bowel movements,Five or more,One,None,None
bmf_less1_cohort,binary (special matching/exclusion),bowel_movement_frequency,Number of daily bowel movements,Less than one,One,None,None
bmq_loose_cohort,binary (special matching/exclusion),bowel_movement_quality,Does the participant tend toward constipation or diarrhea?,I tend to have diarrhea (watery stool) - Type 5/6/7,I tend to have normal formed stool - Type 3/4,None,None
bmq_solid_cohort,binary (special matching/exclusion),bowel_movement_quality,Does the participant tend toward constipation or diarrhea?,I tend to be constipated (have difficulty passing stool) - Type 1/2,I tend to have normal formed stool - Type 3/4,None,None
cancer,standard binary,cancer,Has the participant been diagnosed with cancer,"Diagnosed by a medical professional (doctor, physician assistant)",I do not have this condition,None,None
cardiovascular_disease,standard binary,cardiovascular_disease,Does the participant have cardiovascular disease,"Diagnosed by a medical professional (doctor, physician assistant)",I do not have this condition,None,None
cat,standard binary,cat,Does the participant live with a cat,Yes,No,None,None
celiac_cohort,binary (special matching/exclusion),gluten,Does the participant follow a gluten free diet?,I was diagnosed with celiac disease,No,None,None
chickenpox,standard binary,chickenpox,Did the participant have chicken pox,Yes,No,None,None
clinical_condition,standard binary,clinical_condition,Has the participant been diagnosed with a clinical condition not described here. (Note that additional information about the clinical conditions has been obtained but is not publically avaliable),"Diagnosed by a medical professional (doctor, physician assistant)",I do not have this condition,None,None
consume_animal_products_abx,standard binary,consume_animal_products_abx,Does the participant eat animal products treated with antibiotics,Yes,No,None,None
country_cohort,binary (special matching/exclusion),country,Country where the sample was collected,USA,United Kingdom,None,location
csection,standard binary,csection,Was the participant born via c-section,Yes,No,None,None
depression_bipolar_schizophrenia,standard binary,depression_bipolar_schizophrenia,"Has the participant been diagnosed with depression, bipolar disorder or schizophrenia","Diagnosed by a medical professional (doctor, physician assistant)",I do not have this condition,None,None
diabetes_typeII_cohort,binary (special matching/exclusion),diabetes_type,The type of diabetes a participant has been diagnosed with,Type II diabetes,Not provided/Unspecified,Includes Obese,None
dog,standard binary,dog,Participant has a pet dog,Yes,No,None,None
exercise_frequency_daily_cohort,frequency group - binary,exercise_frequency,How often does the participant exercise?,Daily,Never/Rarely (a few times/month),None,None
exercise_frequency_occasional_cohort,frequency group - binary,exercise_frequency,How often does the participant exercise?,Occasionally (1-2 times/week),Never/Rarely (a few times/month),None,None
exercise_frequency_regular_cohort,frequency group - binary,exercise_frequency,How often does the participant exercise?,Regularly (3-5 times/week),Never/Rarely (a few times/month),None,None
fermented_plant_frequency_daily_cohort,frequency group - binary,fermented_plant_frequency,"How often does the participant eat fermented plants (i.e. Saurkraut, Kimchi)",Daily,Never,None,None
fermented_plant_frequency_occasional_cohort,frequency group - binary,fermented_plant_frequency,"How often does the participant eat fermented plants (i.e. Saurkraut, Kimchi)",Occasionally (1-2 times/week),Never,None,None
fermented_plant_frequency_rare_cohort,frequency group - binary,fermented_plant_frequency,"How often does the participant eat fermented plants (i.e. Saurkraut, Kimchi)",Rarely (a few times/month),Never,None,None
fermented_plant_frequency_regular_cohort,frequency group - binary,fermented_plant_frequency,"How often does the participant eat fermented plants (i.e. Saurkraut, Kimchi)",Regularly (3-5 times/week),Never,None,None
frozen_dessert_frequency_occasional_cohort,frequency group - binary,frozen_dessert_frequency,How often the participant eats ice cream or frozen yogurt,Occasionally (1-2 times/week),Never,None,None
frozen_dessert_frequency_rare_cohort,frequency group - binary,frozen_dessert_frequency,How often the participant eats ice cream or frozen yogurt,Rarely (a few times/month),Never,None,None
frozen_dessert_frequency_regular_cohort,frequency group - binary,frozen_dessert_frequency,How often the participant eats ice cream or frozen yogurt,Regularly (3-5 times/week)/Daily,Never,None,None
fruit_frequency_daily_cohort,frequency group - binary,fruit_frequency,How often the participant reports eating fruit,Daily,Never,None,None
fruit_frequency_occasional_cohort,frequency group - binary,fruit_frequency,How often the participant reports eating fruit,Occasionally (1-2 times/week),Never,None,None
fruit_frequency_rare_cohort,frequency group - binary,fruit_frequency,How often the participant reports eating fruit,Rarely (a few times/month),Never,None,None
fruit_frequency_regular_cohort,frequency group - binary,fruit_frequency,How often the participant reports eating fruit,Regularly (3-5 times/week),Never,None,None
fungal_overgrowth,standard binary,fungal_overgrowth,Does the participant have a fungal overgrowth in their gut,"Diagnosed by a medical professional (doctor, physician assistant)",I do not have this condition,None,None
gender_healthy_cohort,binary (special matching/exclusion),sex,"MIMARKS standard field - participant biological sex, not sexual identity",male,female,"Excludes sex ""other""",sex
gluten_alergy_cohort,binary (special matching/exclusion),gluten,Does the participant follow a gluten free diet?,I was diagnosed with gluten allergy (anti-gluten IgG) but not celiac disease,No,None,None
high_fat_red_meat_frequency_occasional_cohort,frequency group - binary,high_fat_red_meat_frequency,"How often the participant eats at least one serving of high fat red meats, including prime rib, hamburger, bacon, and ribs.",Occasionally (1-2 times/week),Never,None,None
high_fat_red_meat_frequency_rare_cohort,frequency group - binary,high_fat_red_meat_frequency,"How often the participant eats at least one serving of high fat red meats, including prime rib, hamburger, bacon, and ribs.",Rarely (a few times/month),Never,None,None
