sample_name,pairdist,target,pairID
ERR2696752,1.874376223,1,1
ERR2032462,1.874376223,0,1
ERR1090957,2.014638765,1,2
ERR1090777,2.014638765,0,2
ERR2697002,2.075011198,1,5
ERR1089681,2.075011198,0,5
ERR1090636,2.130075179,1,7
ERR1089696,2.130075179,0,7
ERR2304182,1.978300198,1,11
ERR1090234,1.978300198,0,11
ERR2032544,2.102984217,1,12
ERR1074894,2.102984217,0,12
ERR1091733,1.796615455,1,13
ERR1075066,1.796615455,0,13
ERR1678476,1.883132095,1,14
ERR1091267,1.883132095,0,14
ERR2304103,1.967951868,1,17
ERR1075297,1.967951868,0,17
ERR2306240,1.82203385,1,19
ERR1079977,1.82203385,0,19
ERR2696664,2.168125922,1,21
ERR1075908,2.168125922,0,21
ERR2304085,1.850999567,1,23
ERR1596984,1.850999567,0,23
ERR2697690,1.986797191,1,27
ERR2303802,1.986797191,0,27
ERR1546052,2.123024258,1,29
ERR1089795,2.123024258,0,29
ERR2092030,1.829338946,1,30
ERR1080040,1.829338946,0,30
ERR2587851,2.048535102,1,32
ERR1090795,2.048535102,0,32
ERR1090708,1.99499716,1,34
ERR1089820,1.99499716,0,34
ERR2318160,2.153056693,1,36
ERR1080192,2.153056693,0,36
ERR1843621,1.934982086,1,37
ERR1250451,1.934982086,0,37
ERR2697736,1.726825502,1,38
ERR1090361,1.726825502,0,38
ERR1417549,1.832761327,1,40
ERR1089840,1.832761327,0,40
ERR1080246,2.079443978,1,41
ERR1080252,2.079443978,0,41
ERR2318198,1.898338174,1,42
ERR1090380,1.898338174,0,42
ERR1458926,2.017488865,1,43
ERR1090388,2.017488865,0,43
ERR1090810,2.069208087,1,44
ERR1089845,2.069208087,0,44
ERR1075057,2.081970429,1,46
ERR2032486,2.081970429,0,46
ERR1250511,2.050513148,1,51
ERR2404903,2.050513148,0,51
ERR1091655,1.690729392,1,52
ERR1089910,1.690729392,0,52
ERR2092097,1.825162557,1,54
ERR1090840,1.825162557,0,54
ERR1250089,2.059432432,1,55
ERR1090841,2.059432432,0,55
ERR1458750,1.899522382,1,56
ERR1458723,1.899522382,0,56
ERR2579470,2.149607236,1,62
ERR1090482,2.149607236,0,62
ERR2696969,2.154574294,1,66
ERR1089994,2.154574294,0,66
ERR2308522,1.965039548,1,67
ERR1250484,1.965039548,0,67
ERR1091063,2.029608875,1,68
ERR1090002,2.029608875,0,68
ERR2579785,1.855098102,1,69
ERR1090848,1.855098102,0,69
ERR1841822,2.024574046,1,71
ERR1090060,2.024574046,0,71
ERR1315997,1.661316202,1,72
ERR1090064,1.661316202,0,72
ERR2092242,1.956505039,1,74
ERR1090093,1.956505039,0,74
ERR2057175,1.783993407,1,76
ERR1458747,1.783993407,0,76
ERR1249876,1.883890966,1,82
ERR1090574,1.883890966,0,82
ERR2032716,1.746737753,1,85
ERR1090149,1.746737753,0,85
ERR2405405,1.702282858,1,86
ERR1091317,1.702282858,0,86
ERR2318302,1.893656282,1,88
ERR1090153,1.893656282,0,88
ERR2579652,2.024431401,1,91
ERR1090906,2.024431401,0,91
ERR2032554,1.933032586,1,100
ERR1843453,1.933032586,0,100
ERR2405173,1.924159128,1,101
ERR1090654,1.924159128,0,101
ERR1089736,1.966928359,1,104
ERR1090962,1.966928359,0,104
ERR1459094,2.129615716,1,107
ERR1090982,2.129615716,0,107
ERR1091165,1.672052543,1,108
ERR1090988,1.672052543,0,108
ERR2057003,1.645465667,1,109
ERR1091361,1.645465667,0,109
ERR1091627,2.147999213,1,111
ERR1091371,2.147999213,0,111
ERR1597141,1.653097239,1,112
ERR1250515,1.653097239,0,112
ERR2696953,1.913898218,1,113
ERR1250519,1.913898218,0,113
ERR1678442,1.640312112,1,114
ERR1091407,1.640312112,0,114
ERR1841526,2.079780648,1,115
ERR1249783,2.079780648,0,115
ERR2696921,1.918407081,1,117
ERR1091412,1.918407081,0,117
ERR2056871,1.759792144,1,123
ERR1249794,1.759792144,0,123
ERR2092213,1.872596563,1,126
ERR1090715,1.872596563,0,126
ERR1090331,2.060879414,1,129
ERR1090722,2.060879414,0,129
ERR1843532,1.682485071,1,132
ERR1091111,1.682485071,0,132
ERR1091175,2.127155216,1,137
ERR1091130,2.127155216,0,137
ERR1843835,1.672527112,1,142
ERR1091475,1.672527112,0,142
ERR1417431,1.790122197,1,143
ERR1249809,1.790122197,0,143
ERR1091572,2.055935952,1,144
ERR1091164,2.055935952,0,144
ERR2697740,1.705801632,1,147
ERR1091172,1.705801632,0,147
ERR2303867,2.019860214,1,148
ERR1250542,2.019860214,0,148
ERR2314211,2.017300519,1,149
ERR1417421,2.017300519,0,149
ERR2697978,1.982715417,1,152
ERR1091192,1.982715417,0,152
ERR1846074,2.097000706,1,154
ERR1091539,2.097000706,0,154
ERR1389689,2.016163342,1,157
ERR1249829,2.016163342,0,157
ERR2314201,1.845281512,1,158
ERR2318002,1.845281512,0,158
ERR1090926,2.110735144,1,160
ERR1249863,2.110735144,0,160
ERR1249745,1.957290324,1,162
ERR1843476,1.957290324,0,162
ERR2092181,1.944460898,1,165
ERR2696432,1.944460898,0,165
ERR2579511,1.919271766,1,166
ERR1091685,1.919271766,0,166
ERR1091308,1.895822972,1,173
ERR1389686,1.895822972,0,173
ERR1091429,2.176360361,1,174
ERR1091787,2.176360361,0,174
ERR1089680,1.681293545,1,175
ERR1845878,1.681293545,0,175
ERR2091834,2.159610681,1,178
ERR2091846,2.159610681,0,178
ERR1417433,1.654654649,1,181
ERR1417466,1.654654649,0,181
ERR2696692,1.78063446,1,183
ERR1249931,1.78063446,0,183
ERR1845961,1.920300484,1,184
ERR1250563,1.920300484,0,184
ERR2696714,2.030225636,1,185
ERR1250566,2.030225636,0,185
ERR2306214,1.720903739,1,186
ERR1678408,1.720903739,0,186
ERR2579406,1.837502972,1,187
ERR1597009,1.837502972,0,187
ERR2032193,2.043178945,1,191
ERR1315995,2.043178945,0,191
ERR1842355,1.97678937,1,192
ERR1458835,1.97678937,0,192
ERR2032598,2.033298953,1,194
ERR2697558,2.033298953,0,194
