sample_name,pairdist,target,pairID
ERR1841772,1.447899498,1,1
ERR1389868,1.447899498,0,1
ERR1842144,0.514411904,1,4
ERR1090064,0.514411904,0,4
ERR1842901,1.535030719,1,5
ERR2314089,1.535030719,0,5
ERR1845731,0.962476876,1,6
ERR1389991,0.962476876,0,6
ERR1845927,1.269403279,1,7
ERR1843667,1.269403279,0,7
ERR1845928,1.704572096,1,8
ERR2319505,1.704572096,0,8
ERR1845945,1.432513498,1,9
ERR1597048,1.432513498,0,9
ERR1845947,0.393532399,1,10
ERR1089910,0.393532399,0,10
ERR1845991,1.034103247,1,11
ERR2032536,1.034103247,0,11
ERR1846012,1.336099218,1,12
ERR2697645,1.336099218,0,12
ERR1846020,0.97445196,1,13
ERR2696717,0.97445196,0,13
ERR1846095,1.113437471,1,14
ERR1091371,1.113437471,0,14
ERR1846121,1.380078547,1,15
ERR1843638,1.380078547,0,15
ERR1846127,0.443292145,1,16
ERR2032730,0.443292145,0,16
ERR1846143,0.988712747,1,17
ERR2309364,0.988712747,0,17
ERR1846147,0.895447135,1,18
ERR2056993,0.895447135,0,18
ERR1846158,1.706697481,1,19
ERR1842407,1.706697481,0,19
ERR1846168,1.492413673,1,20
ERR1843595,1.492413673,0,20
ERR1846200,1.721828374,1,22
ERR2314252,1.721828374,0,22
ERR1854666,1.700124761,1,23
ERR1459177,1.700124761,0,23
ERR1854689,1.216400216,1,25
ERR2032911,1.216400216,0,25
ERR1854707,1.134643657,1,26
ERR2579804,1.134643657,0,26
ERR1854752,1.526059225,1,27
ERR1417621,1.526059225,0,27
ERR1854782,1.231876487,1,28
ERR2404961,1.231876487,0,28
ERR1854816,1.621624415,1,29
ERR1091685,1.621624415,0,29
ERR2032237,1.322788108,1,31
ERR2318002,1.322788108,0,31
ERR2032262,1.71612416,1,33
ERR1316085,1.71612416,0,33
ERR2032296,1.560414433,1,35
ERR1075988,1.560414433,0,35
ERR2032337,1.462991251,1,36
ERR2306168,1.462991251,0,36
ERR2032461,1.766404252,1,38
ERR2698041,1.766404252,0,38
ERR2032465,1.202797441,1,39
ERR2308651,1.202797441,0,39
ERR2032529,0.71024988,1,42
ERR2696506,0.71024988,0,42
ERR2032539,1.552739897,1,43
ERR2696968,1.552739897,0,43
ERR2032552,1.134010028,1,44
ERR2308824,1.134010028,0,44
ERR2032555,0.994542839,1,45
ERR2696977,0.994542839,0,45
ERR2032568,0.972098352,1,46
ERR2308827,0.972098352,0,46
ERR2032579,1.229269063,1,47
ERR2304084,1.229269063,0,47
ERR2032584,1.685407683,1,49
ERR2579895,1.685407683,0,49
ERR2032698,0.504373763,1,50
ERR2697656,0.504373763,0,50
ERR2032707,0.920685625,1,51
ERR2579485,0.920685625,0,51
ERR2032735,1.224993264,1,52
ERR2579403,1.224993264,0,52
ERR2032749,0.967859257,1,53
ERR1842535,0.967859257,0,53
ERR2032767,1.024475991,1,54
ERR1458835,1.024475991,0,54
ERR2032791,0.627714754,1,56
ERR1842378,0.627714754,0,56
ERR2032820,1.702205759,1,57
ERR2309338,1.702205759,0,57
ERR2032864,1.01263305,1,58
ERR1842732,1.01263305,0,58
ERR2032871,1.599408681,1,59
ERR2579493,1.599408681,0,59
ERR2032913,1.655074823,1,62
ERR2314357,1.655074823,0,62
ERR2032938,1.318733799,1,63
ERR2306177,1.318733799,0,63
ERR2033473,1.43915811,1,66
ERR1546062,1.43915811,0,66
ERR2033475,1.771561998,1,67
ERR2696920,1.771561998,0,67
ERR2056817,0.834374518,1,68
ERR1459127,0.834374518,0,68
ERR2056876,1.017392541,1,69
ERR2032727,1.017392541,0,69
ERR2056877,1.487234014,1,70
ERR1597234,1.487234014,0,70
ERR2056939,1.02693055,1,73
ERR2696583,1.02693055,0,73
ERR2056949,1.314593066,1,74
ERR1842340,1.314593066,0,74
ERR2056965,0.872048955,1,76
ERR2318083,0.872048955,0,76
ERR2057052,1.749897059,1,79
ERR2696725,1.749897059,0,79
ERR2057109,1.405872422,1,83
ERR1249798,1.405872422,0,83
ERR2057209,1.785984492,1,85
ERR2032692,1.785984492,0,85
ERR2091840,1.757882606,1,88
ERR2318157,1.757882606,0,88
ERR2091848,0.266364952,1,89
ERR1597138,0.266364952,0,89
ERR2091893,1.323755048,1,91
ERR2696525,1.323755048,0,91
ERR2091899,0.786676412,1,92
ERR2697930,0.786676412,0,92
ERR2091904,1.04708937,1,93
ERR2314094,1.04708937,0,93
ERR2091927,0.199826054,1,95
ERR1841701,0.199826054,0,95
ERR2091928,1.568294246,1,96
ERR1841688,1.568294246,0,96
ERR2091932,1.342380711,1,97
ERR2056855,1.342380711,0,97
ERR2091949,0.888743589,1,98
ERR1315995,0.888743589,0,98
ERR2091962,1.544125682,1,99
ERR1458789,1.544125682,0,99
ERR2091964,1.582980385,1,100
ERR2306232,1.582980385,0,100
