sample_name,pairdist,target,pairID
ERR1842116,0.96790014,1,1
ERR1090149,0.96790014,0,1
ERR1842495,1.512561199,1,2
ERR1678480,1.512561199,0,2
ERR1842723,1.538629923,1,6
ERR1089795,1.538629923,0,6
ERR1842780,1.142567127,1,8
ERR2319371,1.142567127,0,8
ERR1842880,1.144726925,1,9
ERR2309332,1.144726925,0,9
ERR1843846,1.468661789,1,10
ERR2306253,1.468661789,0,10
ERR1845782,1.52339361,1,11
ERR1090657,1.52339361,0,11
ERR1845834,1.536447895,1,12
ERR2308873,1.536447895,0,12
ERR1845925,1.478887516,1,14
ERR1551693,1.478887516,0,14
ERR1845992,0.726608368,1,17
ERR2696725,0.726608368,0,17
ERR1846008,0.721581293,1,18
ERR1842326,0.721581293,0,18
ERR1846009,1.528549039,1,19
ERR1250542,1.528549039,0,19
ERR1846013,1.41621015,1,20
ERR1417600,1.41621015,0,20
ERR1846074,0.990350068,1,23
ERR2405076,0.990350068,0,23
ERR1846091,0.845470573,1,25
ERR2697930,0.845470573,0,25
ERR1846114,1.266176352,1,26
ERR1389754,1.266176352,0,26
ERR1846191,1.416941498,1,28
ERR2032911,1.416941498,0,28
ERR1854671,1.485082366,1,29
ERR2579475,1.485082366,0,29
ERR1854682,1.213347234,1,30
ERR2032802,1.213347234,0,30
ERR1854684,0.898245606,1,31
ERR2309323,0.898245606,0,31
ERR1854774,1.083200553,1,33
ERR2306177,1.083200553,0,33
ERR1854809,1.352828075,1,35
ERR2032833,1.352828075,0,35
ERR2032137,0.573263307,1,36
ERR2304091,0.573263307,0,36
ERR2032165,0.395277951,1,37
ERR1091407,0.395277951,0,37
ERR2032174,1.086314183,1,38
ERR2523885,1.086314183,0,38
ERR2032176,1.549457984,1,39
ERR1854738,1.549457984,0,39
ERR2032183,0.862173403,1,40
ERR1597138,0.862173403,0,40
ERR2032184,1.002278011,1,41
ERR2696525,1.002278011,0,41
ERR2032193,1.226948394,1,42
ERR1315995,1.226948394,0,42
ERR2032197,1.433953111,1,43
ERR1841703,1.433953111,0,43
ERR2032206,0.801754844,1,47
ERR1458892,0.801754844,0,47
ERR2032214,0.999439198,1,48
ERR2092344,0.999439198,0,48
ERR2032220,1.589597756,1,49
ERR1250451,1.589597756,0,49
ERR2032228,1.233767975,1,50
ERR2314357,1.233767975,0,50
ERR2032292,1.379061647,1,52
ERR2032838,1.379061647,0,52
ERR2032314,0.884877293,1,53
ERR1846043,0.884877293,0,53
ERR2032321,1.417058609,1,54
ERR2304084,1.417058609,0,54
ERR2032325,0.954061085,1,55
ERR2319898,0.954061085,0,55
ERR2032522,1.525687604,1,58
ERR1842535,1.525687604,0,58
ERR2032528,0.981881224,1,59
ERR2697645,0.981881224,0,59
ERR2032541,1.187066486,1,60
ERR1597048,1.187066486,0,60
ERR2032561,0.621722818,1,62
ERR2319601,0.621722818,0,62
ERR2032571,0.940525397,1,64
ERR1843595,0.940525397,0,64
ERR2032572,1.457712302,1,65
ERR2032416,1.457712302,0,65
ERR2032578,1.027026709,1,66
ERR1389919,1.027026709,0,66
ERR2032733,1.227442906,1,67
ERR2304001,1.227442906,0,67
ERR2032747,1.526898701,1,68
ERR2579440,1.526898701,0,68
ERR2032752,0.909986902,1,70
ERR2306232,0.909986902,0,70
ERR2032754,0.289858146,1,72
ERR1843752,0.289858146,0,72
ERR2032759,0.567336749,1,74
ERR1843715,0.567336749,0,74
ERR2032771,1.561945193,1,75
ERR1075908,1.561945193,0,75
ERR2032799,1.330517839,1,77
ERR2579493,1.330517839,0,77
ERR2032818,1.578700289,1,79
ERR2308673,1.578700289,0,79
ERR2032857,1.058481869,1,84
ERR1091361,1.058481869,0,84
ERR2032896,1.039161053,1,86
ERR1075066,1.039161053,0,86
ERR2032921,1.114581695,1,88
ERR2696739,1.114581695,0,88
ERR2032936,1.159035301,1,90
ERR1842455,1.159035301,0,90
ERR2032947,1.362396157,1,91
ERR1089845,1.362396157,0,91
ERR2032948,0.890526039,1,92
ERR1075297,0.890526039,0,92
ERR2056872,1.113638784,1,98
ERR2579660,1.113638784,0,98
ERR2056880,0.978634109,1,100
ERR1842340,0.978634109,0,100
ERR2056913,0.881768759,1,102
ERR2032730,0.881768759,0,102
ERR2056920,0.885127738,1,103
ERR1597234,0.885127738,0,103
ERR2057043,1.00135625,1,109
ERR2314313,1.00135625,0,109
ERR2057055,1.574556796,1,110
ERR2304039,1.574556796,0,110
ERR2057056,1.005642228,1,111
ERR1841688,1.005642228,0,111
ERR2057057,1.545641535,1,112
ERR1091475,1.545641535,0,112
ERR2057079,1.353236713,1,113
ERR1089681,1.353236713,0,113
ERR2057094,1.509196973,1,114
ERR2318087,1.509196973,0,114
ERR2057110,0.747520967,1,116
ERR1842466,0.747520967,0,116
ERR2057148,1.489341663,1,118
ERR1417621,1.489341663,0,118
ERR2057155,1.490112093,1,119
ERR2092204,1.490112093,0,119
ERR2057165,1.366756014,1,120
ERR1090960,1.366756014,0,120
ERR2057177,1.359496996,1,121
ERR2404965,1.359496996,0,121
ERR2057185,1.474685248,1,122
ERR1233464,1.474685248,0,122
ERR2057190,1.32771921,1,123
ERR1249873,1.32771921,0,123
