,p_val,n_samples,auc_mean,auc_std,auc_median,shuffled_auc_mean,shuffled_auc_std,shuffled_auc_median,acc_mean,acc_std,shuffled_matthews_mean,shuffled_matthews_std,matthews_mean,matthews_std,shuffled_accuracy_mean,shuffled_accuracy_std
bmf_3_cohort,0.1372277227722772,638.0,0.5719601859177215,0.037434001889734815,0.569765625,0.507936815211231,0.04598825577110831,0.5119956986113677,0.5482079402515724,0.03219571340320057,0.002247700193140325,0.083157105564908,0.09666779183492831,0.06457567971232017,0.500746855345912,0.04127057341514211
chickenpox,0.3251485148514851,1128.0,0.5203883104471605,0.03093024506605716,0.5221316835169257,0.4962984224979863,0.03611340215416512,0.4985434834048742,0.5160283687943263,0.027461007561100374,-0.007451343485135618,0.06153553438386822,0.032118284534100074,0.055049186184934956,0.496063829787234,0.030664615535554378
softener,0.03673267326732674,4144.0,0.5726793434975538,0.02545832945233746,0.575079645010809,0.4982563211278389,0.02991009095106943,0.5000146946402448,0.5521333333333334,0.02281013420000466,0.0004511183803167173,0.04875028532682504,0.10444519064826036,0.04567430266544214,0.5001066666666667,0.024560622503873506
acid_reflux,0.22920792079207922,922.0,0.5470154618343003,0.03356839590426997,0.5443778110944528,0.5047092284745343,0.0423948383543032,0.4998137365389431,0.529635422548466,0.03194676691697088,0.00802697070349329,0.06731112956708185,0.059421552548259864,0.06405262292633139,0.5036062488236402,0.033881827906252146
depression_bipolar_schizophrenia,0.5014851485148515,342.0,0.5061025264621803,0.04896233308062059,0.49837750135208214,0.5050214349210791,0.05829469797166588,0.5102654594727765,0.5034787961696306,0.04608781829828306,0.005246576672336411,0.10189258930302264,0.00688650627643642,0.09344349385500227,0.5016142270861832,0.05012765886046801
sibo,0.25465346534653466,154.0,0.5802562326869806,0.07269610203212867,0.5868421052631578,0.4911087265882941,0.10021111961999998,0.4835412953060012,0.5502699055330634,0.06439364977469965,-0.01700079572867036,0.1827122068770275,0.1019515274556022,0.12992619488803037,0.4865587044534412,0.08873335178544593
bmq_solid_cohort,0.011386138613861388,860.0,0.6480698338525441,0.030500104555434344,0.6475856697819315,0.5028295775909235,0.04623738515025025,0.5012987466258494,0.6052558139534885,0.02906626955699644,0.008217163772824568,0.07699279279084348,0.21109537755328084,0.058297594390007236,0.5037209302325583,0.03866624394440172
alcohol_rare_cohort,0.44831683168316827,1926.0,0.5047987541244738,0.024877453209415663,0.5068409375355558,0.49899766359960646,0.03148112351429059,0.49820645675567954,0.50328,0.02271478813460517,-0.002106441224346528,0.05054994925414557,0.006577891194111762,0.04557695761888433,0.4986933333333334,0.025299612645256053
pets_other,0.4515841584158416,730.0,0.5108568855893271,0.03585531296536384,0.5115265169612995,0.5027366929945377,0.043317090771837145,0.4985548892220556,0.510634720470786,0.03334756535099849,0.00805494198502044,0.07459885648051578,0.02132950142010227,0.06694673774694923,0.5035711283252267,0.0374710714260169
skin_condition,0.3289108910891089,2202.0,0.518684150642849,0.025520535456080875,0.5171378996472864,0.49995403717864284,0.028048340075344232,0.5017645719489983,0.5130933333333334,0.022721799615738583,0.00039333352869904185,0.051634852850571115,0.026217691356031973,0.04548273377369802,0.5004266666666666,0.025650561180779043
consume_animal_products_abx,0.01336633663366337,2328.0,0.6065068551598589,0.02209377938244348,0.605785641142337,0.5010342985636808,0.031060542585496162,0.5022917899601838,0.5762133333333334,0.021077398110561734,-0.000455895590136416,0.05022828131673568,0.15273224516924597,0.04220839559247622,0.4991199999999999,0.025109339563862153
fungal_overgrowth,0.27762376237623765,318.0,0.5430160256410257,0.05791191066065358,0.5475000000000001,0.49079871186093127,0.06428473124972557,0.48479262672811063,0.5334303797468354,0.04966376228770612,-0.010646867575171413,0.1105195902541884,0.06783586171955305,0.10065091249500288,0.49302689873417727,0.05536463742797966
pill_cohort,0.11257425742574256,450.0,0.5780133928571429,0.042095253178011494,0.5768019378804153,0.499206437587899,0.04599131007385272,0.5020746363061355,0.5538558786346397,0.042440005743475735,-0.010120498027317251,0.0818787692195843,0.10825811423188667,0.08530772105398586,0.4942304045512011,0.040849058633752613
autoimmune,0.13782178217821778,816.0,0.5591503267973856,0.03478824230573442,0.5581507112648981,0.5015533364089209,0.03561750733460007,0.5023127721563818,0.5404901960784314,0.03102302229540841,0.000779973061628339,0.066083108757869,0.08125990704917185,0.06232619419969639,0.4999019607843138,0.033007199242671946
drinks_4_plus_cohort,0.04148514851485149,206.0,0.6691591715976333,0.05497456452443983,0.6681656804733728,0.4987157070702565,0.07457792955888425,0.5011396011396012,0.6338951734539969,0.05792466676711257,0.0066024329160056525,0.12957855686401587,0.27121912029348977,0.11751101455094605,0.5025,0.06563072147405373
alcohol_types_spiritshard_alcohol,0.054059405940594066,3416.0,0.5669827340994426,0.022671544271817574,0.5672715894868586,0.5054677917679563,0.026765704938318743,0.5029867639648684,0.5492266666666666,0.02200580125532558,0.010969651941357376,0.049495761393821044,0.09862214856258715,0.04410344139552354,0.50536,0.024736822754751673
add_adhd,0.2567326732673268,334.0,0.5490731983850451,0.05143002077632051,0.5490570211824568,0.4962468863208621,0.05690430046236831,0.49394271664008504,0.5264759036144578,0.04642396561594741,0.0010510530722531919,0.10295826068056435,0.053237504734503366,0.0937410756205194,0.4989213998852553,0.05135815505259807
gluten_alergy_cohort,0.023861386138613865,276.0,0.6829831932773108,0.05671520336537579,0.6819327731092437,0.48922030385169213,0.06487018149286579,0.489057239057239,0.6366666666666667,0.05819720365926197,-0.023781019572276373,0.10901461036211878,0.27578753304976655,0.1175841707987429,0.4872463768115942,0.054411749846141236
alcohol_regular_cohort,0.021683168316831685,1926.0,0.595536039367391,0.024776627031450664,0.5979633632950279,0.5072850482765626,0.02929353025351459,0.5073314117054336,0.5683733333333333,0.023794737046479657,0.013197985570525796,0.048434043881928984,0.13695338660748735,0.04765853662702251,0.5062399999999999,0.02447738548129682
