,p_val,n_samples,auc_mean,auc_std,auc_median,shuffled_auc_mean,shuffled_auc_std,shuffled_auc_median,acc_mean,acc_std,shuffled_matthews_mean,shuffled_matthews_std,matthews_mean,matthews_std,shuffled_accuracy_mean,shuffled_accuracy_std
olive_oil_occasional_cohort,0.2810891089108911,548.0,0.5321472719522593,0.03721828768974718,0.5355392156862746,0.4946538440624263,0.05207915631291862,0.4922191199646634,0.5319708029197081,0.03676224310324083,-0.007678609443408292,0.08628785118292887,0.06581668230421965,0.07508439899684675,0.48934306569343067,0.043770308987392696
prepared_meals_frequency_occasional_cohort,0.015643564356435644,624.0,0.6535157790927022,0.040483029473432575,0.658284023668639,0.4915987140098933,0.04882118695503692,0.4909279204639602,0.6210256410256412,0.03906871170203264,-0.014335612564555107,0.07993711581740047,0.24300387061985032,0.07845096846104367,0.48717948717948717,0.04039987501689418
sugary_sweets_frequency_rare_cohort,0.01,1184.0,0.6311258217677136,0.025559034333352517,0.6339595507669833,0.49087365988057785,0.033106904111127364,0.48930441411831904,0.59875,0.02333701523613255,-0.009353776317049237,0.058078862724840266,0.19784057579292344,0.0467836043121071,0.49192567567567574,0.02948259923716701
alcohol_frequency_regular_cohort,0.0099009900990099,1926.0,0.6738923654568211,0.025428334200659188,0.6755532483786552,0.5089226758792813,0.029568986750266698,0.5105881203180683,0.6247466666666667,0.023457816512956947,0.014133706981305888,0.050421867745941505,0.25042897805203806,0.046816705827056694,0.5042666666666666,0.024406920694298527
salted_snacks_frequency_regular_cohort,0.0099009900990099,1394.0,0.7580950418058623,0.023374630139614994,0.76336324858917,0.4968011712468816,0.03049460623459659,0.49841990824565224,0.6862821526199651,0.024368383710576647,-0.006403461943969787,0.04986401300568587,0.37333332279156806,0.04884241835081192,0.4934565095675658,0.02464707792299583
frozen_dessert_frequency_regular_cohort,0.20534653465346533,330.0,0.5831582674711765,0.05686308989162908,0.5809467153904988,0.5027687398652138,0.07487516044697938,0.5002962610078383,0.5536835145459889,0.05470810369886027,0.01025372939967903,0.12924914111481706,0.10968672323850898,0.11096933739719321,0.4946929180135175,0.0641285776627851
sugary_sweets_frequency_daily_cohort,0.0099009900990099,1136.0,0.7362676056338028,0.028689292954096487,0.7416683197778218,0.4988405624364391,0.02979631297888455,0.500198279220784,0.6780985915492956,0.0258517855957455,-0.008470570580712938,0.053224039947004434,0.3567268592552878,0.05184015236007572,0.4928873239436619,0.026269493569581824
red_meat_frequency_regular_cohort,0.0099009900990099,1630.0,0.7246050460803276,0.021430883897340703,0.7255304926612812,0.4932538965450597,0.026988732950835547,0.49362167944650015,0.6644266666666667,0.02085708406166968,-0.012923765673454587,0.047753660694972555,0.3297871608716054,0.04179122936896463,0.49093333333333333,0.02381708070552168
red_meat_frequency_rare_cohort,0.017623762376237626,1630.0,0.5890358686995107,0.023534210904941736,0.5878015132552055,0.4977669731472936,0.030318388548869604,0.5020376176556713,0.56928,0.01900822745842208,-0.0023280903046992755,0.050365493610238656,0.13915710399037487,0.03808983633223696,0.4965866666666667,0.02486609114615502
vitamin_b_supplement_frequency_regular_cohort,0.18465346534653462,670.0,0.5686252151462995,0.039244692455946334,0.5702947845804989,0.5095011371570359,0.04923696334352945,0.5128480915172022,0.5429234388366125,0.033803851604182644,0.010167423083925382,0.0821191311562408,0.08636935680683575,0.067858426642506,0.5006732962646137,0.04131235025302016
