,p_val,n_samples,auc_mean,auc_std,auc_median,shuffled_auc_mean,shuffled_auc_std,shuffled_auc_median,acc_mean,acc_std,shuffled_matthews_mean,shuffled_matthews_std,matthews_mean,matthews_std,shuffled_accuracy_mean,shuffled_accuracy_std
olive_oil_occasional_cohort,0.5244554455445545,204.0,0.5035692307692308,0.07865553092045528,0.5,0.5099238301705619,0.08481675291192597,0.5055399719495091,0.49588235294117644,0.06133808466627174,0.00704117736549229,0.14858401584485703,-0.008871286978075875,0.12374511118122523,0.4880392156862745,0.0758848862119577
prepared_meals_frequency_occasional_cohort,0.032772277227722774,1252.0,0.5835436060754532,0.03008384103638237,0.5764331210191085,0.5021379741234577,0.0322450415786826,0.5010003808211773,0.5611182108626197,0.024630308650868637,0.0055316099508284965,0.0561587286483488,0.12304906310126387,0.04972095173815621,0.4983067092651757,0.027754937128849452
sugary_sweets_frequency_rare_cohort,0.12811881188118812,372.0,0.5898658649398705,0.04988903734461658,0.5923913043478262,0.5010089620315832,0.059201292596013325,0.5058065107649825,0.5682795698924732,0.04692843189333761,0.00642461061085503,0.09494253919088441,0.1380244850741618,0.09476668962114977,0.494516129032258,0.047810059891206846
alcohol_frequency_regular_cohort,0.009999999999999998,920.0,0.6739999999999999,0.03207396304513333,0.6743856332703213,0.5000495567232113,0.032514318829690934,0.5048044372294374,0.6250434782608696,0.030848860172023266,0.003112273756754454,0.05966671898261798,0.2515903325040734,0.06205247329161656,0.4976086956521739,0.030343808130678912
salted_snacks_frequency_regular_cohort,0.0099009900990099,492.0,0.7578212585933367,0.034936553219082685,0.7620967741935484,0.4990164456636495,0.05081492439664242,0.500330371383003,0.6873983739837398,0.034250229111592465,0.002178253754533317,0.09139905145353765,0.3768396462115197,0.06906917859249605,0.49341463414634157,0.04677016086833793
frozen_dessert_frequency_regular_cohort,0.3304950495049505,102.0,0.5822460552268245,0.09042458217990437,0.5897435897435898,0.5175929753535805,0.1017603985268901,0.5254870129870131,0.5617230769230769,0.08540811319082378,0.03468602305302582,0.17304092304417046,0.12754072396247232,0.1753849973599555,0.48386153846153845,0.0838599833337315
sugary_sweets_frequency_daily_cohort,0.01336633663366337,360.0,0.7157802469135802,0.046631681902427995,0.7112345679012346,0.5003152332464221,0.06267133050523409,0.4982350372783104,0.6570000000000001,0.047105214515676515,-0.00895985422545329,0.11146682008962676,0.31536380824333166,0.09444446712318844,0.48522222222222217,0.05402457145584456
red_meat_frequency_regular_cohort,0.010792079207920793,588.0,0.7217854498333949,0.0388231997427982,0.71945575712699,0.4959292521144411,0.04926821432630503,0.4988724441831469,0.6638775510204081,0.032838123535779314,-0.000603765169595085,0.07989400089286659,0.3299182963950185,0.06600535674225459,0.49435374149659855,0.040884919687753256
red_meat_frequency_rare_cohort,0.13287128712871288,588.0,0.5769918548685672,0.03643419037903147,0.5782117734172529,0.5042054530863296,0.046979026208891043,0.4952204032663803,0.5520408163265307,0.03638502004847589,0.004266342553845468,0.08891667486079616,0.10570794022582937,0.073536433264084,0.49557823129251694,0.04409060755197612
vitamin_b_supplement_frequency_regular_cohort,0.40158415841584166,206.0,0.5264242603550296,0.07717826299944859,0.5226923076923077,0.4924643121956891,0.08461955093063056,0.49810387864823347,0.518868778280543,0.06363841186123861,-0.021571232496237203,0.13435882755463838,0.0389442331008353,0.13070928158268486,0.47611990950226235,0.06693243587275957
