,p_val,n_samples,auc_mean,auc_std,auc_median,shuffled_auc_mean,shuffled_auc_std,shuffled_auc_median,acc_mean,acc_std,shuffled_matthews_mean,shuffled_matthews_std,matthews_mean,matthews_std,shuffled_accuracy_mean,shuffled_accuracy_std
acid_reflux,0.2322772277227723,774.0,0.5324115826702035,0.03338261291454704,0.5319039198349543,0.4937988718081456,0.03838177837118201,0.4953212496315944,0.5205579399141631,0.029866403583843612,-0.00514714741424711,0.06574557426825178,0.04118506904369844,0.05987980080875043,0.4975965665236052,0.03285894761824726
add_adhd,0.4695049504950496,292.0,0.507422520661157,0.04869745599375087,0.5105888429752066,0.5019761278882924,0.05961034935398498,0.4963768115942029,0.5097727272727273,0.04291243727321104,0.007950852765326895,0.10688223099622857,0.019599370914080504,0.08625131734130144,0.5043181818181818,0.05317356190768504
age_1-2,0.03405940594059406,112.0,0.723840830449827,0.06599967563875359,0.7301038062283737,0.4887175429287521,0.09326656012441317,0.4818038735101884,0.6373529411764707,0.06057038572023112,-0.011099298841742308,0.1760540420245346,0.28137220900848664,0.12363950273379229,0.49147058823529405,0.08557711672272207
age_3-5,0.0099009900990099,236.0,0.8422658730158729,0.04137728287716339,0.8436507936507935,0.4946824386042092,0.06952600009146735,0.4903846153846154,0.7616901408450706,0.04938342308608493,-0.005791199272991473,0.11632973781546371,0.5256890311635456,0.09883019775447739,0.4978873239436619,0.057016165134890905
age_6-18,0.0099009900990099,610.0,0.8491005733397037,0.022592573654205035,0.8486024844720497,0.4944508710568746,0.04702164735621217,0.4931204848438751,0.7679781420765027,0.027490412413101767,-0.007101036946166205,0.07672990331622505,0.5384389453668392,0.05489463076151024,0.496448087431694,0.03807433664075242
age_over65,0.011188118811881188,1620.0,0.6091435079340887,0.01987571935281147,0.6100272654913715,0.5011025190510622,0.027352588392290822,0.5013384386012469,0.5776131687242798,0.01849811404453052,0.0008879122423231415,0.04380375648933922,0.15537587552273494,0.03707163350086919,0.5002674897119341,0.022049425342932725
alcohol_daily_cohort,0.0099009900990099,1154.0,0.6524383761876286,0.02263856565473955,0.6519168161583948,0.5017944799836908,0.030344594063527963,0.5045847176079734,0.6115273775216139,0.022173353385211925,0.001794069988592058,0.05552676866881331,0.22333204920758354,0.04434510676100978,0.5007780979827089,0.02775219130896367
alcohol_occasional_cohort,0.16099009900990097,1796.0,0.5360102574693651,0.023200600655571803,0.5372160264353574,0.5002669718535897,0.025342204846161776,0.4997383784974664,0.5279035250463822,0.02123055429271892,-0.00035261983357026406,0.044236254435760965,0.05589638013767496,0.04252318760336804,0.49977736549165125,0.022056521331419873
alcohol_rare_cohort,0.3452475247524752,1796.0,0.5125366239845792,0.02117854450839235,0.5135136995731792,0.498526406269532,0.02521189975278902,0.4989395134371211,0.5083487940630799,0.020898148928131684,-0.0009403297784329025,0.042265921889787846,0.016741532053456732,0.04187495836070324,0.49940630797773666,0.020976042404828803
alcohol_regular_cohort,0.01316831683168317,1796.0,0.583502478314746,0.021875602024352413,0.5860250585157648,0.49814440903535046,0.02346075247897745,0.5005991935327354,0.5614842300556586,0.019163459204157025,-0.004517056324034432,0.04118352624242041,0.12310290776631133,0.03834269910033302,0.4976252319109463,0.020516796383608104
alcohol_types_beercider,0.04376237623762377,4086.0,0.5558880774532035,0.01980341613159841,0.5552054154995332,0.5004407186179005,0.022526991609441094,0.5006111772957168,0.5404166666666668,0.018894994928110816,0.0013125378367234914,0.03900693543597559,0.0807116217345628,0.03777457232054978,0.5006166666666667,0.01930551878493701
alcohol_types_red_wine,0.025346534653465348,5038.0,0.57107202810419,0.022823593900864126,0.5697935542684351,0.4983929227317887,0.023456941317786344,0.49621691507723853,0.5500166666666666,0.021327466641243006,-0.002621444908391774,0.0412707797316844,0.09958398801164721,0.042670915442092276,0.4987500000000001,0.020506604627127653
alcohol_types_sour_beers,0.25356435643564357,506.0,0.5504120498614958,0.041463213096908834,0.5514196675900278,0.5070680689520596,0.05132466665135322,0.5045209528777603,0.5386184210526315,0.035228466340733906,0.011493177504594602,0.08514935488479522,0.07735961414999835,0.07056487404152442,0.5057894736842105,0.04194335647459048
