,p_val,n_samples,auc_mean,auc_std,auc_median,shuffled_auc_mean,shuffled_auc_std,shuffled_auc_median,acc_mean,acc_std,shuffled_matthews_mean,shuffled_matthews_std,matthews_mean,matthews_std,shuffled_accuracy_mean,shuffled_accuracy_std
acid_reflux,0.11366336633663365,774.0,0.5699786324786325,0.03324801101306728,0.5722443265546713,0.4956517069929389,0.04656430642643611,0.49284334650559564,0.5529184549356223,0.030336122881021107,-0.003668389483401303,0.06789114851671055,0.10640118101601834,0.06087079572494691,0.493991416309013,0.03285715372604842
add_adhd,0.38108910891089104,292.0,0.5232412190082646,0.05879899140841968,0.5227272727272727,0.49834885986004807,0.058887915303462934,0.4963768115942029,0.5102272727272728,0.0493893495729562,-0.004144954633214619,0.09345795737211425,0.020672543975659177,0.09942252059535996,0.4905681818181818,0.047674619224298144
age_1-2,0.02435643564356436,112.0,0.7459688581314878,0.065182475432488,0.7508650519031141,0.49439057111113655,0.0924529607060219,0.4964285714285715,0.6608823529411764,0.06396027638321539,-0.0020842619975142383,0.1716814828557532,0.3302070851704651,0.1314169108457887,0.47941176470588237,0.0853954772997528
age_3-5,0.0099009900990099,236.0,0.8468492063492061,0.044478367864175535,0.853968253968254,0.48985763459545856,0.07254830008316093,0.49841143664673077,0.7754929577464789,0.04853824387867396,-0.0038079188003979415,0.11765997543971417,0.5544845078977085,0.09672565457583832,0.4911267605633802,0.05894176886252672
age_6-18,0.0099009900990099,610.0,0.85457596751075,0.02599078233062955,0.8559483994266603,0.49485722804484844,0.04185822474008474,0.4915032881931823,0.774535519125683,0.03117743747843845,-0.007443957933459771,0.07041871335942791,0.5503051844854892,0.062147150931635246,0.49251366120218587,0.03566305433378617
age_over65,0.0099009900990099,1620.0,0.6352331114836831,0.019547731460802218,0.6368524445799251,0.4961369504216265,0.024872455371479973,0.49407558465763496,0.5966666666666666,0.019313042625953483,-0.00588732459504819,0.04541355412493761,0.193709888204262,0.038577560502112765,0.49559670781893006,0.022343860053744204
alcohol_daily_cohort,0.0099009900990099,1154.0,0.7187196863995748,0.027795896324003262,0.7192545345824197,0.5061244595033682,0.036976663956786976,0.5059525162193165,0.6586743515850145,0.02650143841514843,0.012266819346240623,0.05815159489896821,0.3178683766551005,0.05294760099924484,0.5039481268011528,0.028742421340984536
alcohol_occasional_cohort,0.0099009900990099,1796.0,0.6151238468952224,0.01943103120947066,0.6135963100647115,0.49988207391843964,0.0240921059863338,0.5013646570470376,0.5846196660482375,0.018816119451428123,0.0023123267205296134,0.04070792295917547,0.16959234330782336,0.03771354676046961,0.4993320964749536,0.02044021770058199
alcohol_rare_cohort,0.0408910891089109,1796.0,0.5605956904860251,0.020330434078964302,0.5615103951535179,0.5013791158938042,0.025959071556869114,0.5042443439183854,0.5426716141001856,0.018596423844525766,0.004404289031129152,0.044467323675202876,0.08558403808655594,0.037296121328772934,0.5007792207792208,0.022272230798112892
alcohol_regular_cohort,0.0099009900990099,1796.0,0.6768575657441828,0.021436789812022888,0.6744114002478316,0.4997075672985698,0.023126467450660382,0.4993443513682595,0.6306307977736549,0.02095915830017533,0.0024336619163332755,0.039031762554572136,0.2621450040918783,0.041976952367536874,0.4996660482374768,0.01993183367564146
alcohol_types_beercider,0.009999999999999998,4086.0,0.6084753901560623,0.020242188952391306,0.6061758036547953,0.5035109426165105,0.02445468259617026,0.5040298897466639,0.5790333333333333,0.01995854036079125,0.0037063081531852715,0.04198033566392009,0.1573765394781323,0.04003426646865676,0.5009166666666666,0.021150748607712842
alcohol_types_red_wine,0.0099009900990099,5038.0,0.6262506253404632,0.02098253497426801,0.6296428055274539,0.501010198779514,0.019665530376856335,0.49851384033754276,0.5954666666666666,0.017298169459993927,0.0007736286745973839,0.03445566898976181,0.18976453317634978,0.034923943123443706,0.5007833333333334,0.017545900122567414
alcohol_types_sour_beers,0.04128712871287129,506.0,0.6044858033240997,0.029496809995756504,0.6047870498614958,0.5019380359414538,0.05040213414770678,0.5009235837887523,0.5734868421052632,0.032657764854061244,-0.005003773937366829,0.0834329678719191,0.1479651686038252,0.06583051212965418,0.49296052631578946,0.042138709988576835
alcohol_types_spiritshard_alcohol,0.022871287128712874,3142.0,0.5613697929977,0.018523783926562645,0.561639573773042,0.5002552092868608,0.02203639496147641,0.5013453590409096,0.5414666666666667,0.01586624649303602,0.0006221361477753058,0.0377745468003073,0.08294671918497348,0.03174902880237364,0.49895,0.01886745434162578
alcohol_types_white_wine,0.09702970297029703,3502.0,0.5377068262381794,0.02281930208783359,0.5355813359113689,0.4937811013524112,0.024066957191030414,0.49565347720172215,0.5271,0.020017520103926736,-0.006630327796902029,0.04159724895493853,0.054016464198685596,0.04008937857731499,0.4954833333333334,0.020989805726696103
allergic_to_i_have_no_food_allergies_that_i_know_of,0.010099009900990098,4750.0,0.6088333925952264,0.020026170710350562,0.6087992799679985,0.5006512906575707,0.02653198220270534,0.5002032644104384,0.5802,0.01910974155299391,0.000976370423513418,0.046194851265722384,0.16047500781326537,0.03826587121290172,0.49931666666666674,0.023056807864248876
allergic_to_other,0.157029702970297,808.0,0.5372375016935375,0.02633154567700976,0.5352255791898117,0.4946214457343649,0.03335292835268999,0.49844183538705733,0.5305761316872428,0.026313357036996488,-0.0053502455913106,0.06326063498403524,0.06129292791022442,0.05276254227194251,0.49489711934156366,0.030870342323840737
allergic_to_peanuts,0.11683168316831682,108.0,0.6648897058823531,0.07880928694582914,0.6709558823529412,0.49895855217558704,0.10301181814597923,0.49072589562140645,0.6230303030303032,0.07729589670469528,0.0033237821061014392,0.1703909102325296,0.251024725215717,0.15713003341476056,0.47939393939393943,0.08744721614009203
allergic_to_shellfish,0.5428712871287129,214.0,0.49671401515151514,0.06246719969775866,0.4966856060606061,0.5082026013303036,0.07070926026170786,0.5071879021879022,0.4987692307692307,0.05822543416267458,0.009031778383451698,0.13004939924099415,-0.0024402613651238066,0.11809167042662279,0.4906153846153847,0.06591710770928437
allergic_to_tree_nuts,0.31049504950495044,118.0,0.5643364197530863,0.07974967474212909,0.5632716049382716,0.5010635897561052,0.09736995737889027,0.495297066194899,0.5458333333333334,0.0777157490752099,-0.0010073812651852619,0.16042042913155632,0.09235736618535775,0.15868439953031024,0.4833333333333333,0.07767850807838647
antiB_6Month_cohort,0.0099009900990099,1548.0,0.6464874389521976,0.021535293815881252,0.6455342607666125,0.4983469131837073,0.028275325171141646,0.4976578886571761,0.6065376344086021,0.020658418682418262,2.0638965138012056e-05,0.05247777675061216,0.21380597908564508,0.04144125600004198,0.49789247311827944,0.026404328749545437
antiB_Month_cohort,0.031188118811881195,364.0,0.6551388429752066,0.046181765501014105,0.6551239669421488,0.5017278574654673,0.06297083402424235,0.5008311708370421,0.6081818181818182,0.04159028812253773,0.010486827925794487,0.11402368238254847,0.21774481819786626,0.08386695506000359,0.5005454545454546,0.05571206970436301
antiB_Week_cohort,0.028019801980198027,238.0,0.7008912037037036,0.04713323028355008,0.6986882716049383,0.511038890480693,0.07261768788173142,0.5052357343379015,0.6566666666666667,0.044317527118246824,0.014643094077657745,0.11962041952053525,0.318062844613992,0.08907783007952998,0.5013888888888889,0.058382915436065844
antiB_Year_cohort,0.0099009900990099,1892.0,0.613030214739139,0.01866704918242571,0.6141886530450307,0.4984944298579221,0.023907506924729056,0.49954487135848935,0.5791549295774648,0.018781044523829612,-0.0030141535182164913,0.043350532709315444,0.15868170063653875,0.03766384498050796,0.49686619718309855,0.02187152641959475
appendix_removed,0.18910891089108908,1060.0,0.5391926743404137,0.02783870846130024,0.5379830702899411,0.5012868942962782,0.030367552978770973,0.5022324918804354,0.5318238993710692,0.024545551103052725,0.004842872871002537,0.05127286691845199,0.06382291126146072,0.04919485974743688,0.5000943396226415,0.025711100287220498
asd_cohort,0.29782178217821786,212.0,0.545869140625,0.055984583810368416,0.544189453125,0.4969438094001368,0.06732442310952691,0.4995093153046435,0.5390625,0.052361237750362624,-0.013248943476304289,0.11180381133686267,0.07940630930344945,0.1061135965548168,0.48140625,0.05540577410963139
autoimmune,0.06198019801980198,740.0,0.582387793198604,0.03460869737289518,0.5797013229445662,0.49817339191078,0.04003697938390724,0.49965461194636324,0.556081081081081,0.031314406885091274,-0.0027040026098720336,0.0699786863474137,0.11258204613408793,0.06290965970646553,0.49427927927927934,0.03606336238687663
bmf_2_cohort,0.03782178217821783,2294.0,0.56405,0.019136800789171755,0.5625722222222223,0.5017673549349678,0.024239821343151852,0.4994301087339977,0.5461,0.018984233224207694,0.0005495124671513936,0.04003831378613614,0.09234256909740987,0.03802166675981504,0.49891666666666656,0.020176134141328683
bmf_3_cohort,0.055841584158415856,566.0,0.592198615916955,0.030377923684591815,0.5938062283737024,0.498428723934189,0.04454893923658352,0.4981984478935698,0.569235294117647,0.030935304743686862,-0.015316788923264208,0.0757278404587866,0.13913644049450202,0.06213862951723713,0.48870588235294116,0.038668854092364945
