,p_val,n_samples,auc_mean,auc_std,auc_median,shuffled_auc_mean,shuffled_auc_std,shuffled_auc_median,acc_mean,acc_std,shuffled_matthews_mean,shuffled_matthews_std,matthews_mean,matthews_std,shuffled_accuracy_mean,shuffled_accuracy_std
acid_reflux,0.14128712871287127,774.0,0.5526565723548482,0.03197773026466113,0.5524241084585912,0.49754804439694267,0.03731101564461462,0.4950799052974253,0.5360515021459227,0.03081473333534574,0.0008137431060796641,0.0627113643149505,0.07240749950793152,0.061834765497698244,0.4984549356223175,0.03055372011178398
add_adhd,0.4375247524752474,292.0,0.512809917355372,0.05710282756681973,0.5108471074380165,0.500131537120351,0.06293116969979012,0.5018274249673772,0.5037499999999999,0.05421431206085166,-0.004996142091560199,0.10296695379140161,0.007745434833207272,0.1093296739186171,0.4929545454545455,0.052538356708407195
age_1-2,0.03940594059405941,112.0,0.7249826989619379,0.07502425943544767,0.7197231833910034,0.48847631619023446,0.09838033136856701,0.48083530625872645,0.6535294117647058,0.06954871833077363,-0.024357283502346186,0.17093859903355627,0.3129957220499241,0.14150500196829432,0.47352941176470587,0.08488746876271655
age_3-5,0.0099009900990099,236.0,0.8485396825396825,0.03941924077414324,0.857936507936508,0.49465060816483364,0.0702845495430089,0.4980025822131085,0.7771830985915493,0.04292332955162797,-0.00590972067152501,0.11623010002031818,0.5578071826598897,0.08545883092544496,0.49253521126760574,0.05825795471727199
age_6-18,0.0099009900990099,610.0,0.858889751552795,0.02259265915174147,0.8615026278069757,0.48902188903901816,0.04066772097760503,0.48956577048682315,0.7717486338797817,0.028965408573775376,-0.018631557594966965,0.07008296386851623,0.5447832390859827,0.057672538636156005,0.4889071038251366,0.03514689359977969
age_over65,0.0099009900990099,1620.0,0.6428812511642873,0.019783405854429528,0.6412979051296381,0.49579279738533644,0.026600704701946254,0.4960624600077632,0.5983950617283951,0.019219428757606207,-0.006613790684630524,0.04538623287297771,0.19702918461075353,0.038500411476311495,0.4958436213991769,0.022832980196937625
alcohol_daily_cohort,0.0099009900990099,1154.0,0.7364512324762476,0.021521043815204983,0.7404657497840674,0.501402394360911,0.03144310607970681,0.5004820878464289,0.6710951008645535,0.022532466533930914,-0.0011295920153236833,0.055240284099275755,0.3428106357082414,0.04511731528454136,0.498328530259366,0.02766474542040181
alcohol_occasional_cohort,0.0099009900990099,1796.0,0.6227265592730277,0.020731948959384315,0.6225664326036073,0.4957235239065345,0.026842369216457756,0.49969338174105987,0.5862337662337663,0.020304984580843982,-0.004284584812654179,0.04693329156869338,0.17266105066542006,0.040679394690165877,0.4969016697588126,0.0235644236557175
alcohol_rare_cohort,0.07267326732673268,1796.0,0.5487282114828583,0.017443261762043805,0.5483409059617239,0.5006377353435281,0.026478095598224064,0.5003959804915872,0.534582560296846,0.015149919772632685,0.0017012367438421036,0.04472194447648751,0.06928409104747371,0.03033832904978988,0.5001113172541745,0.022457901598758573
alcohol_regular_cohort,0.0099009900990099,1796.0,0.6764773509569048,0.01594271433245827,0.6760360732479692,0.5015282768823269,0.02533956234543753,0.5011414139866863,0.6279591836734694,0.016053234178746066,0.001235121123361851,0.04612817122991105,0.25618466626436354,0.03210699502936258,0.499925788497217,0.02308088096676023
