,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
acid_reflux,0.648781213,0.574971645,0.591833648,0.637882798,0.628455707,0.566540643,0.606767486,0.647637051,0.581153389,0.602873346,0.563856333,0.63342155,0.606309453,0.634328922,0.593270321,0.60710775,0.586206897,0.593724008,0.602835539,0.616786389,0.580001486,0.681776938,0.619659735,0.587334594,0.590182818,0.588015123,0.641323251,0.594215501,0.591000297,0.617504726,0.665141777,0.583742911,0.626374851,0.589376181,0.600302457,0.65221172,0.612143282,0.614215501,0.63731569,0.61826087,0.600326992,0.607901701,0.61610586,0.605595463,0.608873365,0.577466919,0.68147448,0.555349716,0.627972652,0.61489603,0.595879017,0.611077505,0.636481867,0.652249527,0.56026465,0.647637051,0.583271403,0.632703214,0.595009452,0.656862004,0.610991379,0.6931569,0.607183365,0.595122873,0.607015458,0.6263138,0.590548204,0.589716446,0.686756837,0.603440454,0.601436673,0.618979206,0.588027646,0.623137996,0.595349716,0.575538752,0.626895065,0.624725898,0.641096408,0.566465028,0.603336801,0.596408318,0.60979206,0.606805293,0.632282996,0.619924386,0.620075614,0.61342155,0.564172117,0.63826087,0.607826087,0.616975425,0.600475624,0.632362949,0.60294896,0.593119093,0.559192925,0.664612476,0.619659735,0.587599244
add_adhd,0.646258503,0.561791383,0.64399093,0.583581202,0.571995465,0.536848073,0.511904762,0.591314694,0.603174603,0.569160998,0.608276644,0.637120761,0.609693878,0.68537415,0.505952381,0.58774539,0.593537415,0.675170068,0.560090703,0.541939322,0.603174603,0.624716553,0.604875283,0.602320048,0.740362812,0.602040816,0.578231293,0.58477097,0.576530612,0.683673469,0.610544218,0.594883998,0.604591837,0.599206349,0.640589569,0.655562165,0.647675737,0.476190476,0.62585034,0.56395003,0.47675737,0.504818594,0.511054422,0.698988697,0.591553288,0.578231293,0.585884354,0.583878644,0.610260771,0.45521542,0.676870748,0.5892326,0.6638322,0.649659864,0.656462585,0.632361689,0.60430839,0.648526077,0.718253968,0.530636526,0.562358277,0.599773243,0.646825397,0.649315883,0.618480726,0.575963719,0.70861678,0.490779298,0.638888889,0.623015873,0.64569161,0.59369423,0.571145125,0.684240363,0.73015873,0.614812612,0.713151927,0.601473923,0.551587302,0.657346817,0.58531746,0.614512472,0.591836735,0.712076145,0.579931973,0.567743764,0.694727891,0.598750744,0.58276644,0.632086168,0.591269841,0.619274242,0.451814059,0.651927438,0.696145125,0.666270077,0.473922902,0.631519274,0.572562358,0.731707317
age_1-2,0.844444444,0.724444444,0.666666667,0.602040816,0.791111111,0.693333333,0.644444444,0.719387755,0.644444444,0.764444444,0.711111111,0.760204082,0.688888889,0.688888889,0.773333333,0.846938776,0.648888889,0.711111111,0.773333333,0.678571429,0.68,0.782222222,0.777777778,0.729591837,0.737777778,0.6,0.817777778,0.795918367,0.693333333,0.724444444,0.835555556,0.612244898,0.791111111,0.777777778,0.608888889,0.734693878,0.737777778,0.626666667,0.777777778,0.831632653,0.715555556,0.884444444,0.795555556,0.591836735,0.782222222,0.844444444,0.595555556,0.551020408,0.733333333,0.666666667,0.8,0.642857143,0.764444444,0.746666667,0.755555556,0.642857143,0.591111111,0.804444444,0.728888889,0.81122449,0.782222222,0.582222222,0.804444444,0.693877551,0.768888889,0.742222222,0.777777778,0.642857143,0.773333333,0.777777778,0.706666667,0.663265306,0.702222222,0.64,0.88,0.704081633,0.782222222,0.595555556,0.742222222,0.887755102,0.813333333,0.684444444,0.804444444,0.612244898,0.768888889,0.666666667,0.831111111,0.602040816,0.711111111,0.644444444,0.804444444,0.801020408,0.777777778,0.728888889,0.706666667,0.617346939,0.764444444,0.84,0.662222222,0.704081633
age_3-5,0.852222222,0.858888889,0.817777778,0.900118906,0.853333333,0.837777778,0.781111111,0.87039239,0.846666667,0.755555556,0.748888889,0.892984542,0.773333333,0.877777778,0.862222222,0.745541023,0.875555556,0.797777778,0.815555556,0.871581451,0.804444444,0.838888889,0.823333333,0.819262782,0.788888889,0.888888889,0.852222222,0.822829964,0.871111111,0.841111111,0.834444444,0.869203329,0.787777778,0.884444444,0.87,0.807372176,0.805555556,0.84,0.89,0.85255648,0.845555556,0.802222222,0.875555556,0.822829964,0.797777778,0.925555556,0.821111111,0.79548157,0.864444444,0.834444444,0.804444444,0.81450654,0.844444444,0.864444444,0.802777778,0.862068966,0.895555556,0.752222222,0.906666667,0.848989298,0.833333333,0.84,0.792222222,0.800237812,0.842222222,0.883333333,0.8,0.784780024,0.821111111,0.874444444,0.816666667,0.839476813,0.787777778,0.856666667,0.793333333,0.863258026,0.802222222,0.87,0.811111111,0.894173603,0.766666667,0.864444444,0.803333333,0.929845422,0.807777778,0.848888889,0.832222222,0.847800238,0.764444444,0.806666667,0.896666667,0.824019025,0.828888889,0.741111111,0.875555556,0.903686088,0.785555556,0.795555556,0.895555556,0.894173603
age_6-18,0.834483892,0.881328074,0.841387245,0.880013149,0.861932939,0.841715976,0.88921762,0.852728468,0.849112426,0.814349112,0.889710717,0.861522025,0.859960552,0.828402367,0.883957922,0.850016437,0.890203813,0.791255753,0.823964497,0.861604208,0.889135437,0.84656476,0.811143984,0.835470085,0.821827745,0.866863905,0.872945431,0.844510191,0.919625247,0.804404997,0.83916831,0.818540434,0.891683103,0.795118343,0.847304405,0.868836292,0.878533859,0.821827745,0.830539119,0.876561473,0.89957265,0.793885602,0.86965812,0.82199211,0.860618014,0.835552268,0.87886259,0.830621302,0.85486522,0.820019724,0.906311637,0.83530572,0.793228139,0.860618014,0.900230112,0.845825115,0.840236686,0.875082183,0.867357002,0.847304405,0.875410914,0.873767258,0.803583169,0.865959895,0.870069034,0.862097304,0.829059829,0.829881657,0.862097304,0.865713346,0.805226824,0.861768573,0.878040763,0.850262985,0.825279421,0.844838922,0.816157133,0.880177515,0.875082183,0.839825773,0.849769888,0.849112426,0.829799474,0.86078238,0.848126233,0.89957265,0.881656805,0.73191979,0.865384615,0.853879027,0.858316897,0.807363577,0.846975674,0.847222222,0.881656805,0.847468771,0.851495726,0.841551611,0.878287311,0.795857988
age_over70,0.57923265,0.561908811,0.566744606,0.646267361,0.583111914,0.657987034,0.624667871,0.636176215,0.569242215,0.678074184,0.581411415,0.526584201,0.580029759,0.582899352,0.657243065,0.635850694,0.609203954,0.588585397,0.585556382,0.656358507,0.625305559,0.63938782,0.603039643,0.611979167,0.608194282,0.603411627,0.593580614,0.587999132,0.649325114,0.595653098,0.554947391,0.606065538,0.565150388,0.692209587,0.596397067,0.636773003,0.660803486,0.597725582,0.590232756,0.609375,0.551918376,0.582899352,0.714688065,0.58468967,0.628972261,0.6794027,0.580348602,0.552300347,0.573015198,0.600914018,0.661760017,0.591959635,0.603464768,0.589595069,0.646614943,0.627821181,0.600701456,0.614783718,0.600542034,0.626193576,0.58273993,0.613667765,0.64108832,0.674207899,0.599000957,0.615899671,0.618397279,0.665147569,0.59320863,0.597034754,0.575300244,0.602430556,0.608194282,0.636358805,0.584918695,0.562065972,0.590657881,0.596556488,0.592517802,0.638997396,0.598575832,0.621904559,0.599000957,0.588270399,0.506483154,0.573812307,0.698692741,0.58062066,0.623764481,0.67074078,0.61239239,0.592393663,0.602083112,0.617653311,0.576788182,0.606499566,0.602029971,0.606865767,0.571846105,0.632161458
alcohol_daily_cohort,0.739480605,0.77280572,0.68067883,0.701799803,0.707593688,0.750493097,0.707162229,0.713284845,0.751356016,0.723023504,0.704511834,0.736768573,0.729741946,0.740096976,0.733604536,0.710880999,0.709319527,0.712524655,0.761587771,0.711764464,0.720927844,0.745048488,0.701697074,0.733173077,0.733666174,0.727502465,0.719284188,0.767484385,0.705436391,0.681192472,0.786612426,0.742767916,0.709381164,0.710778271,0.704450197,0.75949211,0.726598455,0.738905325,0.705621302,0.703648915,0.712750657,0.78287311,0.726557364,0.674535667,0.708086785,0.732618343,0.682384122,0.752712032,0.704080375,0.746486686,0.726269724,0.757190993,0.760807035,0.710737179,0.726084813,0.718770546,0.77872288,0.713860125,0.650928665,0.792529586,0.755547337,0.764176529,0.704511834,0.706545858,0.751869658,0.724543886,0.731015779,0.746240138,0.742809007,0.736439842,0.728858481,0.659660585,0.72452334,0.704840565,0.683390861,0.777777778,0.73964497,0.750719099,0.694506082,0.71030572,0.676836785,0.739870973,0.75815664,0.742562459,0.696848291,0.659434583,0.733542899,0.75844428,0.741062623,0.764854536,0.687458909,0.714538133,0.684993425,0.732104701,0.744493754,0.706176036,0.727276463,0.760026298,0.726721729,0.681397929
alcohol_occasional_cohort,0.633388977,0.645880489,0.652778175,0.61473019,0.60216727,0.639273993,0.634376162,0.625239498,0.623769239,0.614361702,0.621436129,0.590179874,0.593608533,0.585488343,0.628142069,0.642783608,0.597456428,0.656278293,0.609096628,0.618390575,0.626541987,0.624547306,0.581271984,0.64541451,0.605053191,0.631266976,0.582873402,0.639423489,0.57117191,0.648865437,0.619691727,0.625868626,0.589873812,0.60089407,0.624982127,0.645743373,0.590482119,0.608688886,0.583116475,0.630458406,0.60943866,0.621180398,0.632817638,0.561683205,0.587129357,0.646913196,0.61896251,0.623309217,0.597371548,0.595956881,0.651777288,0.640438674,0.632752377,0.625565867,0.603420172,0.604835712,0.559967746,0.639075939,0.600674883,0.624710458,0.600200883,0.63214407,0.629586205,0.616760559,0.62516976,0.615281236,0.660785267,0.613915182,0.592179719,0.637647125,0.607337928,0.638822957,0.610301607,0.667312698,0.634647831,0.604735623,0.644041421,0.623882413,0.608839258,0.665803998,0.629923042,0.656943187,0.61058366,0.623852555,0.670976686,0.620543798,0.591766994,0.595112814,0.620359891,0.608306926,0.637078555,0.643670108,0.60825034,0.59434416,0.584503417,0.618533558,0.604006338,0.618464237,0.585933255,0.604106494
alcohol_rare_cohort,0.583253169,0.542171231,0.626268981,0.571649175,0.556360344,0.56364588,0.604206583,0.5864194,0.543387845,0.595758828,0.562626898,0.558222998,0.555511544,0.57015335,0.55520604,0.570891361,0.563872227,0.605746378,0.534316109,0.588020818,0.545976686,0.554068583,0.549858446,0.591166462,0.560547759,0.544024445,0.54515428,0.586147731,0.579362834,0.587497171,0.603806228,0.563270325,0.613555342,0.564692734,0.565658154,0.598887586,0.559062359,0.584441489,0.558766336,0.54682719,0.540629244,0.574326618,0.571849352,0.558351683,0.583055115,0.572459258,0.600689182,0.56534359,0.584696129,0.529877773,0.572106723,0.60106094,0.614305115,0.559628225,0.562283737,0.556192628,0.572699751,0.563150747,0.541994338,0.568789499,0.60952354,0.588459144,0.557236409,0.543438474,0.563447827,0.59421684,0.615702479,0.518359118,0.537941376,0.605505885,0.571205925,0.592510509,0.586959597,0.590892372,0.528382281,0.55273242,0.568696243,0.55476177,0.587620464,0.593039549,0.605944432,0.608278633,0.544382167,0.55431954,0.582885355,0.518786781,0.591481026,0.567173782,0.548975781,0.593849027,0.593783065,0.62442449,0.577778407,0.549301154,0.600846464,0.53421602,0.528618719,0.546740607,0.561254254,0.554648403
alcohol_regular_cohort,0.678898823,0.64128282,0.690583088,0.634547742,0.642867248,0.637052965,0.683290915,0.659998856,0.666039498,0.652699185,0.639309102,0.680088078,0.620699411,0.658513468,0.660356316,0.705310418,0.691064962,0.70242474,0.63024393,0.630901656,0.696624604,0.653618719,0.626440562,0.722082416,0.718099253,0.675659235,0.606894678,0.681889674,0.652515278,0.72699751,0.666633304,0.65661014,0.668529312,0.643617021,0.712087849,0.70599674,0.640292553,0.633530444,0.657296463,0.705753668,0.654962653,0.708790742,0.692270297,0.612828505,0.672207447,0.640915007,0.686550945,0.631845349,0.690315188,0.648922024,0.68007378,0.690068346,0.661979402,0.633785084,0.666604707,0.665618119,0.665643391,0.639358873,0.62425291,0.732162773,0.66386091,0.668557605,0.679959393,0.701035203,0.655033386,0.680582277,0.714876033,0.654308101,0.652458692,0.660097895,0.655795133,0.699376591,0.653420665,0.709894183,0.661800452,0.665017587,0.689296627,0.658739814,0.696574108,0.679215877,0.677880263,0.652387958,0.7028225,0.658054277,0.6883488,0.634336804,0.653464497,0.681446424,0.684345292,0.661738909,0.677986216,0.66860648,0.665600951,0.621067225,0.673024679,0.66498899,0.643588728,0.692196695,0.671723527,0.682118448
