,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
acid_reflux,0.463626168,0.540114286,0.525475055,0.489968961,0.522745886,0.4531569,0.505964592,0.509946298,0.47162936,0.514300847,0.504326047,0.511469453,0.524949803,0.528276175,0.471916972,0.504662977,0.524383888,0.464815375,0.395984848,0.505750605,0.532634552,0.512704174,0.517056198,0.545217391,0.538186956,0.474979181,0.457075864,0.518159072,0.50160364,0.496521673,0.502231299,0.528904358,0.493293592,0.501138434,0.446967976,0.453950851,0.5212932,0.447410208,0.522321429,0.465897921,0.545372866,0.443657143,0.523971567,0.509942319,0.509970238,0.468333333,0.519494284,0.498934875,0.499516908,0.482651515,0.562083838,0.507637629,0.529131986,0.494062476,0.449107683,0.514026465,0.513861018,0.473132969,0.454669187,0.478283898,0.440157597,0.515087719,0.497727273,0.500986642,0.443269591,0.503956178,0.426129426,0.556790684,0.503536594,0.518083251,0.54880085,0.561152712,0.416369048,0.537251343,0.516031458,0.473529184,0.516174611,0.37572867,0.470094518,0.431145431,0.542202722,0.505660664,0.483834244,0.451905626,0.506526441,0.518266394,0.524137409,0.467513804,0.477029438,0.46746368,0.555378908,0.523561001,0.463392857,0.534304797,0.514848485,0.46407619,0.454971369,0.514225182,0.502790307,0.500075614
add_adhd,0.546485261,0.474758934,0.525241066,0.586124402,0.643221781,0.465136054,0.557823129,0.417629179,0.501418037,0.495745888,0.445294785,0.516666667,0.576768258,0.570938215,0.44242768,0.620155039,0.494044243,0.505720824,0.494586895,0.552583587,0.475568182,0.551332955,0.451851852,0.601669648,0.538854226,0.534316506,0.498823529,0.283088235,0.450680272,0.433819242,0.465277778,0.48777579,0.574928775,0.579916815,0.507369615,0.608333333,0.44356211,0.472540046,0.598411798,0.502676978,0.478977273,0.439316239,0.501736111,0.373881932,0.537152581,0.516165627,0.510795455,0.563995215,0.471794872,0.475400458,0.493294461,0.476190476,0.629608622,0.565759637,0.494897959,0.521765057,0.386727689,0.510204082,0.433638444,0.54954955,0.44356211,0.415768576,0.623369257,0.516304348,0.483760684,0.468181818,0.4,0.531400966,0.573529412,0.538548753,0.496590909,0.550151976,0.632478632,0.517939815,0.421022727,0.498498498,0.518878719,0.370845481,0.471395881,0.41208134,0.431922197,0.508913168,0.435897436,0.587987988,0.504545455,0.499145299,0.526739505,0.415669856,0.545294118,0.486670448,0.510063255,0.462731067,0.475213675,0.618055556,0.564102564,0.50148721,0.485827664,0.461931818,0.508831909,0.471079308
age_1-2,0.502222222,0.482142857,0.574162679,0.759358289,0.642222222,0.50462963,0.526785714,0.656410256,0.375565611,0.473214286,0.296296296,0.4,0.395,0.284444444,0.446428571,0.357142857,0.611607143,0.524886878,0.638392857,0.408163265,0.602678571,0.56,0.375,0.520408163,0.52,0.416267943,0.303571429,0.530612245,0.552036199,0.699074074,0.382222222,0.476923077,0.475113122,0.502392344,0.511111111,0.507692308,0.592760181,0.473214286,0.328888889,0.306122449,0.597285068,0.426666667,0.583710407,0.244897959,0.21875,0.483253589,0.479638009,0.605128205,0.488687783,0.531100478,0.533333333,0.41025641,0.522321429,0.475113122,0.401785714,0.546875,0.53,0.555555556,0.32,0.4,0.42,0.511961722,0.52,0.470588235,0.325892857,0.479638009,0.606334842,0.524064171,0.484444444,0.53125,0.532407407,0.524064171,0.285714286,0.527777778,0.561085973,0.502564103,0.398148148,0.396825397,0.71,0.558974359,0.26,0.578703704,0.546296296,0.505208333,0.691964286,0.694444444,0.526785714,0.446153846,0.577777778,0.435555556,0.597285068,0.427083333,0.5,0.485,0.325892857,0.689839572,0.584821429,0.231111111,0.546296296,0.552083333
age_3-5,0.448275862,0.599547511,0.388888889,0.401242236,0.458285714,0.565072303,0.611790879,0.492857143,0.5625,0.496527778,0.609427609,0.589090909,0.546162403,0.480533927,0.491898148,0.388095238,0.424107143,0.494994438,0.407407407,0.399044205,0.48,0.494212963,0.344866071,0.568484848,0.514508929,0.535038932,0.369419643,0.403726708,0.562200957,0.47362514,0.556919643,0.464285714,0.437152392,0.588169643,0.490285714,0.6,0.428253615,0.497767857,0.452300786,0.543608124,0.498888889,0.56,0.372171946,0.579072533,0.529142857,0.4296875,0.522803115,0.493990385,0.547777778,0.388209121,0.507777778,0.513095238,0.6015625,0.392361111,0.469457014,0.449223417,0.478857143,0.576923077,0.516129032,0.522102748,0.572222222,0.574635241,0.406006674,0.502403846,0.456790123,0.523007856,0.445701357,0.520496894,0.415555556,0.625140292,0.576195773,0.516666667,0.388209121,0.472,0.432703003,0.491161616,0.400673401,0.625140292,0.398190045,0.401433692,0.474444444,0.476084538,0.429854097,0.405048077,0.509259259,0.466517857,0.446759259,0.476702509,0.563959956,0.545555556,0.512906846,0.448317308,0.453333333,0.341490545,0.467185762,0.454311454,0.394285714,0.417420814,0.582175926,0.44
age_6-18,0.570533949,0.482225914,0.539309211,0.398518519,0.450864198,0.463322368,0.472098765,0.532215648,0.555061728,0.464144737,0.454717291,0.5618107,0.507539354,0.511348684,0.476744186,0.413168724,0.490697674,0.564484127,0.54860538,0.471430951,0.496323529,0.482473545,0.435390947,0.552843524,0.551043893,0.425493421,0.485690789,0.569179785,0.47473251,0.505787037,0.493521595,0.522693514,0.503968254,0.440666777,0.432102835,0.530161078,0.532085561,0.567255323,0.528888889,0.508552632,0.514238683,0.469594035,0.476574059,0.514403292,0.414201183,0.50295858,0.510274536,0.493716931,0.544197531,0.560414269,0.44526749,0.472316576,0.498602663,0.477037037,0.48720911,0.549235575,0.45618938,0.44375,0.518732464,0.566168009,0.553829717,0.463258261,0.55,0.438529993,0.531400166,0.474013158,0.524286685,0.554929577,0.534046053,0.534576663,0.508148148,0.454183927,0.5,0.474291365,0.48747528,0.534027778,0.443704799,0.501905551,0.446064623,0.500164474,0.474126566,0.562551373,0.495052826,0.544990112,0.488330046,0.525214239,0.593703397,0.502339572,0.495559211,0.458490876,0.513468013,0.488364417,0.532785511,0.472387566,0.51461794,0.452408351,0.329034392,0.472368421,0.465789474,0.417232809
age_over70,0.536842105,0.435528559,0.457225557,0.51861096,0.438617021,0.464940324,0.524539551,0.523034634,0.56202046,0.556196581,0.455212766,0.446958982,0.519042553,0.469498563,0.422863248,0.462114633,0.498127341,0.450361395,0.452884615,0.520453559,0.499201533,0.558404255,0.547208014,0.471983462,0.467793367,0.550807823,0.529969126,0.480086815,0.446274763,0.537521441,0.459925094,0.468152174,0.519451531,0.50132908,0.453003307,0.553050109,0.583120748,0.453644501,0.472257653,0.483695652,0.453183521,0.497604599,0.455840153,0.438363617,0.442183463,0.483490566,0.440434366,0.474638862,0.516270138,0.423829787,0.463541667,0.465217391,0.472542735,0.435077519,0.484369999,0.485948351,0.401479417,0.530477408,0.498559693,0.458061002,0.530080782,0.4363888,0.462065276,0.500980392,0.594804642,0.53486639,0.503617021,0.415454145,0.450976208,0.485933504,0.445225168,0.486349066,0.459223817,0.468884582,0.583653026,0.532570806,0.536255237,0.537613697,0.45287234,0.528995757,0.554634354,0.517113095,0.47893617,0.498155382,0.460701981,0.488144604,0.520706909,0.375932427,0.453056885,0.545241893,0.432316747,0.472455547,0.460139112,0.555484216,0.517065391,0.553070797,0.466125541,0.531844763,0.446609177,0.525990233
alcohol_daily_cohort,0.411348684,0.515090378,0.475694444,0.48932582,0.496794345,0.501458744,0.483083017,0.452455504,0.509575867,0.525411184,0.493978405,0.520658436,0.495746867,0.544950055,0.544086817,0.42845967,0.445137312,0.530494822,0.464555921,0.516037386,0.500493421,0.46328592,0.494390795,0.516735197,0.503819946,0.497225305,0.483962614,0.512348469,0.524716469,0.507465756,0.492526866,0.533044733,0.533085962,0.522000659,0.514746411,0.515090461,0.495644313,0.49755013,0.498289013,0.494325658,0.451356908,0.399958907,0.512188104,0.500968872,0.524437867,0.507333553,0.559682134,0.534691358,0.472592593,0.441118421,0.484200362,0.552095759,0.522357389,0.521963346,0.491399177,0.505691391,0.471419766,0.515061728,0.549276673,0.447777778,0.50110965,0.522775139,0.457530306,0.450053419,0.518658557,0.497253768,0.489291733,0.519353379,0.490524061,0.528567315,0.425858951,0.463046074,0.499691193,0.455203025,0.49399177,0.580658436,0.464145322,0.512541118,0.52897419,0.517839238,0.457612492,0.523127572,0.49861656,0.440337171,0.488363487,0.537123113,0.458214801,0.548930041,0.509247082,0.483303825,0.490179932,0.47606679,0.516819698,0.49516369,0.500473504,0.487508218,0.472314712,0.483589616,0.483908236,0.52616147
alcohol_occasional_cohort,0.546689304,0.480704437,0.451344302,0.488088088,0.457403163,0.495570964,0.500100272,0.543595756,0.531498627,0.472615648,0.536091323,0.502447542,0.483106961,0.496065444,0.519983978,0.50470632,0.476551155,0.528543084,0.462817976,0.49328715,0.456326623,0.521411578,0.507635234,0.540864834,0.433139866,0.500297156,0.51638043,0.546950241,0.475539773,0.518041602,0.45137457,0.540521978,0.497736276,0.502004264,0.550632367,0.483483483,0.533316263,0.496670917,0.457647497,0.511629903,0.522314985,0.535644323,0.523846308,0.456568041,0.44265873,0.520098559,0.488703752,0.479746944,0.547894022,0.431675875,0.547199542,0.526269126,0.508674119,0.508970006,0.460674157,0.457900609,0.535490457,0.448712489,0.538884412,0.522010955,0.498273911,0.399433107,0.539642826,0.511167396,0.477200634,0.553688142,0.518302448,0.479243556,0.538592123,0.477816473,0.475886728,0.448086337,0.449433107,0.5263322,0.549731183,0.519159827,0.507285536,0.4862149,0.452193184,0.512155172,0.543576684,0.565593631,0.523802671,0.449716734,0.539710884,0.525666072,0.528812298,0.50408251,0.500826493,0.52065648,0.513168807,0.507405816,0.489888977,0.506989247,0.483883884,0.465685853,0.49483281,0.489440247,0.505011455,0.500943936
alcohol_rare_cohort,0.497297297,0.506564955,0.480737881,0.48321281,0.475147192,0.496931818,0.512729885,0.508135777,0.526814773,0.474750906,0.494820284,0.491386218,0.476984127,0.437100758,0.519188424,0.497528736,0.455389493,0.500071187,0.504254405,0.485718378,0.448402008,0.49489175,0.611759323,0.514985129,0.513708514,0.489764716,0.505531988,0.455044612,0.504343151,0.502348348,0.477407916,0.486158774,0.431477546,0.510688298,0.540697508,0.460812357,0.52312981,0.537107772,0.466936066,0.492048055,0.466755887,0.510416667,0.548008494,0.541962243,0.481279185,0.5,0.545229885,0.509371396,0.496444256,0.547042668,0.538930206,0.469788087,0.429081228,0.512039801,0.527982137,0.519175648,0.528376345,0.476487688,0.52069904,0.514927507,0.448019802,0.457430845,0.482441089,0.469408196,0.521814169,0.523542569,0.536694726,0.501172769,0.50147192,0.482556659,0.485097254,0.505224286,0.533560768,0.504102433,0.489652603,0.489056733,0.521352766,0.463096182,0.482886905,0.51034246,0.515699765,0.530578746,0.519107551,0.456006865,0.535629319,0.500724947,0.471996102,0.515715716,0.538185009,0.497834027,0.515115115,0.557817869,0.534894932,0.516107097,0.505671213,0.496511096,0.499547306,0.46824072,0.484974572,0.463613407
alcohol_regular_cohort,0.469477855,0.514427438,0.470573095,0.485766758,0.477383379,0.495414402,0.557652711,0.518018665,0.567623415,0.4820716,0.514711359,0.534517273,0.517020129,0.541871083,0.513799514,0.521653318,0.48037801,0.50688943,0.458248735,0.519331961,0.491506678,0.511566013,0.447859275,0.478613379,0.45948776,0.509011685,0.52234277,0.501975945,0.520399785,0.48051507,0.520068758,0.496099168,0.544284097,0.482726424,0.543272394,0.538338338,0.472516217,0.487932547,0.523105572,0.500672024,0.527444205,0.512703712,0.464522613,0.472339817,0.521906815,0.499443731,0.538940542,0.551437151,0.512921109,0.458053549,0.540196078,0.540720808,0.517251163,0.48194067,0.436470252,0.508180778,0.537676699,0.49539177,0.507475586,0.50770025,0.489446097,0.452075365,0.504175246,0.497068497,0.517483507,0.500650821,0.539913001,0.50812357,0.489538086,0.480597015,0.5489604,0.540091638,0.550223214,0.509374646,0.424099977,0.499971304,0.483544806,0.473442418,0.580986722,0.572279496,0.522459499,0.506268572,0.4997283,0.479438344,0.503921402,0.50819301,0.542448513,0.540377294,0.476428976,0.527883881,0.524493122,0.461350575,0.567826825,0.495596591,0.48036608,0.514012812,0.561297634,0.534326498,0.550709707,0.465427744
