,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
acid_reflux,0.485312899,0.473376623,0.547739102,0.476608187,0.484450923,0.433604336,0.506129739,0.584963871,0.46523126,0.468783069,0.521555574,0.485697751,0.516848485,0.497147979,0.523148148,0.480882353,0.482376396,0.55485575,0.466411841,0.454212752,0.585778061,0.530146039,0.444444444,0.552299552,0.454589063,0.470071568,0.517025599,0.477516234,0.453748006,0.490016234,0.511650564,0.577404159,0.487283744,0.466964286,0.534228734,0.438446346,0.44107771,0.506832501,0.486683007,0.573300773,0.510044643,0.453186275,0.506803279,0.509172078,0.536458333,0.466672099,0.471146822,0.561632586,0.439238887,0.441780542,0.472547109,0.47377465,0.563875598,0.486324162,0.483865711,0.470210665,0.43509865,0.441279117,0.53604345,0.448944805,0.578125,0.596743997,0.425843153,0.504910316,0.46298369,0.506308506,0.454840806,0.471247563,0.510873041,0.476665855,0.499227956,0.462475634,0.580348577,0.512393336,0.534139807,0.42779358,0.517590746,0.467350746,0.538580247,0.477420403,0.482758621,0.537505079,0.488370202,0.554500446,0.515306122,0.445429408,0.404953917,0.528187974,0.543981481,0.483805173,0.464787582,0.422043665,0.488153171,0.455915906,0.506899351,0.406105383,0.514470739,0.456237302,0.543843966,0.544222715
add_adhd,0.43907563,0.535416667,0.434843206,0.435416667,0.386001386,0.3375,0.498942918,0.565277778,0.546398892,0.486805556,0.476190476,0.515625,0.516376307,0.463683052,0.538194444,0.452898551,0.428472222,0.549168975,0.517770035,0.491289199,0.484320557,0.532548476,0.485994398,0.491666667,0.455072464,0.538888889,0.512891986,0.399303136,0.475261324,0.514914773,0.438194444,0.528066528,0.556107955,0.527777778,0.6,0.59833795,0.435897436,0.385154062,0.435416667,0.520775623,0.506302521,0.565277778,0.361344538,0.644176136,0.491337491,0.444927536,0.453658537,0.456582633,0.628151261,0.491689751,0.501039501,0.514583333,0.52700831,0.448028674,0.488227147,0.527700831,0.561672474,0.43907563,0.6,0.55024255,0.411111111,0.482328482,0.584027778,0.536956522,0.521829522,0.481533101,0.448780488,0.400277008,0.409663866,0.570609319,0.376388889,0.638194444,0.428571429,0.537114846,0.511627907,0.508960573,0.441876751,0.538407329,0.402090592,0.553206483,0.50070028,0.475985663,0.518207283,0.503832753,0.490644491,0.462231462,0.478863479,0.481534091,0.494076655,0.60984061,0.555322129,0.656630824,0.491986063,0.510504202,0.525694444,0.443010753,0.532917533,0.537114846,0.404019404,0.445833333
age_1-2,0.4,0.633333333,0.5,0.354166667,0.349206349,0.412698413,0.666666667,0.416666667,0.603174603,0.390625,0.346938776,0.448979592,0.650793651,0.444444444,0.711111111,0.448979592,0.587301587,0.1875,0.571428571,0.489795918,0.618181818,0.35,0.734693878,0.466666667,0.53968254,0.516666667,0.571428571,0.854166667,0.46031746,0.366666667,0.571428571,0.533333333,0.619047619,0.619047619,0.375,0.541666667,0.587301587,0.359375,0.354166667,0.35,0.333333333,0.35,0.533333333,0.35,0.283333333,0.265625,0.520833333,0.6,0.533333333,0.45,0.270833333,0.866666667,0.433333333,0.698412698,0.533333333,0.275,0.222222222,0.301587302,0.466666667,0.066666667,0.527272727,0.618181818,0.5,0,0.59375,0.316666667,0.5,0.75,0.587301587,0.555555556,0.311111111,0.265306122,0.428571429,0.587301587,0.469387755,0.25,0.671875,0.46875,0.333333333,0.688888889,0.761904762,0.581818182,0.729166667,0.5,0.208333333,0.5,0.229166667,0.770833333,0.5625,0.509090909,0.422222222,0.555555556,0.571428571,0.453125,0.583333333,0.244444444,0.466666667,0.490909091,0.288888889,0.208333333
age_3-5,0.409615385,0.542857143,0.505681818,0.522916667,0.603846154,0.533081285,0.519848771,0.581196581,0.462857143,0.328922495,0.498076923,0.40087146,0.542857143,0.409090909,0.632692308,0.632231405,0.665406427,0.502857143,0.647619048,0.634615385,0.375,0.530214425,0.339015152,0.545454545,0.547758285,0.395833333,0.534090909,0.557692308,0.601923077,0.321428571,0.49905482,0.456842105,0.526515152,0.509469697,0.524366472,0.653846154,0.452241715,0.476190476,0.36,0.606625259,0.554285714,0.588461538,0.471153846,0.579710145,0.553846154,0.452241715,0.597353497,0.49068323,0.346153846,0.592592593,0.641666667,0.562105263,0.580952381,0.304924242,0.606060606,0.5,0.612576065,0.453846154,0.397727273,0.618736383,0.438563327,0.363461538,0.4375,0.697916667,0.384615385,0.566287879,0.419103314,0.386206897,0.455769231,0.432380952,0.438095238,0.428571429,0.55047619,0.573333333,0.282692308,0.458333333,0.664772727,0.427221172,0.575238095,0.442265795,0.508506616,0.523326572,0.540384615,0.49689441,0.537525355,0.571153846,0.378787879,0.536231884,0.359848485,0.505681818,0.511363636,0.469008264,0.44047619,0.532692308,0.59469697,0.545833333,0.523076923,0.440545809,0.498076923,0.461873638
age_6-18,0.549702381,0.434567901,0.548085901,0.498608104,0.551117735,0.523263027,0.549873737,0.496305419,0.464922711,0.453312789,0.512217754,0.513080948,0.550595238,0.482758621,0.541089566,0.539130435,0.486470413,0.537869458,0.468209877,0.592019796,0.43130227,0.420352614,0.603081664,0.540948276,0.572876304,0.462130542,0.464640199,0.4740625,0.483333333,0.454433498,0.398573201,0.422035481,0.482872596,0.529701447,0.405086849,0.544475223,0.527903469,0.639197531,0.522564581,0.48091133,0.414808207,0.54761171,0.477265697,0.506309634,0.498214286,0.536164974,0.6078125,0.52345679,0.503869048,0.515740741,0.490763547,0.499523658,0.494796313,0.467672414,0.416640502,0.452853598,0.551662174,0.550868486,0.458333333,0.491315136,0.642984542,0.535857187,0.479679803,0.444169502,0.551785714,0.431178472,0.439039409,0.513257576,0.550179211,0.517676768,0.541292917,0.433551198,0.524673008,0.507389163,0.607407407,0.550925926,0.505973716,0.443518519,0.476647077,0.577894089,0.486438152,0.514814815,0.560246533,0.421280544,0.548181818,0.386243386,0.506001847,0.545566502,0.485774184,0.553263547,0.499692118,0.439393939,0.510119048,0.576970443,0.585185185,0.531790123,0.446199702,0.499382716,0.530246914,0.512007389
age_over70,0.491315136,0.508023649,0.480765188,0.486064189,0.599918351,0.517045455,0.499684675,0.527449324,0.478316327,0.531672297,0.493803823,0.563888889,0.523958333,0.51197479,0.583823529,0.492543583,0.550778051,0.411965084,0.437037037,0.475295608,0.47331834,0.480554972,0.530166071,0.470389884,0.461711712,0.551818373,0.451334875,0.578936304,0.506535948,0.444467861,0.557478632,0.563865546,0.417432129,0.433712121,0.447761194,0.405513468,0.451112472,0.435358419,0.471305445,0.521848739,0.506127451,0.533406353,0.451188455,0.560379347,0.462009804,0.530793651,0.442487267,0.48592437,0.454897959,0.518369932,0.502525253,0.489864865,0.554692292,0.585648148,0.465756303,0.588198103,0.572361706,0.581714527,0.528198653,0.420798319,0.428308824,0.485353003,0.539772727,0.573050242,0.43627451,0.51208745,0.421241554,0.447971411,0.494590733,0.541596639,0.500431034,0.474358974,0.483917825,0.424873737,0.481348788,0.606932773,0.370892019,0.535026455,0.509985285,0.531821046,0.500920057,0.537815126,0.582981419,0.514439655,0.519325658,0.521126761,0.481841216,0.440463646,0.512410256,0.548665125,0.507478632,0.429054054,0.540110227,0.458727158,0.518183729,0.46073854,0.539215686,0.502022568,0.510826151,0.547583564
alcohol_daily_cohort,0.523434798,0.442938596,0.472617696,0.555759804,0.482110682,0.483882301,0.532058001,0.507246377,0.509408025,0.466929825,0.489034513,0.521984316,0.554773352,0.450918079,0.49301188,0.491083916,0.495449863,0.493972746,0.493444056,0.437942797,0.487610392,0.50685889,0.505506993,0.500744765,0.516453304,0.505721024,0.479609929,0.492966361,0.46201989,0.476277851,0.523684211,0.553933566,0.523374946,0.476337904,0.524509804,0.535377358,0.531293103,0.500529661,0.450611888,0.489836152,0.50956671,0.490122378,0.50821256,0.545684836,0.518231854,0.534828704,0.552958683,0.446077145,0.492127012,0.487186215,0.505939902,0.452790637,0.518861454,0.516870629,0.508519004,0.528361345,0.494926041,0.50297619,0.490160063,0.479779412,0.475899991,0.552380952,0.556468531,0.488625384,0.518991683,0.469815123,0.505291699,0.505765199,0.557436206,0.475815621,0.442266949,0.559362131,0.533108866,0.484973276,0.452818627,0.545518269,0.483598795,0.533041958,0.480297073,0.502972028,0.461644307,0.415228248,0.48143294,0.456315789,0.516968812,0.502287122,0.482344695,0.549912587,0.609254943,0.484141547,0.486722572,0.471857493,0.498671011,0.464689266,0.510329132,0.404630843,0.509090909,0.528881026,0.506905594,0.563815789
alcohol_occasional_cohort,0.500939241,0.470591085,0.523537389,0.525326797,0.459834689,0.441327193,0.504618863,0.463460031,0.478966909,0.494770145,0.500774893,0.51319465,0.435981912,0.494616355,0.512532552,0.482915643,0.494319469,0.472781867,0.50073321,0.474260858,0.473223514,0.525198509,0.494335938,0.456153013,0.488871509,0.500635448,0.523903736,0.477631923,0.450883163,0.49073625,0.505745266,0.530611577,0.536016402,0.478617571,0.488893194,0.480577608,0.512481028,0.537706612,0.490315205,0.501639129,0.552424047,0.533451842,0.467388494,0.460031348,0.478982908,0.500937298,0.546279257,0.497206704,0.526509644,0.498562986,0.448404948,0.457244578,0.465123085,0.514285714,0.478204505,0.517669751,0.477484472,0.510161223,0.491910744,0.511545003,0.507849167,0.489447498,0.515524539,0.494451011,0.451666021,0.481941346,0.48829399,0.478067158,0.451874596,0.457561953,0.54784125,0.45910635,0.489926385,0.514935254,0.497352789,0.497648288,0.529445951,0.533445248,0.506377757,0.515567075,0.44424693,0.546072825,0.490195441,0.519281046,0.455141243,0.463662791,0.519168291,0.501165616,0.501598063,0.535408661,0.46571771,0.524388252,0.468205278,0.55102502,0.517938451,0.490203762,0.503848043,0.444842615,0.536844828,0.46732764
alcohol_rare_cohort,0.499417023,0.4831225,0.457754011,0.453488372,0.483019112,0.549515504,0.547596698,0.517455341,0.507886231,0.490090267,0.506399483,0.484895986,0.452546259,0.442663219,0.56089371,0.533983761,0.530975452,0.462363161,0.514899112,0.477636465,0.475883152,0.474472826,0.465775539,0.475268888,0.500339246,0.503473232,0.506586826,0.532506122,0.480821387,0.514141806,0.501050862,0.511927213,0.526563311,0.544385959,0.470689042,0.434687336,0.500113024,0.461498708,0.50568551,0.520644676,0.492122934,0.492690058,0.546419271,0.421686747,0.548146949,0.484019886,0.489890181,0.526155956,0.522753717,0.521975006,0.47930656,0.534574468,0.470846477,0.477550357,0.471476998,0.503704432,0.520322841,0.519115184,0.465709574,0.498006536,0.489204913,0.519682242,0.46330912,0.52251634,0.481999222,0.482064089,0.529943503,0.511755486,0.512753455,0.480725036,0.50833145,0.523288477,0.479209072,0.512228261,0.518791596,0.501210099,0.527335147,0.472664449,0.50316374,0.503681162,0.487635589,0.45715485,0.457183573,0.486882943,0.50678733,0.54355864,0.480662983,0.48388469,0.556115933,0.525326877,0.467261616,0.446045752,0.486883016,0.470755694,0.543507752,0.538460282,0.514082687,0.500177608,0.487393059,0.470130719
alcohol_regular_cohort,0.541997087,0.503488372,0.527399256,0.496993127,0.561754022,0.517389479,0.501876294,0.475082838,0.470994832,0.524151078,0.526185467,0.527537372,0.467142442,0.528071025,0.435205218,0.499754974,0.582211461,0.506205559,0.498417313,0.486850273,0.461078622,0.495075403,0.486813437,0.521459652,0.544012714,0.46214985,0.491800103,0.508085857,0.480343542,0.545668961,0.518120155,0.550114462,0.555496178,0.476022863,0.466561178,0.506371826,0.474899112,0.509017453,0.512056967,0.56420068,0.43042228,0.467131603,0.450828157,0.515828678,0.577888142,0.460286711,0.444304533,0.50862069,0.486724806,0.455300582,0.462670159,0.48277326,0.536138534,0.514529252,0.473568638,0.494509804,0.529444085,0.49841629,0.478787292,0.537127743,0.493307406,0.499741702,0.541058424,0.488267974,0.487912088,0.518778054,0.477508315,0.540926313,0.465406977,0.473106761,0.512202996,0.476952856,0.510095608,0.504728592,0.497191011,0.481109219,0.504309927,0.499870801,0.553499935,0.459837781,0.557081183,0.519337552,0.488109162,0.50663052,0.561700065,0.525322997,0.476078254,0.488127943,0.516946141,0.522443688,0.457151185,0.529542484,0.455781654,0.511332817,0.532486834,0.48821186,0.558288943,0.536918605,0.527722933,0.516196447
