,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
acid_reflux,0.473579183,0.447321429,0.561808718,0.447612086,0.492225462,0.501519258,0.47592758,0.559389462,0.508452951,0.49027269,0.562637006,0.463789683,0.509333333,0.462923729,0.533950617,0.499591503,0.49984051,0.578382771,0.461938842,0.465191932,0.536591199,0.543934078,0.454922027,0.458933659,0.540853854,0.51366298,0.479967493,0.47012987,0.538995215,0.554220779,0.537630917,0.574723847,0.522921151,0.507873377,0.51957672,0.479262673,0.461464663,0.442762458,0.472222222,0.547171347,0.533920599,0.48374183,0.541557377,0.484983766,0.460576923,0.44898957,0.44789384,0.46809559,0.466661337,0.524097864,0.415692008,0.461664348,0.506858054,0.527189352,0.569915254,0.428818302,0.490614266,0.50868436,0.488890718,0.553003247,0.518189103,0.545950346,0.471109305,0.467981495,0.483050847,0.467806268,0.488385315,0.520467836,0.495123121,0.519397776,0.541974807,0.559779077,0.541973137,0.4658269,0.515628806,0.513043478,0.466214599,0.467096336,0.543697206,0.481725146,0.516203704,0.543112556,0.514394925,0.518626735,0.543566645,0.488532856,0.432768269,0.403116586,0.477809706,0.597699274,0.565441176,0.444931418,0.478420423,0.533246415,0.499675325,0.462531461,0.555004797,0.461032101,0.581308411,0.43779256
add_adhd,0.56442577,0.479861111,0.570034843,0.325,0.41995842,0.378472222,0.605355884,0.510416667,0.536703601,0.525694444,0.488795518,0.511363636,0.500348432,0.498899486,0.485416667,0.441304348,0.361111111,0.540166205,0.575609756,0.512891986,0.462020906,0.550554017,0.553221289,0.443055556,0.416666667,0.622222222,0.560278746,0.523344948,0.523344948,0.5703125,0.570138889,0.508662509,0.560369318,0.426388889,0.581184669,0.522853186,0.521829522,0.460084034,0.455555556,0.619806094,0.471288515,0.50625,0.518207283,0.522727273,0.491337491,0.536956522,0.512195122,0.495798319,0.556022409,0.523545706,0.481635482,0.609722222,0.526315789,0.66953405,0.496191136,0.55401662,0.571428571,0.511204482,0.424390244,0.548856549,0.586805556,0.546777547,0.552083333,0.497826087,0.45045045,0.504529617,0.514285714,0.44598338,0.491596639,0.541218638,0.4375,0.569444444,0.488095238,0.511204482,0.571529246,0.588530466,0.420868347,0.594080338,0.412543554,0.493305144,0.434173669,0.584229391,0.539215686,0.551219512,0.374913375,0.40956341,0.444213444,0.547585227,0.413937282,0.424116424,0.595938375,0.595698925,0.517770035,0.404761905,0.574305556,0.394265233,0.496188496,0.551820728,0.515592516,0.344444444
age_1-2,0.436363636,0.516666667,0.416666667,0.5,0.380952381,0.603174603,0.5625,0.5625,0.587301587,0.421875,0.653061224,0.428571429,0.634920635,0.476190476,0.355555556,0.367346939,0.603174603,0.421875,0.408163265,0.693877551,0.527272727,0.333333333,0.571428571,0.4,0.777777778,0.516666667,0.469387755,0.791666667,0.380952381,0.45,0.551020408,0.666666667,0.46031746,0.476190476,0.416666667,0.5,0.53968254,0.53125,0.4375,0.375,0.270833333,0.55,0.644444444,0.3,0.383333333,0.15625,0.520833333,0.533333333,0.25,0.433333333,0.645833333,0.6,0.333333333,0.571428571,0.488888889,0.425,0.238095238,0.46031746,0.4,0.222222222,0.472727273,0.472727273,0.645833333,0.25,0.640625,0.216666667,0.333333333,0.583333333,0.80952381,0.174603175,0.177777778,0.265306122,0.238095238,0.587301587,0.510204082,0.354166667,0.46875,0.453125,0.145833333,0.533333333,0.571428571,0.327272727,0.5625,0.520833333,0.3125,0.633333333,0.354166667,0.645833333,0.40625,0.327272727,0.377777778,0.555555556,0.587301587,0.359375,0.270833333,0.133333333,0.316666667,0.509090909,0.422222222,0.375
age_3-5,0.323076923,0.504761905,0.448863636,0.397916667,0.544230769,0.536862004,0.52362949,0.594017094,0.39047619,0.347826087,0.461538462,0.603485839,0.638095238,0.520833333,0.692307692,0.695247934,0.601134216,0.497142857,0.554285714,0.527777778,0.46969697,0.584795322,0.46969697,0.512396694,0.559454191,0.321969697,0.643939394,0.534188034,0.573076923,0.265873016,0.529300567,0.465263158,0.498106061,0.475378788,0.777777778,0.346153846,0.575048733,0.577380952,0.394285714,0.465838509,0.481904762,0.453846154,0.332692308,0.465838509,0.430769231,0.294346979,0.504725898,0.47826087,0.523076923,0.528265107,0.41875,0.357894737,0.598095238,0.337121212,0.598484848,0.412393162,0.417849899,0.482692308,0.619318182,0.592592593,0.38563327,0.376923077,0.39375,0.5375,0.373076923,0.553030303,0.401559454,0.418390805,0.309615385,0.52,0.478095238,0.459627329,0.508571429,0.354285714,0.496153846,0.4375,0.619318182,0.396975425,0.554285714,0.427015251,0.534971645,0.448275862,0.551923077,0.345755694,0.494929006,0.551923077,0.386363636,0.469979296,0.492424242,0.481060606,0.587121212,0.462809917,0.51984127,0.530769231,0.496212121,0.527083333,0.465384615,0.557504873,0.469230769,0.409586057
age_6-18,0.513095238,0.547839506,0.54248366,0.5196412,0.507004471,0.552109181,0.494633838,0.616071429,0.54667063,0.505084746,0.535106712,0.484302862,0.588392857,0.460899015,0.557556171,0.523027375,0.526910497,0.531096059,0.432716049,0.594494278,0.385902031,0.437364677,0.477041602,0.553263547,0.614605067,0.541564039,0.578163772,0.48,0.531547619,0.418103448,0.456885856,0.407407407,0.548978365,0.50877193,0.383064516,0.476762081,0.452187029,0.643518519,0.592281357,0.508928571,0.445138269,0.5596302,0.536343953,0.421514312,0.450595238,0.563250231,0.553125,0.535185185,0.583333333,0.495061728,0.521859606,0.48586853,0.528397264,0.49476601,0.545368917,0.455645161,0.529799341,0.589330025,0.44537037,0.473325062,0.578626635,0.597414589,0.500307882,0.4410764,0.525297619,0.419115373,0.521243842,0.543244949,0.505376344,0.463068182,0.556758429,0.49081855,0.487514863,0.534482759,0.587037037,0.527160494,0.487455197,0.375925926,0.586761522,0.593288177,0.390163934,0.411111111,0.516178737,0.427466749,0.517272727,0.403983816,0.583718067,0.575738916,0.479784367,0.537253695,0.570197044,0.50915404,0.451785714,0.505849754,0.557407407,0.51882716,0.437853949,0.432098765,0.529938272,0.502463054
age_over70,0.535359801,0.516891892,0.433886904,0.494721284,0.62033068,0.531144781,0.525541308,0.529349662,0.423469388,0.548353041,0.428061332,0.482692308,0.561666667,0.500630252,0.498109244,0.453371141,0.436322686,0.479029168,0.438730159,0.472128378,0.493150685,0.466890898,0.514399832,0.397471022,0.451269451,0.598276225,0.45406769,0.487071684,0.568831699,0.455426765,0.596153846,0.565336134,0.450295979,0.496422559,0.602690771,0.402146465,0.408858951,0.480554972,0.587344965,0.498529412,0.52124183,0.592332968,0.490237691,0.570916754,0.518586601,0.544973545,0.439940577,0.412184874,0.537040816,0.484375,0.463173401,0.494087838,0.58372521,0.470328283,0.597689076,0.578503688,0.514186569,0.545819257,0.371843434,0.418907563,0.430351307,0.569020021,0.460227273,0.441664915,0.504084967,0.464368299,0.547508446,0.490435148,0.499285568,0.495168067,0.513577586,0.567948718,0.516704711,0.485479798,0.611169652,0.482563025,0.455603184,0.571216931,0.482867353,0.517118252,0.484767941,0.508403361,0.535261824,0.454741379,0.497327303,0.560016817,0.518581081,0.387355111,0.528205128,0.574311541,0.475213675,0.522381757,0.484180445,0.470594413,0.495690561,0.520797963,0.490604575,0.599744518,0.478032373,0.461784118
alcohol_daily_cohort,0.535800761,0.49877193,0.534981221,0.528098739,0.448048048,0.519367589,0.549703005,0.463416776,0.543603402,0.480877193,0.52293578,0.487796282,0.581816621,0.496027542,0.493099231,0.435926573,0.564732143,0.569007687,0.520716783,0.499518936,0.455800394,0.520052425,0.406118881,0.501533339,0.489560959,0.446982269,0.501329787,0.496636086,0.509645062,0.470074268,0.577017544,0.481118881,0.486870426,0.534719151,0.472601541,0.461215933,0.518362069,0.495233051,0.479807692,0.495399982,0.449163449,0.497814685,0.541062802,0.511355695,0.51504988,0.514238149,0.515756303,0.463657833,0.473162244,0.511764191,0.462700908,0.412001048,0.519461591,0.491083916,0.508344255,0.442927171,0.528293774,0.463585434,0.430858043,0.549282213,0.47246327,0.553866317,0.540034965,0.467018006,0.509817371,0.529045825,0.483600105,0.464011181,0.610963141,0.427184466,0.554290254,0.498466661,0.520590521,0.554104968,0.431197479,0.583807938,0.534481274,0.514772727,0.576146789,0.474912587,0.537237702,0.513887672,0.457055483,0.456403509,0.467823696,0.459007741,0.485761851,0.527447552,0.475092808,0.469287899,0.508997205,0.467261905,0.508188288,0.490112994,0.551733193,0.455482744,0.523756432,0.486775763,0.496416084,0.538070175
alcohol_occasional_cohort,0.477684933,0.504715762,0.478593568,0.432222222,0.498159628,0.42329398,0.574095607,0.461696708,0.547021792,0.461437887,0.491250161,0.524401065,0.501453488,0.503087917,0.506152344,0.506502867,0.530668393,0.471845538,0.534265324,0.499444008,0.508171835,0.476033058,0.514518229,0.546471572,0.440088637,0.520415811,0.532336533,0.48971395,0.441905688,0.457658357,0.49978961,0.5,0.492929097,0.489147287,0.493607129,0.520108465,0.495947299,0.545906508,0.508802874,0.551960399,0.528151261,0.572786037,0.440368455,0.530988767,0.427999095,0.565934066,0.536981437,0.510470777,0.499369972,0.489101301,0.472070313,0.486542984,0.440083249,0.550217918,0.467444498,0.494687633,0.502846791,0.486898646,0.471889431,0.554192831,0.53633274,0.510812656,0.475655068,0.526398739,0.451084851,0.476800207,0.504924597,0.463947584,0.514479638,0.481664567,0.530855427,0.462503266,0.515465582,0.507055898,0.50253422,0.525966815,0.514303242,0.496109892,0.497917138,0.568977396,0.49479638,0.518303124,0.481317681,0.486862745,0.469927361,0.488565891,0.444152047,0.51868269,0.556416465,0.543772403,0.511465216,0.507138423,0.488265654,0.495399516,0.520521846,0.474203239,0.488095628,0.517643261,0.495392376,0.450148883
alcohol_rare_cohort,0.478300298,0.467529511,0.506822233,0.517572511,0.44436015,0.51621447,0.449198899,0.483001861,0.516806723,0.583038985,0.444602456,0.487279971,0.47240611,0.490077569,0.489086917,0.478588266,0.528197674,0.541576517,0.543502825,0.420487035,0.459142081,0.506732974,0.505714839,0.520121612,0.519401635,0.511582824,0.490564816,0.514285714,0.530188557,0.541198502,0.54308533,0.485889165,0.504475869,0.512190396,0.451805865,0.497710623,0.477766655,0.498320413,0.516926576,0.501945144,0.468281896,0.472644574,0.534635417,0.453771608,0.517106328,0.490056818,0.487403101,0.525600836,0.512734324,0.550909032,0.545341555,0.497176254,0.476699945,0.468908382,0.503567393,0.475216365,0.518547215,0.49203534,0.480583309,0.492222222,0.510568843,0.492621177,0.445133172,0.474117647,0.547223664,0.503600156,0.548280872,0.534123563,0.484469844,0.505195015,0.525914683,0.552782859,0.524215696,0.482466356,0.458208274,0.500294349,0.499093147,0.491684697,0.480129778,0.557311606,0.48226046,0.453570967,0.502526234,0.514456532,0.480542986,0.514595226,0.503731705,0.432773797,0.487375143,0.521162228,0.486629806,0.471176471,0.484842596,0.461503623,0.512661499,0.524235694,0.520187339,0.479930248,0.505052462,0.48872549
alcohol_regular_cohort,0.537789286,0.483979328,0.427933323,0.489426381,0.468831085,0.501695353,0.507569876,0.501361504,0.511434109,0.488675649,0.483184981,0.547960923,0.478800013,0.548184019,0.471566506,0.528047306,0.538531073,0.494893342,0.436401809,0.513215067,0.479467186,0.468498724,0.48977269,0.487770306,0.522930721,0.542534975,0.496206741,0.548825509,0.461351483,0.473199574,0.491085271,0.513088484,0.552176448,0.517647819,0.478251041,0.496576577,0.472413236,0.488720103,0.519242596,0.494570905,0.483280023,0.506812605,0.461374224,0.522852756,0.526081735,0.483856386,0.47065091,0.558581505,0.47997416,0.464673562,0.502182559,0.526501421,0.555882829,0.519953506,0.443375206,0.45630719,0.513833226,0.503232062,0.423156399,0.463949843,0.470847513,0.516434199,0.497459136,0.5,0.492792502,0.471727968,0.546097459,0.48833943,0.49376615,0.484467816,0.472720816,0.43866671,0.499659699,0.49212981,0.464387188,0.479341278,0.478321227,0.425839793,0.478755005,0.449862637,0.537767391,0.519757231,0.496588694,0.535994251,0.545378151,0.509431525,0.44468298,0.466182627,0.53226067,0.487700535,0.5036598,0.535196078,0.453326873,0.518791166,0.503602468,0.51907001,0.490427764,0.508236434,0.543809678,0.499934692
