,p_val,n_samples,auc_mean,auc_std,auc_median,shuffled_auc_mean,shuffled_auc_std,shuffled_auc_median,acc_mean,acc_std,shuffled_matthews_mean,shuffled_matthews_std,matthews_mean,matthews_std,shuffled_accuracy_mean,shuffled_accuracy_std
acid_reflux,0.296831683,890,0.523180655,0.03102689,0.526357083,0.494102843,0.043274425,0.486010957,0.516260055,0.025756933,-0.01195226,0.075259161,0.032630127,0.051637226,0.493932593,0.037293877
add_adhd,0.523564356,304,0.493427978,0.046863398,0.488573407,0.496354714,0.062773095,0.496509786,0.499868421,0.048790602,-0.006416861,0.115468889,-8.41E-05,0.09876875,0.495789474,0.05759131
age_1-2,0.036930693,60,0.832582908,0.093169319,0.836734694,0.474181374,0.16276074,0.490352505,0.744017857,0.104514297,-0.048926335,0.280945056,0.502040917,0.21247112,0.47,0.135470411
age_3-5,0.01,182,0.830075692,0.048343638,0.835124748,0.502945716,0.090218692,0.510416667,0.770217391,0.05016541,0.010470611,0.155323755,0.545261577,0.100644388,0.501373518,0.077127262
age_6-18,0.00990099,458,0.849049945,0.024140759,0.850302197,0.505732476,0.052936328,0.506849398,0.771094979,0.028199381,0.014432316,0.098911996,0.544100389,0.05696234,0.506631881,0.048574215
age_over70,0.027623762,554,0.633129653,0.041916367,0.632850242,0.500290528,0.049512741,0.50227391,0.593428571,0.038908238,0.00322775,0.08329338,0.187780483,0.07820851,0.500897516,0.041364843
alcohol_daily_cohort,0.013069307,858,0.627299862,0.026835547,0.626168224,0.500550134,0.03412006,0.500637213,0.589512807,0.02576424,0.006557524,0.058952508,0.179555466,0.05165068,0.503064642,0.029335184
alcohol_occasional_cohort,0.081188119,1406,0.552578056,0.025927982,0.555946539,0.49478075,0.027926414,0.49469325,0.535471266,0.023128718,-0.005335783,0.048399872,0.071087782,0.046335548,0.497068344,0.024039416
alcohol_rare_cohort,0.336039604,1406,0.515521583,0.025546823,0.516286803,0.498033389,0.028952639,0.500145316,0.508995455,0.02363553,-0.004560113,0.047489555,0.018041708,0.047401526,0.497546591,0.023893055
alcohol_regular_cohort,0.035049505,1406,0.585309942,0.024182058,0.585872934,0.503745818,0.032319776,0.50389915,0.558857305,0.022526019,0.003151171,0.055978327,0.117876867,0.045106007,0.501223214,0.027934259
alcohol_types_beercider,0.021089109,4256,0.586170711,0.024217198,0.589207584,0.498738747,0.027158195,0.49606249,0.564390858,0.022692343,-0.001800587,0.045261651,0.128967458,0.045497426,0.498834196,0.022725638
alcohol_types_red_wine,0.065445545,3566,0.573507066,0.025224678,0.576052512,0.510269671,0.027452313,0.511527339,0.550832433,0.023015527,0.022431603,0.048115686,0.101792559,0.046072541,0.511143617,0.023982287
alcohol_types_sour_beers,0.621089109,542,0.486934116,0.040023169,0.48183391,0.504795304,0.049990432,0.502926024,0.493617208,0.036334671,0.011448522,0.089767145,-0.012893907,0.07298228,0.505946005,0.044993994
alcohol_types_spiritshard_alcohol,0.057425743,3286,0.568259627,0.019294168,0.568653803,0.50083977,0.031064343,0.499083416,0.550701587,0.018906915,0.001856767,0.051695587,0.101581032,0.037892923,0.500645125,0.02572283
alcohol_types_white_wine,0.123960396,3666,0.546891919,0.026230585,0.547170351,0.499769218,0.029681359,0.502204969,0.534933582,0.024710163,0.001641905,0.045853055,0.069970023,0.049493071,0.500639151,0.022941076
allergic_to_i_have_no_food_allergies_that_i_know_of,0.042277228,2500,0.572630481,0.028021607,0.574120503,0.497825382,0.029706096,0.497572438,0.553049124,0.025032358,-0.000523688,0.052098859,0.106288424,0.050176919,0.499414467,0.025857172
allergic_to_other,0.338910891,834,0.530152157,0.038776071,0.532940609,0.507515395,0.039969691,0.511098691,0.514605769,0.032470923,0.006737506,0.066193488,0.029273052,0.065059316,0.50293544,0.033229201
