,p_val,n_samples,auc_mean,auc_std,auc_median,shuffled_auc_mean,shuffled_auc_std,shuffled_auc_median,acc_mean,acc_std,shuffled_matthews_mean,shuffled_matthews_std,matthews_mean,matthews_std,shuffled_accuracy_mean,shuffled_accuracy_std
acid_reflux,0.081188119,890,0.575543762,0.027803295,0.575085369,0.500949941,0.041321465,0.499633414,0.55527027,0.028781903,0.003023982,0.071395421,0.110888017,0.057786348,0.498252896,0.037508341
add_adhd,0.444059406,304,0.526201524,0.054069578,0.519390582,0.507439602,0.066334931,0.51358885,0.520263158,0.050187322,0.009085472,0.119734613,0.040747735,0.101128656,0.496710526,0.058884335
age_1-2,0.048316832,60,0.779579082,0.106995932,0.795918367,0.455328109,0.145062634,0.46031746,0.71875,0.097615872,-0.074979594,0.260157658,0.448596428,0.198168561,0.436964286,0.127811619
age_3-5,0.011188119,182,0.84251904,0.049964855,0.845961115,0.485565069,0.093920107,0.487558275,0.759713439,0.057584547,-0.006555282,0.1580439,0.52545954,0.115495984,0.482124506,0.077290807
age_6-18,0.00990099,458,0.828933634,0.036362038,0.834256694,0.50968607,0.058811324,0.518049944,0.761131276,0.035120195,0.016377649,0.09196314,0.524295599,0.07035075,0.504116757,0.045748377
age_over70,0.031188119,554,0.63787964,0.03863605,0.638731359,0.501894342,0.054890564,0.49605656,0.602887164,0.035301415,0.009883627,0.098695791,0.206682348,0.070685998,0.500942029,0.048710314
alcohol_daily_cohort,0.01019802,858,0.693370438,0.034106269,0.699711765,0.500524661,0.039969774,0.498619295,0.641766182,0.030589366,-0.005023597,0.069840973,0.284384792,0.061276006,0.495097352,0.034565043
alcohol_occasional_cohort,0.013267327,1406,0.610626026,0.026295336,0.610930612,0.499973913,0.033037806,0.499616809,0.580417532,0.02570122,0.001128308,0.058621491,0.161657565,0.051625911,0.498298214,0.02932313
alcohol_rare_cohort,0.098118812,1406,0.552621147,0.026875731,0.552514311,0.498565184,0.029671168,0.49870678,0.538399351,0.025536904,-0.000997236,0.05140597,0.077114257,0.051268194,0.497490097,0.025695893
alcohol_regular_cohort,0.00990099,1406,0.655340434,0.023297245,0.651907929,0.496137388,0.030941423,0.494732124,0.615587338,0.021999209,-0.00463682,0.054443383,0.232137837,0.044128585,0.495851299,0.027177747
alcohol_types_beercider,0.01009901,4256,0.641213612,0.024458373,0.641039206,0.499238089,0.030066316,0.496829604,0.603894072,0.022078169,-0.002964883,0.05430179,0.208062841,0.044212727,0.496593327,0.026834939
alcohol_types_red_wine,0.011386139,3566,0.62495538,0.030884247,0.626347622,0.498806576,0.026502049,0.497431265,0.588482763,0.026914536,-0.000179905,0.045446844,0.177246292,0.053903089,0.498319917,0.023040666
alcohol_types_sour_beers,0.566534653,542,0.490681698,0.039321358,0.491403547,0.499217257,0.049520183,0.50177963,0.493972783,0.036699491,0.002566846,0.088932177,-0.012176096,0.073845292,0.496597893,0.045201224
alcohol_types_spiritshard_alcohol,0.012178218,3286,0.617987193,0.025514895,0.615928641,0.501149176,0.028910206,0.501871651,0.586329929,0.023402194,0.000791784,0.050774324,0.172984499,0.046840642,0.498564399,0.025083314
alcohol_types_white_wine,0.00990099,3666,0.622484509,0.025197454,0.620105251,0.498506094,0.029584496,0.500838347,0.591733132,0.021106866,0.000131862,0.05045922,0.183788713,0.042274171,0.498920099,0.024939187
allergic_to_i_have_no_food_allergies_that_i_know_of,0.02009901,2500,0.585831618,0.025375907,0.587139367,0.498209341,0.031824462,0.497504641,0.565293264,0.023628111,-0.000605911,0.054650769,0.130851461,0.047337471,0.497653317,0.027622589
allergic_to_other,0.375148515,834,0.517120689,0.037993331,0.517448045,0.499665396,0.038566028,0.498588045,0.511108974,0.03540869,0.000737794,0.065704745,0.022277032,0.070973246,0.496690934,0.033277037
allergic_to_peanuts,0.333366337,112,0.573647959,0.089700679,0.576530612,0.504104769,0.109353772,0.518069728,0.561071429,0.085906778,0.018555112,0.199147705,0.125537287,0.175318206,0.495357143,0.101349944
allergic_to_shellfish,0.475247525,210,0.512235645,0.06895712,0.499710838,0.503296489,0.086776994,0.503097764,0.506588319,0.056386004,0.012459626,0.145381294,0.013175412,0.114228352,0.494237892,0.072356827
allergic_to_tree_nuts,0.396435644,132,0.537973751,0.081498786,0.539792388,0.502728811,0.090077746,0.502818177,0.537977941,0.065760138,-0.010155475,0.155503189,0.077465018,0.135292817,0.480551471,0.075540592
antiB_6Month_cohort,0.01,1250,0.651229699,0.031139142,0.650979756,0.501803147,0.030514941,0.503701258,0.607196431,0.027484911,0.012320672,0.054361337,0.21554364,0.055083774,0.503862486,0.027211789
antiB_Month_cohort,0.041683168,332,0.668024154,0.046361323,0.675936942,0.501515375,0.074019693,0.49608765,0.612706156,0.046841487,-0.003319023,0.127366359,0.227915714,0.094644435,0.490955285,0.06405867
antiB_Week_cohort,0.016039604,208,0.75433432,0.068194466,0.74852071,0.499771625,0.078204783,0.496969697,0.693846154,0.072297462,-0.014465055,0.127407427,0.391828977,0.14479977,0.480769231,0.062846672
antiB_Year_cohort,0.012772277,1580,0.605964676,0.02580518,0.606283645,0.501632638,0.03038277,0.504331647,0.572864518,0.024696832,0.002486096,0.050814861,0.146254715,0.049595372,0.499222039,0.025480984
