,p_val,n_samples,auc_mean,auc_std,auc_median,shuffled_auc_mean,shuffled_auc_std,shuffled_auc_median,acc_mean,acc_std,shuffled_matthews_mean,shuffled_matthews_std,matthews_mean,matthews_std,shuffled_accuracy_mean,shuffled_accuracy_std
alcohol_frequency_daily_cohort,0.0099009900990099,1154.0,0.649474785728523,0.024824101953743495,0.6483124044913959,0.5026981251683784,0.027927909180079796,0.5039404297684857,0.6063688760806917,0.022102431305726603,0.005129083845492929,0.04879721493132518,0.2130431261237776,0.04431018478811454,0.5023919308357349,0.024521278366125544
alcohol_frequency_occasional_cohort,0.16554455445544555,1796.0,0.53632803249346,0.020691479475515487,0.5351507641470468,0.5009007596065679,0.02622705156862735,0.49828539434727037,0.5266419294990724,0.01899658649685875,0.0016647647712690475,0.04383847960099141,0.0533405723380331,0.038010585087722266,0.5007421150278293,0.021932449754242835
alcohol_frequency_rare_cohort,0.360891089108911,1796.0,0.5148060030290514,0.02101814295656952,0.5160264353572903,0.5012075426256822,0.026789849069851688,0.5045605402255569,0.5120964749536179,0.019763785554485488,0.00014036882712054825,0.049735352288226994,0.02422003577557957,0.03957604282325061,0.49990723562152134,0.024937404641091784
alcohol_frequency_regular_cohort,0.011287128712871288,1796.0,0.5870532149249621,0.02103566821365042,0.5848960484648217,0.4970339288876591,0.02506003213003843,0.4972002306122936,0.5630612244897959,0.020576962567528723,-0.0024435459858731406,0.040818366810005634,0.1262765962607701,0.041189872312886774,0.49853432282003707,0.020206960615771815
artificial_sweeteners_daily_cohort,0.1728712871287129,198.0,0.586488888888889,0.05796906795443734,0.5822222222222222,0.4966895379385622,0.07316819151798931,0.4872222222222222,0.5609999999999999,0.05672643906406331,-0.011104635148711087,0.11414264311733927,0.1227529799963253,0.11430468528311326,0.49466666666666675,0.0570029239016152
artificial_sweeteners_occasional_cohort,0.595049504950495,306.0,0.47758979206049157,0.05234977535556197,0.48015122873345933,0.49429821111021605,0.060632978398536215,0.4950333319012431,0.48347826086956525,0.04815793959003704,-0.013595769112640588,0.10433714964119198,-0.033207888136070965,0.09662320331465238,0.4928260869565218,0.05211092211963622
artificial_sweeteners_rare_cohort,0.2502970297029703,860.0,0.5384676401658555,0.03322816420586296,0.5394207078901508,0.5031407670255805,0.037304108221181353,0.5026512377846672,0.5296511627906977,0.02799498933593287,0.00265299763157613,0.0664469286719236,0.05944470220728142,0.056152673009103565,0.5014341085271318,0.03333628524877734
artificial_sweeteners_regular_cohort,0.38930693069306943,206.0,0.5357856399583768,0.05305275993537069,0.5379812695109261,0.506514380796376,0.08033369733586124,0.5086722883597884,0.5206451612903226,0.04774193548387097,0.00437516482411426,0.13489506403969828,0.04166954493886396,0.09640141275622283,0.5045161290322581,0.06544015702857901
exercise_frequency_daily_cohort,0.27019801980198016,256.0,0.551531713900135,0.04682361753752824,0.5495951417004049,0.5009474529350458,0.06381664414108497,0.5037249717700846,0.5336363636363636,0.04373732136843485,0.00027226160148464284,0.09842648210020973,0.06760796633037663,0.08805614875174066,0.5015584415584415,0.049034530946715955
exercise_frequency_occasional_cohort,0.261980198019802,256.0,0.5562955465587045,0.053528913625880824,0.5516194331983806,0.4973551645650591,0.07017676363565085,0.49087423060465424,0.5437662337662337,0.048995819400966624,0.0004560739246387209,0.11262063199107512,0.08818317913368683,0.0987942009644107,0.5012987012987012,0.055798833919326836
