,p_val,n_samples,auc_mean,auc_std,auc_median,shuffled_auc_mean,shuffled_auc_std,shuffled_auc_median,acc_mean,acc_std,shuffled_matthews_mean,shuffled_matthews_std,matthews_mean,matthews_std,shuffled_accuracy_mean,shuffled_accuracy_std
alcohol_frequency_daily_cohort,0.0099009900990099,1154.0,0.7420090027240714,0.023227275008037427,0.7430237193541958,0.5039843222802747,0.03135611579764257,0.5022109897619444,0.6780403458213256,0.024429746839146473,0.010018851454216713,0.05026831262483212,0.3565856514074608,0.04891188638667388,0.5040057636887609,0.02466257771057431
alcohol_frequency_occasional_cohort,0.009999999999999998,1796.0,0.6227516866308688,0.0206864379210004,0.6249139474046537,0.4974520900054003,0.02532170478809531,0.4984495331353171,0.5887012987012986,0.019452572939344173,-0.0026625902556512127,0.04153349971359184,0.17764536888956808,0.03896060140347948,0.4981076066790353,0.020775045962801712
alcohol_frequency_rare_cohort,0.06702970297029703,1796.0,0.5532498278948093,0.01825911558290796,0.5519551149662674,0.501095978900316,0.026841401584248012,0.5000206725358803,0.5390166975881262,0.017992377594469183,-0.00042685781860647774,0.04481977806809231,0.07810050812019066,0.03599880224415991,0.4987569573283859,0.022553849715936047
alcohol_frequency_regular_cohort,0.0099009900990099,1796.0,0.6771572353022166,0.018041040583201474,0.6791718298223874,0.5006765314242654,0.025187709125006758,0.5033480717394628,0.6277179962894248,0.01684784997278885,0.0016612658048699752,0.0433680258875218,0.25576361517695423,0.03373457787958885,0.5001484230055658,0.021542405398701527
artificial_sweeteners_daily_cohort,0.061980198019801994,198.0,0.643711111111111,0.053007621161815656,0.6427777777777778,0.5066594305029648,0.07099569519276816,0.5066470907263746,0.6094999999999999,0.05100408480373572,0.015229249389886942,0.11722533413669793,0.22155590562307942,0.10303746914774717,0.5005,0.060528000866449314
artificial_sweeteners_occasional_cohort,0.44128712871287135,306.0,0.5046597353497166,0.04548965915243341,0.5113421550094518,0.49209364110051523,0.06451445920544427,0.48823445657332704,0.505,0.03965291284589899,-0.013244360577123304,0.11987237511736627,0.009847293199678812,0.08006813683105887,0.48923913043478257,0.0601371895668405
artificial_sweeteners_rare_cohort,0.11891089108910892,860.0,0.5610065500871342,0.0279882757541047,0.5604530977705666,0.49987134975273223,0.03910722737111114,0.4932167198510629,0.5425193798449612,0.02712322677934213,0.000753079538156151,0.0654818527027555,0.08527766789922651,0.05439630261523764,0.4987984496124031,0.03273161150819743
artificial_sweeteners_regular_cohort,0.18445544554455442,206.0,0.6082206035379812,0.0611295191574394,0.6040582726326743,0.5094637395851526,0.08316159384414462,0.5010504201680672,0.584516129032258,0.057121372503382103,0.025617779611427034,0.13756759551250894,0.17030623000122314,0.11501281287918075,0.5066129032258064,0.06881239482521798
exercise_frequency_daily_cohort,0.05891089108910892,256.0,0.6173852901484481,0.047538638585580176,0.6204453441295547,0.48316344617555596,0.06438409058437568,0.4836948996715718,0.5962337662337662,0.04672058743857466,-0.02324752568061863,0.10924180198831566,0.19441897731997163,0.0940793930396712,0.48376623376623373,0.054618843640456875
exercise_frequency_occasional_cohort,0.12148514851485145,256.0,0.5962280701754386,0.0550883321529722,0.5954790823211875,0.4945274769830093,0.06376520203717367,0.49154215190800554,0.5671428571428571,0.05361151589474317,-0.010312048690046134,0.10679074331668864,0.13551147473558328,0.10805602616081816,0.49103896103896105,0.052326382078516406
exercise_frequency_rare_cohort,0.3262376237623762,256.0,0.5379284750337381,0.048202636029322586,0.5384615384615384,0.49983037707031036,0.059081571798135925,0.4918978188715031,0.5266233766233767,0.048047560347236166,-0.0005191013822679682,0.10848649589351203,0.05418199178306118,0.09712702949591903,0.4946753246753247,0.05398896709565131
exercise_frequency_regular_cohort,0.05891089108910892,256.0,0.6372537112010795,0.04903115523075689,0.6356275303643724,0.4978666133978127,0.0677146164992777,0.4959482255534887,0.5946753246753247,0.04867254562469614,0.0020764667537176386,0.11450713856943037,0.1908970078486055,0.0980489633338853,0.4949350649350648,0.05687347958448845
