,p_val,n_samples,auc_mean,auc_std,auc_median,shuffled_auc_mean,shuffled_auc_std,shuffled_auc_median,acc_mean,acc_std,shuffled_matthews_mean,shuffled_matthews_std,matthews_mean,matthews_std,shuffled_accuracy_mean,shuffled_accuracy_std
olive_oil_occasional_cohort,0.6548514851485149,548.0,0.48684906933788014,0.037779876755881944,0.4866998269896194,0.5110579203057782,0.0516778717778283,0.51228020107346,0.4919320119352089,0.0351165925303549,0.018551562336892174,0.0844976018919102,-0.01632793146675609,0.07070354067432612,0.5093382352941177,0.04163083269901771
prepared_meals_frequency_occasional_cohort,0.040594059405940595,624.0,0.6088888888888889,0.04057078818353032,0.6098783694937542,0.49607352294658674,0.04500141279455981,0.49979403442306686,0.5800641025641027,0.03892345486455475,0.0006213375966466918,0.0737130102382998,0.16070543124898273,0.07808244851637226,0.49987179487179495,0.03704640194993161
sugary_sweets_frequency_rare_cohort,0.1398019801980198,1184.0,0.554799123447772,0.03130981579765061,0.5559030314097881,0.4998656641016161,0.03627164139432122,0.5009830651622986,0.5413851351351352,0.027831666693313294,-0.0019911516323884823,0.06466187541764283,0.0829526789323796,0.05577628096424705,0.4984459459459458,0.03207652407353208
alcohol_frequency_regular_cohort,0.014356435643564359,1926.0,0.5968311684952776,0.024752378886451203,0.5962964010864644,0.5010997355620773,0.02629681881329979,0.5000625885408789,0.5716325804983502,0.022178510540663367,-0.0015882667835276762,0.04634265464217371,0.1435179354925265,0.04442996655602407,0.4990665889179657,0.023032353641465428
salted_snacks_frequency_regular_cohort,0.009999999999999998,1394.0,0.6637316222184475,0.022991505835359277,0.6645692958118642,0.5012960015183191,0.028708956796273003,0.5042885166694216,0.6190459770114943,0.02089935245576226,-0.004215967558336079,0.05433206401214242,0.23861938679994435,0.04190198868711264,0.4976689655172413,0.02691693551446202
frozen_dessert_frequency_regular_cohort,0.23623762376237625,384.0,0.5566536458333333,0.052007122157043346,0.5581597222222222,0.4982488630724011,0.059393971831554655,0.4879807692307693,0.543125,0.04468300773846313,-0.008393725709929436,0.10408625243367636,0.08677202999519,0.08986408024823828,0.49458333333333326,0.052114157545399005
sugary_sweets_frequency_daily_cohort,0.0099009900990099,1136.0,0.6631471930172584,0.023207161077187885,0.6630132910136878,0.5050108567524683,0.03380838041858643,0.5076531605414679,0.6194718309859155,0.0210753776560368,0.0076577776246841475,0.05624860543252692,0.23949575748594007,0.04240558899820127,0.5038028169014085,0.02806618555615079
red_meat_frequency_regular_cohort,0.0099009900990099,1630.0,0.6500634608677069,0.025453643226276836,0.6482302152805044,0.504839229709074,0.03182288536797566,0.505392059133284,0.6093107862100352,0.02248206351035824,0.009372501897388566,0.05669312993012508,0.21896998771264076,0.04498811281455017,0.5044104846967801,0.028297306336431738
red_meat_frequency_rare_cohort,0.16613861386138612,1630.0,0.5354422161371514,0.023645775910457637,0.5362832748157034,0.4981006114269082,0.027564854478653932,0.49689245819640626,0.5250672715894869,0.02223250122966336,0.001050618208029197,0.05062576792076455,0.050215047956868854,0.044543805528987526,0.5000519114802594,0.02534704674523844
vitamin_b_supplement_frequency_regular_cohort,0.2950495049504951,670.0,0.5283785611670516,0.03047497033755516,0.5284155328798186,0.4958393249820312,0.04576548192257579,0.4957269685954444,0.5223486804360298,0.02991532193433734,-0.01111057338291691,0.0802555630792102,0.04492344449393686,0.06014898030271283,0.49416523235800347,0.03987768181159661
poultry_frequency_regular_cohort,0.0099009900990099,1296.0,0.6793417543057462,0.02632949846603519,0.6789932937052279,0.49852582891332065,0.0359228385015091,0.49878802713112025,0.6371913580246913,0.02545267281788202,0.0023390177124992606,0.05547239610525925,0.2748459751642609,0.050922705306898366,0.5011111111111112,0.02781725589722282
