,p_val,n_samples,auc_mean,auc_std,auc_median,shuffled_auc_mean,shuffled_auc_std,shuffled_auc_median,acc_mean,acc_std,shuffled_matthews_mean,shuffled_matthews_std,matthews_mean,matthews_std,shuffled_accuracy_mean,shuffled_accuracy_std
olive_oil_occasional_cohort,0.3365346534653466,548.0,0.531366267127519,0.038683010857769665,0.5314009661835749,0.5034060129405364,0.04967315266255775,0.5074645262145262,0.5297080136402388,0.03951374053661362,0.01078794973006099,0.09100407231448512,0.05978992970512127,0.0794486950887463,0.5023209718670077,0.04523644004209931
prepared_meals_frequency_occasional_cohort,0.014257425742574261,624.0,0.6445586785009861,0.037215834917499135,0.6468606180144643,0.4922350423865962,0.044638848151407604,0.48915086713697825,0.6107692307692308,0.02902480292348042,-0.013173592684715928,0.06826632211433942,0.2222765608619685,0.058215380859115026,0.4905128205128204,0.03438288490645407
sugary_sweets_frequency_rare_cohort,0.010792079207920793,1184.0,0.6264453981008036,0.027812066932996638,0.6270886596055515,0.500394713312446,0.03712312803672325,0.4974120146590638,0.5966554054054053,0.02286288707023388,0.0009103842054275699,0.06429461542100573,0.19384593573385914,0.045893185732524024,0.49837837837837834,0.031959102335014006
alcohol_frequency_regular_cohort,0.0099009900990099,1926.0,0.6658739040776672,0.025277830361960872,0.665873068696194,0.5029421563728312,0.03269033011616909,0.5027946056855309,0.6213644897030379,0.023845401893166765,0.002247694645787029,0.05091915990771231,0.2432473392410685,0.04767918236428103,0.4992065365798157,0.025347242173178883
salted_snacks_frequency_regular_cohort,0.0099009900990099,1394.0,0.7487875352363698,0.02241341406508307,0.7504390872004767,0.4968540984829659,0.029250374716703862,0.4981130985727624,0.6797696223316914,0.023250361957035563,-0.0001687392017254076,0.05299467711806867,0.3603461353439104,0.04664688909169068,0.4980816091954023,0.026440444733416002
frozen_dessert_frequency_regular_cohort,0.2585148514851485,384.0,0.5530859375,0.057833592932488284,0.5590277777777778,0.5018348969058717,0.05006974983778342,0.49956121105748136,0.5377083333333332,0.05323273389873316,-0.008057178632830217,0.09475802605891014,0.07617181698714914,0.10730662364666646,0.48885416666666665,0.0471463212524465
sugary_sweets_frequency_daily_cohort,0.0099009900990099,1136.0,0.7257136480856973,0.026403247822955236,0.7230584209482247,0.5022443429941938,0.036395550728638724,0.5025563699197055,0.6699647887323944,0.025492836160320116,0.006140877054216703,0.059016316054184954,0.3405789122753438,0.05110296253556143,0.5011971830985916,0.02954903059803946
red_meat_frequency_regular_cohort,0.0099009900990099,1630.0,0.7212285022680828,0.02304472290031493,0.7196553870529652,0.4946677197877616,0.028700359677396384,0.49089060092019454,0.6621060416429627,0.021326778348079146,-0.007701709306611439,0.04574617261725881,0.3246724444634124,0.04271229353539338,0.4946524064171123,0.023076489220014054
red_meat_frequency_rare_cohort,0.030198019801980207,1630.0,0.5755077856475569,0.02624865582213634,0.5771495214004524,0.4964742089114096,0.029217506098169806,0.4947998621808589,0.5575822050290135,0.025933488442706553,-0.008360312170540826,0.04568438766246279,0.11533088813977484,0.05192882852436903,0.4935264250768005,0.022484326902391282
vitamin_b_supplement_frequency_regular_cohort,0.1167326732673267,670.0,0.572281351658581,0.039278821210373065,0.5721371882086168,0.5003093935433253,0.04230312881898914,0.4957796030557651,0.5503879804934021,0.03681864596648036,0.0008295904787175923,0.07583820692781265,0.10111069230913347,0.07383707079992319,0.4960592369477912,0.03907618894373317
