,p_val,n_samples,auc_mean,auc_std,auc_median,shuffled_auc_mean,shuffled_auc_std,shuffled_auc_median,acc_mean,acc_std,shuffled_matthews_mean,shuffled_matthews_std,matthews_mean,matthews_std,shuffled_accuracy_mean,shuffled_accuracy_std
olive_oil_occasional_cohort,0.4695049504950496,514.0,0.508596561517659,0.04194867559400614,0.5030144866401627,0.5007278985598295,0.05223815357890557,0.4978634565304487,0.5067355769230769,0.038691268241887344,-0.00020164246862764716,0.08451954594111018,0.01359891038801047,0.0780432796413853,0.4954182692307692,0.04352362542713722
prepared_meals_frequency_occasional_cohort,0.06603960396039606,596.0,0.5953817910883857,0.036143894590636355,0.5936888888888889,0.5050787911862239,0.04399239973631168,0.5031201668701669,0.5725342342342343,0.03407381250289239,-0.008741057988585117,0.07317449873701207,0.1466467093314252,0.06892729388403954,0.4916495495495496,0.03676743506567102
sugary_sweets_frequency_rare_cohort,0.0402970297029703,1136.0,0.5754331977782186,0.027144642566450876,0.5711168418964492,0.49866486104284613,0.03492457825383582,0.499640412040678,0.5560563380281691,0.02513936556186344,-0.00304920810496377,0.05529159757176504,0.11241368872163371,0.050359941175631404,0.4963732394366197,0.028355260175269428
alcohol_frequency_regular_cohort,0.0099009900990099,1406.0,0.6512737547172794,0.024463450176566225,0.6530136234504132,0.5014600981572169,0.03326897339557224,0.49868434189999156,0.6129073051948053,0.022245668255885472,0.002593049223019956,0.054137484254742754,0.22652200845356274,0.04453983352054885,0.4993293831168832,0.0266536520816514
salted_snacks_frequency_regular_cohort,0.0099009900990099,1324.0,0.7250557473213242,0.024633699362476162,0.7263174594224753,0.49802427471513616,0.032963203823674035,0.5009570705967246,0.6606710478276743,0.026355589118004494,-0.0017889397130770993,0.056449104106104736,0.3219220573618619,0.052728605063696324,0.49676962395034685,0.02754453869615774
frozen_dessert_frequency_regular_cohort,0.22564356435643568,358.0,0.5618003264972962,0.04975127948701525,0.5617211253953678,0.4972581115041652,0.06947061067145444,0.495897080653142,0.5448459595959596,0.0481872190475099,-0.00010205457068599863,0.11763828781113514,0.09042789157495879,0.09721602522231282,0.4930833333333334,0.0590548203597615
sugary_sweets_frequency_daily_cohort,0.0099009900990099,1050.0,0.7217193375575474,0.028019039788992707,0.7203251558766972,0.5013957928908117,0.035966217704428954,0.5005369926986487,0.6668843974092066,0.024596295833492515,0.003010328891281769,0.05872205382823666,0.3344539058076965,0.049133039432810395,0.4987823849178811,0.029892239990357738
red_meat_frequency_regular_cohort,0.0099009900990099,1548.0,0.710295781933176,0.02215479167263868,0.7093854556893249,0.4991193264027316,0.02905775804173912,0.49766609392898054,0.6526129252474684,0.021641871120186153,-0.0021252362076743113,0.0549076987447948,0.30558859972979685,0.04330009305526572,0.49780151325520533,0.027346375146394878
red_meat_frequency_rare_cohort,0.08366336633663368,1548.0,0.560823526663259,0.022392548335928276,0.5578583888587034,0.5047701324097597,0.030472695802867853,0.5042620137299771,0.5482160939811127,0.021486188513872056,0.009320377644765383,0.055461623924483616,0.09659539235926905,0.04302625036841626,0.5029322164068722,0.02757317192974505
vitamin_b_supplement_frequency_regular_cohort,0.12247524752475247,638.0,0.5645020282957458,0.0359098198554984,0.563359375,0.49910197001513823,0.042249323887016264,0.49964539366883115,0.5449762658227847,0.03410548229168122,-0.0018585320760729374,0.07924066681479623,0.09028184743466092,0.06845158636699254,0.4951368670886076,0.04044679765357472
poultry_frequency_regular_cohort,0.0099009900990099,1224.0,0.6845888333546927,0.02818786030192995,0.683284206928959,0.49575121835203845,0.031311665631200525,0.49081117170045824,0.6357516339869281,0.02588276556084909,-0.008691756464477977,0.05981902396177455,0.27192787025623205,0.051803837693520434,0.49333333333333335,0.03005441687766058
vitamin_d_supplement_frequency_occasional_cohort,0.15415841584158418,626.0,0.5555164748217052,0.04102449898231772,0.5541551168330654,0.4916589310918276,0.04613092596219983,0.493007671712491,0.5428618954884779,0.032484935747763295,-0.01244177844429454,0.07654032796663456,0.08621509664821442,0.06540104043158347,0.49038704965920155,0.037699997967220115
whole_grain_frequency_daily_cohort,0.0099009900990099,932.0,0.7333727971889387,0.03079591832900831,0.7380378406019432,0.49597760495308807,0.036241690638306456,0.4918270181870937,0.6666412466843503,0.028526107390508933,-0.006002669883460445,0.05648370515187614,0.3340992728269205,0.05719342944863191,0.49347811671087544,0.027549056686462802
fermented_plant_frequency_occasional_cohort,0.10297029702970298,1198.0,0.5565671592570904,0.03137435392385436,0.5573475078700159,0.4954894263900448,0.03339641798005133,0.49614852511765245,0.5391662192393737,0.026094967393037648,-0.0020186360077828914,0.059645774751104746,0.07847886328458797,0.05225354807104434,0.49659127516778523,0.029882092693415397
milk_substitute_frequency_daily_cohort,0.11168316831683166,1340.0,0.5530673364842071,0.029026246332802173,0.5549253518503747,0.5004308090247302,0.02850636335330616,0.4999201623343465,0.5375169304248645,0.024781952079868524,-0.0013319756068849694,0.04737943939709799,0.07527573756798023,0.04974267090832049,0.4974584759053322,0.023685041891338764
vitamin_b_supplement_frequency_daily_cohort,0.010396039603960395,1268.0,0.6197265188567475,0.022779404480072256,0.6215543876319038,0.5024383094984993,0.03213391545929148,0.5027726061184707,0.5850907571053261,0.01938370303981039,0.0016571415557673603,0.05173920418792332,0.1706471998887719,0.03877323783030658,0.4988297110102699,0.025980865739965085
probiotic_frequency_occasional_cohort,0.08920792079207923,836.0,0.5784092089991816,0.03189668277689994,0.578957100591716,0.5042841216927421,0.04390105017502587,0.5094053030303031,0.5515210622710622,0.0297831775059833,0.012711976672860831,0.06724434171291985,0.10350625257524129,0.05981864049224493,0.5034436813186813,0.033598702857211955
smoking_frequency_regular_cohort,0.17237623762376242,166.0,0.6189603458049887,0.07671289174960745,0.6182738095238096,0.5047181450777039,0.08932662270143564,0.5045507142597695,0.5975476190476191,0.07172356150092114,0.005185452144083684,0.16016125260808367,0.20034520198886568,0.1481468979818573,0.4893928571428572,0.08362162632291296
homecooked_meals_frequency_daily_cohort,0.25445544554455446,322.0,0.5637382268738846,0.05575546938303524,0.571466760856633,0.5046921774514008,0.06353777676877662,0.5046434771825397,0.5396219512195121,0.04768912379418382,0.004535965352259085,0.12137603936663383,0.0797755805767884,0.09640423180956575,0.4960365853658537,0.0601486607667083
homecooked_meals_frequency_regular_cohort,0.4534653465346535,322.0,0.5019717764723379,0.049434671570570625,0.49765625,0.49227252958865864,0.061201006911576844,0.49136534197509807,0.4990823170731707,0.04526496565698487,-0.005071393674199427,0.09841635829270302,-0.0018393738480480678,0.09118383467648922,0.48996036585365865,0.04995012114643096
alcohol_frequency_daily_cohort,0.009999999999999998,858.0,0.6901125558794108,0.03300831544904929,0.6913922613328676,0.5063873616813617,0.04181191829848954,0.5086999160251102,0.6363239875389408,0.029883293027730004,0.015726322056185845,0.06972422418206975,0.2736669998439145,0.05990843701516213,0.5044080996884736,0.03560502190407631
sugar_sweetened_drink_frequency_occasional_cohort,0.45693069306930695,432.0,0.5068398491083677,0.05092636986384676,0.5094307270233196,0.497592460299501,0.06135946928997549,0.4969953326793139,0.5072222222222222,0.04298490818835829,-0.005508261668872483,0.10215433383990437,0.014455235734239083,0.0865725400847372,0.49148148148148146,0.0490422678199307
olive_oil_regular_cohort,0.35099009900990097,514.0,0.5232545387042346,0.042853580008690224,0.5216064453125,0.4946163075261049,0.0543743030671908,0.4892865110321104,0.5179507211538461,0.038384024109629905,-0.007203347425770029,0.08520183633475199,0.03608353176685283,0.0774182173546049,0.49277524038461534,0.042653470805246375
whole_grain_frequency_rare_cohort,0.01336633663366337,932.0,0.6471480569371034,0.03247128298790171,0.647098367439022,0.5054243758529126,0.039972773120887505,0.5019011646233397,0.6046743295019158,0.030456122859959134,0.00887213255459406,0.06052493252683197,0.20989654694773194,0.061059414521025014,0.5006156056587092,0.03016639738493344
vitamin_d_supplement_frequency_daily_cohort,0.0100990099009901,2028.0,0.6355974411375109,0.027980631305522977,0.6353543352457258,0.49904281603711503,0.02888185609784073,0.49901574521534864,0.5983467971327796,0.026429126478228326,-0.001913848986363939,0.048939835888029734,0.19724582107317978,0.053038057432396674,0.4972276425076801,0.02484794941456947
one_liter_of_water_a_day_frequency_daily_cohort,0.17435643564356437,884.0,0.5478589445487482,0.03822965568334978,0.5454752066115702,0.498048115652794,0.036521798872438546,0.5003537055092944,0.5383554463554464,0.03720098824843844,-0.0004432347116430771,0.06478741954769927,0.07691902312990961,0.07468369350209335,0.4966257166257166,0.03295053283135634
milk_cheese_frequency_daily_cohort,0.0099009900990099,1076.0,0.715034911615988,0.02884210337775102,0.7157613168724279,0.5021570857064681,0.0357559770145326,0.4993176596795018,0.665089275843007,0.024408282556919552,-0.003896513878632382,0.061519397617161076,0.33087050182419103,0.0488276434669735,0.49589745715865113,0.030784719945666675
alcohol_frequency_occasional_cohort,0.011683168316831685,1406.0,0.6071864066136785,0.026744661935673823,0.6032331482438016,0.4960306995156963,0.02990463485311542,0.49743314090010105,0.5774964285714287,0.024183660275768487,-0.008525293196230762,0.05398193062311674,0.1556776624112387,0.048526265678646575,0.49326704545454547,0.026852085556428585
exercise_frequency_daily_cohort,0.0099009900990099,1240.0,0.6704330905306973,0.024957491205066826,0.6706763787721124,0.5031189458840237,0.03138317668957883,0.5061374001780936,0.6267096774193548,0.02506632201739435,0.00418169461045053,0.054920333537586664,0.253996872958248,0.05030039893811955,0.4996774193548387,0.026956240794924737
ready_to_eat_meals_frequency_occasional_cohort,0.0099009900990099,1340.0,0.6507655076751259,0.026380581641645525,0.6512276785714286,0.49891336461468083,0.0334384777072837,0.49849167681818674,0.6084181636726548,0.023426102992823602,-0.0012723398514392359,0.06191067428682208,0.2172881744223014,0.04688002688444696,0.4978626675220987,0.0312555106876843
vegetable_frequency_occasional_cohort,0.506930693069307,246.0,0.511283159902879,0.06363158329943425,0.5207012371372413,0.5123004860275208,0.0853200568887311,0.519853709508882,0.5074677419354839,0.05450037390841261,0.020524078961245702,0.14454707851361548,0.01478866236751863,0.11078348693551493,0.500989247311828,0.07113850910949142
probiotic_frequency_daily_cohort,0.022871287128712874,1288.0,0.5989774700050152,0.027153750893296125,0.6003529956406003,0.49882234840405615,0.0332544154610828,0.5004731665452371,0.5706211180124224,0.02360501784377227,-0.004350064517821418,0.05764360570257208,0.14168783843848462,0.04721625415319415,0.4965217391304347,0.02879429685182339
prepared_meals_frequency_rare_cohort,0.25425742574257426,596.0,0.5461696253550847,0.04183527002776778,0.5470720801882965,0.5036565259839684,0.04848916905423956,0.5010081242957956,0.5324018018018019,0.03835300777119037,0.00843400522583775,0.08425603994892111,0.06515319094161887,0.07723080952769006,0.49916216216216214,0.042696716233742285
milk_substitute_frequency_rare_cohort,0.656930693069307,1462.0,0.48808502066902926,0.02575451884624914,0.4867694119067745,0.5031428581296535,0.029329913080353192,0.5054661077982312,0.4903026481715006,0.02443667029318837,0.006809322631760749,0.05511981910114046,-0.019428026947781826,0.048972652557561884,0.5012819011589503,0.027502022878700336
fermented_plant_frequency_regular_cohort,0.12336633663366335,834.0,0.5651975732181432,0.03727916520811864,0.5713638147566719,0.4970272325016822,0.04079373617314642,0.49504110971431564,0.5437312271062271,0.034614696641587665,-0.0037318348779617934,0.06796568830612411,0.08768207745505745,0.06938871845941232,0.49444780219780227,0.034334255581187724
seafood_frequency_rare_cohort,0.06594059405940594,1088.0,0.5615197880622838,0.027426427940340135,0.5565798010380623,0.49325532700086283,0.03393632582050537,0.49321277368826266,0.5460661764705883,0.022879672221243846,-0.014753338987956898,0.054731628065103746,0.09250911645088779,0.045990175369840895,0.49080882352941174,0.02699390790555974
vitamin_d_supplement_frequency_regular_cohort,0.08792079207920793,926.0,0.5554828108247226,0.0278503411787139,0.5559415873959572,0.4911980350278845,0.03897364708324726,0.4901949641164995,0.5360929535232384,0.025767845392046032,-0.012982841775544738,0.06575372625051275,0.07238059335256536,0.05168690002352782,0.49074925037481265,0.03228765810735738
meat_eggs_frequency_occasional_cohort,0.1400990099009901,916.0,0.5595903681283931,0.03586555894773586,0.5601697890466224,0.5032617481209315,0.03646054387895769,0.5027949103609788,0.5447677345537758,0.03250453730165547,0.003915417069353802,0.06283885402564819,0.08980311411582947,0.06523411201228453,0.5001140350877192,0.031124911216046037
