,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,9,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0
1,4,4,1,0,1,3,0,0,1,0,0,0,0,0,0,0
2,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0
3,0,0,0,5,4,3,1,1,1,0,0,0,0,0,0,0
4,0,1,1,1,4,3,6,0,2,0,0,1,0,0,0,1
5,0,3,1,2,3,5,3,1,4,1,2,0,1,2,3,2
6,2,0,0,3,2,7,5,4,4,1,1,2,1,2,1,0
7,1,0,0,1,3,3,6,2,4,2,4,2,4,2,0,1
8,1,0,2,3,2,3,3,3,3,2,1,2,2,3,2,3
9,0,1,1,0,1,5,4,2,3,0,4,5,3,4,1,1
10,2,0,0,0,5,2,3,4,1,2,5,5,2,2,1,1
11,0,0,0,2,0,4,3,3,1,1,5,6,2,3,3,2
12,1,0,0,2,2,0,2,1,5,2,6,0,2,2,6,4
13,2,0,0,1,3,1,2,4,4,1,1,2,6,1,6,1
14,0,0,0,0,0,1,0,2,1,3,6,3,3,2,4,3
15,1,1,1,1,0,1,4,0,1,1,0,0,1,3,5,1
