,[0 - 5),[5 - 10),[10 - 15),[15 - 20),[20 - 25),[25 - 30),[30 - 35),[35 - 40),[40 - 45),[45 - 50),[50 - 55),[55 - 60),[60 - 65),[65 - 70),[70 - 75),75+
[0 - 5),0.49605263157894736,0.18289473684210528,0.02631578947368421,0.03684210526315789,0.017763157894736842,0.01118421052631579,0.0375,0.017763157894736842,0.05394736842105263,0.017763157894736842,0.019078947368421053,0.01644736842105263,0.011842105263157895,0.014473684210526316,0.021710526315789475,0.018421052631578946
[5 - 10),0.14893617021276595,0.42340425531914894,0.12127659574468085,0.05815602836879433,0.03333333333333333,0.04397163120567376,0.02127659574468085,0.01276595744680851,0.0475177304964539,0.012056737588652482,0.029787234042553193,0.007801418439716312,0.004964539007092199,0.002127659574468085,0.024822695035460994,0.007801418439716312
[10 - 15),0.028767123287671233,0.3095890410958904,0.24794520547945206,0.15753424657534246,0.06301369863013699,0.036986301369863014,0.0013698630136986301,0.00410958904109589,0.01780821917808219,0.03424657534246575,0.0136986301369863,0.0027397260273972603,0.028767123287671233,0.023287671232876714,0.00821917808219178,0.021917808219178082
[15 - 20),0.05503355704697987,0.06241610738255034,0.06040268456375839,0.30201342281879195,0.22684563758389262,0.09060402684563758,0.03422818791946309,0.032885906040268455,0.03758389261744966,0.012080536912751677,0.020134228187919462,0.016107382550335572,0.014093959731543624,0.012080536912751677,0.008053691275167786,0.015436241610738255
[20 - 25),0.035,0.0325,0.0265,0.2345,0.2095,0.11,0.077,0.0755,0.0475,0.015,0.021,0.05,0.026,0.0085,0.0205,0.011
[25 - 30),0.022822822822822823,0.03543543543543543,0.03423423423423423,0.08978978978978978,0.15555555555555556,0.13153153153153152,0.13453453453453454,0.06966966966966967,0.07237237237237237,0.030930930930930932,0.05765765765765766,0.045345345345345345,0.038138138138138135,0.03753753753753754,0.022822822822822823,0.021621621621621623
[30 - 35),0.04314285714285714,0.009142857142857144,0.008,0.062285714285714285,0.10857142857142857,0.12885714285714286,0.178,0.11228571428571428,0.084,0.04,0.05171428571428571,0.038,0.055142857142857146,0.03485714285714286,0.023142857142857142,0.022857142857142857
[35 - 40),0.032285714285714286,0.02542857142857143,0.014,0.060571428571428575,0.07057142857142858,0.08571428571428572,0.14542857142857143,0.10828571428571429,0.08628571428571429,0.056857142857142856,0.07342857142857143,0.07057142857142858,0.053714285714285714,0.032,0.03142857142857143,0.05342857142857143
[40 - 45),0.04314285714285714,0.03457142857142857,0.015142857142857144,0.056285714285714286,0.06857142857142857,0.07771428571428571,0.11142857142857143,0.10685714285714286,0.10914285714285714,0.053142857142857144,0.06942857142857142,0.061142857142857145,0.05857142857142857,0.03857142857142857,0.053714285714285714,0.04257142857142857
[45 - 50),0.023428571428571427,0.017142857142857144,0.018571428571428572,0.05857142857142857,0.055714285714285716,0.08314285714285714,0.07371428571428572,0.09685714285714286,0.07971428571428571,0.07514285714285714,0.10342857142857143,0.09514285714285714,0.053714285714285714,0.05085714285714286,0.052,0.06285714285714286
[50 - 55),0.03314285714285714,0.016,0.010571428571428572,0.031714285714285716,0.05771428571428571,0.06542857142857143,0.08742857142857142,0.08457142857142858,0.11314285714285714,0.072,0.11314285714285714,0.07342857142857143,0.055714285714285716,0.05285714285714286,0.06885714285714285,0.06428571428571428
[55 - 60),0.018857142857142857,0.011142857142857144,0.004285714285714286,0.027142857142857142,0.05142857142857143,0.06571428571428571,0.07742857142857143,0.07571428571428572,0.082,0.07457142857142857,0.09857142857142857,0.10085714285714285,0.09342857142857143,0.08571428571428572,0.06028571428571428,0.07285714285714286
[60 - 65),0.014857142857142857,0.014571428571428572,0.014285714285714285,0.037714285714285714,0.04057142857142857,0.06428571428571428,0.06914285714285714,0.07685714285714286,0.06314285714285714,0.06914285714285714,0.08971428571428572,0.08828571428571429,0.09657142857142857,0.08571428571428572,0.09,0.08514285714285715
[65 - 70),0.026571428571428572,0.011142857142857144,0.012857142857142857,0.016285714285714285,0.02857142857142857,0.07,0.072,0.06085714285714286,0.06971428571428571,0.060571428571428575,0.07657142857142857,0.10571428571428572,0.10114285714285715,0.07714285714285714,0.10742857142857143,0.10342857142857143
[70 - 75),0.022661870503597123,0.008992805755395683,0.012949640287769784,0.02446043165467626,0.03273381294964029,0.046762589928057555,0.07733812949640288,0.04928057553956835,0.07625899280575539,0.04928057553956835,0.10575539568345324,0.07158273381294963,0.060071942446043164,0.07625899280575539,0.1593525179856115,0.1262589928057554
75+,0.02475728155339806,0.011650485436893204,0.011650485436893204,0.02330097087378641,0.01262135922330097,0.03737864077669903,0.06407766990291262,0.07524271844660194,0.06407766990291262,0.05048543689320388,0.07281553398058252,0.07572815533980583,0.09805825242718447,0.10339805825242719,0.1470873786407767,0.12766990291262137
