,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,7,3,0,0,0,0,2,0,0,1,1,0,1,0,0,0
1,3,3,0,0,1,1,1,0,1,1,0,1,1,1,0,0
2,1,2,0,0,0,1,1,0,1,0,0,0,1,0,0,0
3,0,1,0,0,3,2,2,1,0,1,0,2,1,1,1,0
4,3,0,0,0,1,2,5,0,5,1,0,1,2,0,0,0
5,0,0,0,1,5,5,7,2,4,1,3,2,1,2,0,0
6,0,1,0,0,2,2,11,4,4,5,2,1,2,1,0,0
7,0,0,0,0,0,5,4,5,6,1,7,4,0,3,0,0
8,2,0,1,0,0,3,8,3,2,4,6,1,2,3,0,0
9,0,2,0,0,0,2,3,2,2,3,5,3,5,8,0,0
10,0,0,0,0,0,0,5,6,1,5,3,8,5,2,0,0
11,1,0,0,0,0,2,5,3,4,4,2,5,6,2,1,0
12,0,1,0,0,0,1,5,3,1,5,5,4,7,1,1,1
13,1,0,0,0,0,1,2,4,3,2,7,5,6,4,0,0
14,1,1,0,0,0,2,1,0,1,4,2,3,6,4,1,1
15,0,0,0,0,0,1,2,1,3,1,3,5,1,2,0,1
