,[0 - 5),[5 - 10),[10 - 15),[15 - 20),[20 - 25),[25 - 30),[30 - 35),[35 - 40),[40 - 45),[45 - 50),[50 - 55),[55 - 60),[60 - 65),[65 - 70),[70 - 75),75+
[0 - 5),0.4236842105263158,0.09736842105263158,0.003289473684210526,0.003289473684210526,0.010526315789473684,0.08355263157894736,0.0756578947368421,0.049342105263157895,0.060526315789473685,0.03223684210526316,0.038157894736842106,0.029605263157894735,0.04078947368421053,0.03881578947368421,0.009868421052631578,0.003289473684210526
[5 - 10),0.14893617021276595,0.2907801418439716,0.0028368794326241137,0.010638297872340425,0.009219858156028368,0.10425531914893617,0.09078014184397164,0.07163120567375887,0.08368794326241134,0.04326241134751773,0.03333333333333333,0.03049645390070922,0.024113475177304965,0.04468085106382979,0.010638297872340425,0.0007092198581560284
[10 - 15),0.0589041095890411,0.2054794520547945,0.00410958904109589,0.0136986301369863,0.026027397260273973,0.16164383561643836,0.10821917808219178,0.07397260273972603,0.10410958904109589,0.052054794520547946,0.04794520547945205,0.023287671232876714,0.04246575342465753,0.06575342465753424,0.012328767123287671,0.0
[15 - 20),0.05771812080536913,0.021476510067114093,0.003355704697986577,0.04563758389261745,0.09261744966442953,0.2302013422818792,0.14563758389261744,0.10268456375838926,0.11342281879194631,0.04697986577181208,0.03691275167785235,0.0348993288590604,0.02214765100671141,0.03758389261744966,0.008053691275167786,0.0006711409395973154
[20 - 25),0.0545,0.018,0.0,0.0355,0.057,0.225,0.148,0.0895,0.1015,0.046,0.061,0.0545,0.046,0.044,0.0175,0.002
[25 - 30),0.027927927927927927,0.012912912912912912,0.0006006006006006006,0.006306306306306306,0.03633633633633634,0.2042042042042042,0.16276276276276277,0.09789789789789789,0.1036036036036036,0.06126126126126126,0.06966966966966967,0.07357357357357357,0.05975975975975976,0.06846846846846846,0.012012012012012012,0.002702702702702703
[30 - 35),0.024,0.008857142857142857,0.00028571428571428574,0.007714285714285714,0.015142857142857144,0.134,0.20971428571428571,0.11,0.09171428571428572,0.07485714285714286,0.08628571428571429,0.07342857142857143,0.08,0.06542857142857143,0.014285714285714285,0.004285714285714286
[35 - 40),0.030285714285714287,0.011714285714285714,0.004571428571428572,0.008285714285714285,0.014,0.11057142857142857,0.14714285714285713,0.12114285714285715,0.09514285714285714,0.08,0.09114285714285714,0.104,0.088,0.074,0.018285714285714287,0.0017142857142857142
[40 - 45),0.025142857142857144,0.007142857142857143,0.0008571428571428571,0.0037142857142857142,0.015428571428571429,0.12314285714285714,0.11714285714285715,0.09257142857142857,0.12971428571428573,0.08457142857142858,0.09428571428571429,0.09285714285714286,0.09457142857142857,0.09971428571428571,0.01742857142857143,0.0017142857142857142
[45 - 50),0.024285714285714285,0.014857142857142857,0.0,0.0054285714285714284,0.009714285714285713,0.09371428571428571,0.11828571428571429,0.09771428571428571,0.09142857142857143,0.09257142857142857,0.10571428571428572,0.11285714285714285,0.11428571428571428,0.09428571428571429,0.022,0.002857142857142857
[50 - 55),0.02457142857142857,0.007142857142857143,0.00028571428571428574,0.002857142857142857,0.0034285714285714284,0.07628571428571429,0.114,0.09314285714285714,0.08514285714285715,0.09114285714285714,0.10914285714285714,0.13057142857142856,0.13285714285714287,0.10457142857142857,0.021714285714285714,0.003142857142857143
[55 - 60),0.014,0.007142857142857143,0.0,0.002,0.004571428571428572,0.07085714285714285,0.08742857142857142,0.092,0.08228571428571428,0.09028571428571429,0.116,0.132,0.1402857142857143,0.12857142857142856,0.028,0.004571428571428572
[60 - 65),0.010571428571428572,0.006285714285714286,0.00028571428571428574,0.003142857142857143,0.008285714285714285,0.06571428571428571,0.08257142857142857,0.06885714285714285,0.08628571428571429,0.08542857142857142,0.11542857142857142,0.13657142857142857,0.1337142857142857,0.144,0.044,0.008857142857142857
[65 - 70),0.018571428571428572,0.009714285714285713,0.002,0.002285714285714286,0.0054285714285714284,0.06971428571428571,0.08485714285714285,0.07142857142857142,0.074,0.08142857142857143,0.104,0.126,0.162,0.138,0.04285714285714286,0.007714285714285714
[70 - 75),0.022661870503597123,0.006474820143884892,0.00035971223021582735,0.0007194244604316547,0.004316546762589928,0.05539568345323741,0.07302158273381296,0.07589928057553957,0.08237410071942446,0.08165467625899281,0.10575539568345324,0.10215827338129496,0.1593525179856115,0.16762589928057553,0.048561151079136694,0.013669064748201438
75+,0.018932038834951457,0.0033980582524271844,0.0,0.001941747572815534,0.002912621359223301,0.05048543689320388,0.08106796116504854,0.06067961165048544,0.0645631067961165,0.07330097087378641,0.10339805825242719,0.13689320388349516,0.1524271844660194,0.17184466019417477,0.06165048543689321,0.01650485436893204
