,p_val,n_samples,auc_mean,auc_std,auc_median,shuffled_auc_mean,shuffled_auc_std,shuffled_auc_median,acc_mean,acc_std,shuffled_matthews_mean,shuffled_matthews_std,matthews_mean,matthews_std,shuffled_accuracy_mean,shuffled_accuracy_std
dpsvars1_1bestmatched,0.18455445544554455,350.0,0.5594996457768103,0.05282143561399197,0.5630360838335665,0.48757026179316787,0.05793413709831145,0.4812141980360065,0.5384090909090908,0.04628097871805264,-0.021625350745777604,0.09790034091670939,0.07743597529001253,0.09307885380295,0.4878911205073996,0.048864163472757155
dpsvars2-3_1bestmatched,0.3545544554455446,350.0,0.5404832045689204,0.048017701369793574,0.5369318181818182,0.5039672618677754,0.06762530641000408,0.508800011800217,0.5347225158562368,0.04896484331582218,0.005819479768530933,0.11586276303154006,0.06997595581520416,0.09870722586701577,0.5017441860465116,0.05810030148464301
dpsvars3-4_1bestmatched,0.16950495049504952,350.0,0.5803582431200247,0.05166861409095738,0.577995867768595,0.4990331808374212,0.06269446774053601,0.5027020676691729,0.5553224101479916,0.04649455559490134,0.006238633354690834,0.10541833704249598,0.11146330696783767,0.09356723959306708,0.5024286469344609,0.05195912013399855
alcfreqvars2_1bestmatched,0.5457425742574258,350.0,0.4995990182318787,0.05618782802770698,0.49483471074380164,0.5037809950830893,0.0639195798013083,0.5027417380660955,0.5014561310782241,0.04989372478748979,-0.0012233422204055288,0.11015904940098768,0.0028797602053811603,0.10063817547090426,0.4975554968287526,0.05370006657414604
alcfreqvars3_1bestmatched,0.2722772277227723,350.0,0.54978304108989,0.054788787751536144,0.546745867768595,0.49436388305095214,0.0671530093801229,0.5002587991718427,0.5466622621564483,0.04997531638158967,-0.014450096706639095,0.11218765038799314,0.09393873899707338,0.1007003782867611,0.49122093023255814,0.054965309065101976
dpsvars1-2_1bestmatched,0.5823762376237623,350.0,0.4770531787340935,0.05304607573244775,0.4826962809917355,0.49533225662165903,0.06341297188697916,0.4874722317156528,0.48770348837209304,0.04899867164788404,-0.014387060623186572,0.10002452534382683,-0.02470165532203962,0.09848258590735988,0.49210095137420706,0.05011921119771691
newgroupvarsGroup1_1bestmatched,0.5788118811881188,350.0,0.4889698334815782,0.046416265805734165,0.48915289256198347,0.5058592440099772,0.05930003324086415,0.5012929264411478,0.48971458773784365,0.04382441385684559,0.003085582024641382,0.10058258988546634,-0.02070039054316155,0.08820828063342538,0.5002801268498943,0.04995753133188417
alcfreqvars4_1bestmatched,0.10257425742574258,350.0,0.6080635417178819,0.05576697716494264,0.6146694214876033,0.4993917695077674,0.05919894106656689,0.4987831274416641,0.5789059196617337,0.05223394312980454,-0.00669898814326422,0.09783303065123301,0.15885323330350537,0.10487487463893108,0.49566596194503165,0.048245435946532654
newgroupvarsGroup2_1bestmatched,0.3021782178217822,350.0,0.5384100295446723,0.049874797080079226,0.5382231404958677,0.4981501531847896,0.06753432728585602,0.4923381542699725,0.5251664904862579,0.047833781880975465,-0.0004927178042362565,0.11530592020191645,0.0507646691337302,0.09635167535826038,0.4995983086680761,0.05695649716545484
newgroupvarsGroup3_1bestmatched,0.06425742574257427,350.0,0.6253458564826196,0.04221489952967452,0.6219008264462811,0.513342748297176,0.0580885847053648,0.520903914925654,0.5881580338266386,0.04107443965834155,0.020569269881153554,0.10543853599157649,0.17791723162259696,0.08327353110133857,0.5095295983086681,0.05345812152756053
alcfreqvars1_1bestmatched,0.6504950495049505,350.0,0.4689774571021191,0.059611793366893324,0.4635847107438016,0.5014023785915017,0.07087818142737491,0.49881691807157647,0.4816437632135306,0.05258586017550495,-0.004248077694415126,0.12133471399564626,-0.0368612223638376,0.10593580207133334,0.49707188160676535,0.060096621222624096
