,p_val,n_samples,auc_mean,auc_std,auc_median,shuffled_auc_mean,shuffled_auc_std,shuffled_auc_median,acc_mean,acc_std,shuffled_matthews_mean,shuffled_matthews_std,matthews_mean,matthews_std,shuffled_accuracy_mean,shuffled_accuracy_std
diabetes_alldiet_unmatched,0.022475247524752478,126.0,0.7795154513888889,0.06754405172879888,0.7859114583333333,0.5025124028437592,0.10878752587501885,0.5107142857142857,0.7034583333333333,0.06743709774877459,-0.009618831775124532,0.18805135516819027,0.41294180987295737,0.13540592769044116,0.4929375,0.0932672268679566
asd_alldiet_unmatched,0.304950495049505,200.0,0.5553599999999999,0.0665471141372787,0.5616,0.5000561396079592,0.07383007798901228,0.5044167286015112,0.5294,0.058134671238427076,-0.005683414596903858,0.13575195094247722,0.05944598866884374,0.11748127830113483,0.49800000000000005,0.06684309986827362
kidney_disease_alldiet_unmatched,0.6296039603960396,102.0,0.438425788954635,0.09567737885705237,0.4378698224852071,0.4902789400544372,0.11147637517565293,0.48502779272010044,0.45708333333333334,0.08408303669290453,-0.005317906897346477,0.17480286373497594,-0.08724852603058313,0.1707580270792945,0.49304487179487166,0.08863562279099564
cardiovascular_disease_alldiet_unmatched,0.2505940594059406,260.0,0.5660389584768136,0.06009906214230396,0.5679522497704316,0.5001842453984967,0.07421786774660222,0.49133865940214927,0.5385890151515152,0.058458085407513696,0.008430692969198591,0.11712653692099576,0.07791931375427946,0.11768308856161667,0.5024526515151515,0.05845359366002333
sibo_alldiet_unmatched,0.20930693069306933,138.0,0.6013011021402025,0.06519224205727292,0.6072664359861591,0.503281945577565,0.09693678782706194,0.5071022727272727,0.5871241830065359,0.061682900489022814,0.005081945128379173,0.17318982304166494,0.17710318222884086,0.12491419429528874,0.5020588235294118,0.0825561671826301
add_adhd_alldiet_unmatched,0.33683168316831685,322.0,0.5397665452111838,0.05116128948159043,0.5387500000000001,0.503812676939713,0.059914287395911196,0.5097497531708057,0.5337286585365854,0.048730474647334925,0.004960260208234161,0.09919625799717494,0.0683173004247435,0.09825449124834353,0.5003780487804879,0.0482455061818817
liver_disease_alldiet_unmatched,0.42306930693069317,136.0,0.514083044982699,0.07593284286788064,0.5017301038062283,0.4931010831002625,0.09492940793886043,0.4895829539246038,0.5194117647058824,0.06352124130466764,-0.021664362563970162,0.17115763546273624,0.03942269623380307,0.12888479313767678,0.48941176470588243,0.08293074611095111
ibd_alldiet_unmatched,0.01198019801980198,360.0,0.6980592592592592,0.04662012206259145,0.6995061728395062,0.48819969865548674,0.059139461726202276,0.49464967837704105,0.6493333333333333,0.040286627380298444,-0.017791724162794367,0.10108482975092521,0.3005423828785163,0.08068729689850081,0.4887777777777778,0.0504668330150397
lung_disease_alldiet_unmatched,0.138019801980198,1018.0,0.5562904852030406,0.03366879239194,0.5573191146382293,0.49976157756687273,0.03518261066430767,0.49467385449806256,0.5410992864173229,0.028826956435699578,0.0007584188300517083,0.0628420892450027,0.0824338563772928,0.05783087573103735,0.4999381766732282,0.03137205672619876
migraine_alldiet_unmatched,0.12247524752475247,1012.0,0.5549075461031999,0.028125359334891773,0.5564688838498362,0.49945388684176406,0.03528256648653839,0.504105575122198,0.5432474065741782,0.025833884141110156,0.00418951310336396,0.05886711469084038,0.08664648000604488,0.051772663925503004,0.5019719410073741,0.02944921552986613
autoimmune_alldiet_unmatched,0.07465346534653466,814.0,0.5832713671089607,0.03301291835848142,0.5859284890426759,0.5019841647871831,0.04209110412039124,0.5000008361186536,0.5563905066977286,0.02947353989706134,0.0004336843939406582,0.0728270884764654,0.11326599020258694,0.059166431368586125,0.49980828965249474,0.03562050865857436
acid_reflux_alldiet_unmatched,0.14168316831683167,908.0,0.5514166798697628,0.0331613634053449,0.5481301939058171,0.4968668990377668,0.03620735294665616,0.4927780705765381,0.5350756870051234,0.03290580628992292,-0.0037305618641638194,0.06454081532588113,0.07027236020492576,0.06591489680641265,0.49778140040366403,0.032149712544463076
thyroid_alldiet_unmatched,0.17811881188118808,788.0,0.5540037723203196,0.031176398112722666,0.5522865137009496,0.5004447373921407,0.045281318588408094,0.4926098473653598,0.5373448773448773,0.029944440215268996,0.004382139521132063,0.07810145200919688,0.07489229417650678,0.06011222694794326,0.5017212945784375,0.03874147851374548
cancer_alldiet_unmatched,0.20980198019801982,470.0,0.5583311187178503,0.0424676726440253,0.5604711289859237,0.5049450452765523,0.04668602644002213,0.5044048095690906,0.5396420222092343,0.04022727654533311,0.01532608225107958,0.08191669230764499,0.07963788878191531,0.08076460819546435,0.5065122735242549,0.040655692696654526
celiac_cohort_alldiet_unmatched,0.34712871287128716,114.0,0.5686632653061224,0.09757495325580098,0.5688775510204082,0.5129785185027472,0.10045744179007407,0.5145666221033869,0.5542857142857143,0.08845614617378697,0.016382943650001067,0.1772391322120669,0.11149059736647,0.1800331639615963,0.5040238095238094,0.08913650707439705
fungal_overgrowth_alldiet_unmatched,0.176039603960396,316.0,0.5752789160092044,0.05683989276034681,0.5773759040105193,0.4996571017727518,0.055513613812591275,0.49826617978947835,0.5602980769230769,0.05095068532633822,0.003919088059717735,0.09636419486970911,0.1219225598707512,0.10280100839113733,0.5004551282051282,0.048306825945603746
skin_condition_alldiet_unmatched,0.02128712871287129,2202.0,0.6027509574400128,0.030011924243600867,0.6038250588892882,0.5016124859724954,0.03069284686218638,0.5019984806567304,0.6392761576971214,0.020448252071937845,0.007926154201023675,0.048158377744985645,0.13156513743839265,0.0491307636225429,0.5777917203322336,0.022314463877321947
mental_illness_type_depression_alldiet_unmatched,0.2330693069306931,788.0,0.5357272435969759,0.03220708070745743,0.536827080050863,0.4985225593678962,0.03736351229167707,0.49663242383803097,0.5207879818594104,0.028442933867335964,-0.006444039120627069,0.06916894332730805,0.04169316100463022,0.057010794855793495,0.4960327767470625,0.03446509581741881
ibs_alldiet_unmatched,0.19673267326732677,1076.0,0.5328119344619572,0.02669873761740866,0.5308312622747084,0.49467901828166966,0.03380369849212581,0.4960326265818257,0.524941127694859,0.02832065585965991,-0.0027180333467011443,0.06429646484887977,0.05001129765383923,0.05680171744334196,0.49809646213377556,0.032271810756385945
