,p_val,n_samples,auc_mean,auc_std,auc_median,shuffled_auc_mean,shuffled_auc_std,shuffled_auc_median,acc_mean,acc_std,shuffled_matthews_mean,shuffled_matthews_std,matthews_mean,matthews_std,shuffled_accuracy_mean,shuffled_accuracy_std
diabetes_alldiet_unmatched,0.029306930693069316,126.0,0.7904238715277778,0.0725216458586124,0.79296875,0.5052543704136923,0.10742666111390432,0.49269841269841275,0.7262291666666667,0.07361457375241671,-0.021456938635912762,0.18512473797858617,0.4592410681356624,0.14748763121543057,0.47137500000000004,0.08756129797334995
asd_alldiet_unmatched,0.20495049504950497,200.0,0.59856,0.05706675389401433,0.5975999999999999,0.5147568563077026,0.08078467114474207,0.5108463396506875,0.5646,0.054615382448537336,0.025924881179462556,0.12896683053846822,0.13041931065357784,0.11039504070638917,0.5036,0.06421090250105506
kidney_disease_alldiet_unmatched,0.29950495049504955,102.0,0.5742032380013149,0.095977291369971,0.5786489151873767,0.4917355710534295,0.12229376509361725,0.49047619047619045,0.5657371794871795,0.0882120867391598,0.0033128415852523587,0.20866851910540676,0.13423065327757844,0.17893844733942385,0.4735256410256411,0.10894571644699896
cardiovascular_disease_alldiet_unmatched,0.3545544554455446,260.0,0.537706109389348,0.06497646407256168,0.5328282828282829,0.5014293207649007,0.07226293274961354,0.4900499131944444,0.5228693181818183,0.05838041301026861,0.006197982082932159,0.1167636625673242,0.046224882834494066,0.11809518770152974,0.4942092803030303,0.05844820383615963
sibo_alldiet_unmatched,0.2220792079207921,138.0,0.607233489256269,0.0882744839717828,0.6089965397923875,0.49951768772261784,0.10441062919084192,0.5099358974358974,0.5669771241830065,0.07371237041691046,0.008175421526026965,0.1666410351758006,0.13600783555647417,0.14937064996260702,0.4928921568627452,0.08231706832292156
add_adhd_alldiet_unmatched,0.12237623762376236,322.0,0.5937345218619869,0.047753975981475946,0.5915625,0.49845976821151167,0.0661378950746325,0.5040689603950252,0.5730274390243902,0.049463124769890794,0.0005117107029630637,0.11378694242339837,0.14765293518108663,0.1001521364097765,0.4897164634146342,0.05764515688038181
liver_disease_alldiet_unmatched,0.33524752475247527,136.0,0.5479238754325259,0.08467351446394335,0.546712802768166,0.49232424891593346,0.09099703272038372,0.49638027876014146,0.5229411764705884,0.07920233822699202,0.007988012771970856,0.15786132817982526,0.046196488283261866,0.16095130592167375,0.4941176470588235,0.08118925730495449
ibd_alldiet_unmatched,0.011089108910891089,360.0,0.7284296296296298,0.053917785529479845,0.7316049382716049,0.5059507755216844,0.055435627058958326,0.5108695652173912,0.6810000000000003,0.050437468925442104,0.001636941887552567,0.09599248314660637,0.3644065897013349,0.1011681299701421,0.4945555555555556,0.04818931288722853
lung_disease_alldiet_unmatched,0.010792079207920791,1018.0,0.6321061919119688,0.028461140633259847,0.6325463297288899,0.4948330258359721,0.04019065745994148,0.49457434704016695,0.5992196727362205,0.026405049614187975,-0.007752422635304175,0.06688315968319804,0.1992028946874161,0.053007049951702856,0.4939240895669292,0.033384902622805544
migraine_alldiet_unmatched,0.026237623762376244,1012.0,0.5922909238348081,0.029336658717040543,0.5962394952630671,0.493948106496497,0.03583885316117884,0.49171447896863146,0.567289088863892,0.02668167985290058,-0.007329657618153546,0.061933300879114764,0.1351028913498936,0.053622839846263724,0.49295806774153234,0.03103992683885707
autoimmune_alldiet_unmatched,0.05425742574257427,814.0,0.5954459497133379,0.03439185003666238,0.5952277970011535,0.49757986894245726,0.04457041884466914,0.4936420548478071,0.5709638905066976,0.031920521694882804,-0.004808019924248132,0.07942328685525439,0.1424000717247056,0.06405239569972712,0.49424480683362454,0.040569627770941676
acid_reflux_alldiet_unmatched,0.026138613861386144,908.0,0.6062039836543378,0.02744533460382037,0.605801785164666,0.4993630753104727,0.039753181624853196,0.49941933458882615,0.5782689023443566,0.026464337236311194,-0.0021055922477259664,0.07078373630572274,0.15688273248924725,0.05304471496677209,0.4964341717124671,0.03455807135462749
