,p_val,n_samples,auc_mean,auc_std,auc_median,shuffled_auc_mean,shuffled_auc_std,shuffled_auc_median,acc_mean,acc_std,shuffled_matthews_mean,shuffled_matthews_std,matthews_mean,matthews_std,shuffled_accuracy_mean,shuffled_accuracy_std
ibd_alldiet_matched,0.08841584158415838,340.0,0.6235528765318998,0.050628085341577415,0.6276365603028664,0.5098687016355568,0.058844187717749206,0.505880758807588,0.5962043189368772,0.04332949439247341,0.016653938561747773,0.09862397332421471,0.19374997050110265,0.08727210573171744,0.5078239202657807,0.04900699193547278
mental_illness_type_depression_alldiet_matched,0.47920792079207913,788.0,0.49736534536229743,0.036578029297896344,0.49617385981022344,0.49403997099578056,0.03809196768736969,0.4965154527907279,0.4968078746650175,0.03278869277225815,-0.010310085575051815,0.06656547640921728,-0.006330665151500317,0.06583793347239192,0.49443413729128016,0.033304381690878966
liver_disease_alldiet_matched,0.41099009900990113,136.0,0.514083044982699,0.07593284286788064,0.5017301038062283,0.4835530058703914,0.09373725986614598,0.485479797979798,0.5194117647058824,0.06352124130466764,-0.01706513672732236,0.1571822258137294,0.03942269623380307,0.12888479313767678,0.4894117647058823,0.07504554557090383
acid_reflux_alldiet_matched,0.32118811881188114,908.0,0.5308753956499709,0.03310249743918762,0.5312594420818676,0.5042359520759877,0.04098087338813396,0.5067821711339867,0.5239291259121255,0.029791824177593455,-0.0012230753026691394,0.076369545078376,0.04800761803099397,0.059769233907579176,0.49922488743983856,0.03786175955813917
kidney_disease_alldiet_matched,0.39930693069306933,102.0,0.5430580210387902,0.10104638637923383,0.5365918803418803,0.5009587465152369,0.10317560928063599,0.5044913419913419,0.532147435897436,0.09605064440319783,0.01567206766050232,0.1753776852079049,0.06426089621980478,0.19654938449077403,0.5060576923076923,0.08959109640231758
asd_alldiet_matched,0.47158415841584167,192.0,0.506892361111111,0.0731215932353781,0.5147569444444444,0.4993908450296764,0.06700552486390425,0.5065586419753086,0.5060416666666667,0.07206617088559035,-0.002530566870553861,0.12359766463374926,0.012158034747181367,0.14598600472997686,0.4979166666666666,0.06034478482483432
lung_disease_alldiet_matched,0.29534653465346533,1018.0,0.5265025236404233,0.03335505720249408,0.5287370574741149,0.5009662278636733,0.0387656290915546,0.5004212986734684,0.5175713582677166,0.030001380124416284,0.00808530775745295,0.06072727150455047,0.03519015224031965,0.06016884158470561,0.5034722563976378,0.03014612509822286
ibs_alldiet_matched,0.4687128712871288,1076.0,0.510507444810222,0.030996184688824042,0.5126698596569392,0.5042178557952482,0.03462241375959477,0.5117124893648306,0.5036415146489773,0.029296162052598353,0.007292906358421307,0.059235356820525165,0.007314828622837173,0.05873670298988359,0.5024867330016584,0.029180783684968712
cancer_alldiet_matched,0.4154455445544555,470.0,0.5145568725211536,0.039715653507935586,0.5139327779373744,0.5009677023011075,0.0549439049964332,0.49212643678160917,0.5119623027469316,0.04207762391981974,-0.0003067139026303517,0.10567269495201888,0.024097398926973122,0.08447962038466038,0.49867182933956755,0.052422921034747015
migraine_alldiet_matched,0.3099009900990099,1018.0,0.5252556364182552,0.028090968267497896,0.5254510509021018,0.5023038470306319,0.039024623961659136,0.5008208594845065,0.5188465797244094,0.02627856226103355,0.0005998211497970367,0.06785930193127765,0.03779142399471298,0.052740464868784934,0.49963674950787407,0.03388877063115928
