,p_val,n_samples,auc_mean,auc_std,auc_median,shuffled_auc_mean,shuffled_auc_std,shuffled_auc_median,acc_mean,acc_std,shuffled_matthews_mean,shuffled_matthews_std,matthews_mean,matthews_std,shuffled_accuracy_mean,shuffled_accuracy_std
ibd_alldiet_matched,0.056435643564356444,340.0,0.6489467371588981,0.0527563268860296,0.649728771082978,0.5111858289596678,0.06176280700869894,0.5106962481962483,0.608579734219269,0.04904903197817741,0.015102225940294721,0.11690791397463889,0.21863706869834218,0.09862702534305137,0.5009911406423034,0.05759184337960462
mental_illness_type_depression_alldiet_matched,0.3743564356435644,788.0,0.5142839077186193,0.03282944939352977,0.5141996200227934,0.4967452431796991,0.037721164458180474,0.4977767915676909,0.5121851164708308,0.032057398276369886,8.706075821743293e-05,0.06987100235475813,0.02445735222159495,0.06433358495173769,0.4961399711399712,0.03474898784387218
liver_disease_alldiet_matched,0.3622772277227724,136.0,0.5479238754325259,0.08467351446394335,0.546712802768166,0.49571023337186454,0.10729703560828407,0.49393862937331795,0.5229411764705884,0.07920233822699202,0.006007085251152854,0.18928498460445634,0.046196488283261866,0.16095130592167375,0.4905882352941176,0.09187399223842942
acid_reflux_alldiet_matched,0.18782178217821785,908.0,0.546582277609904,0.030493403677919657,0.5444559864573715,0.49927523806074087,0.039634515535021314,0.49794688740206094,0.5343642291569631,0.027177374610301175,0.0036412768630226743,0.07187688845128334,0.0689320181630051,0.05447596126145955,0.4995811985716504,0.03596344502152308
kidney_disease_alldiet_matched,0.4585148514851486,102.0,0.5088145134779749,0.09112611969446503,0.5113823142669296,0.4919365213851215,0.1154501186273208,0.49852071005917153,0.507403846153846,0.08750022893742944,-0.01007262987823492,0.19322495767801462,0.014509076617661877,0.17948446035359267,0.47612179487179496,0.0952849361556453
asd_alldiet_matched,0.3797029702970296,192.0,0.5440538194444443,0.07215441267380329,0.5434027777777778,0.5044243414946952,0.09691597449430764,0.5035913538635861,0.5310416666666667,0.060488104317203466,-0.005841939794225403,0.16709625564423897,0.06364267206130504,0.12353587968282323,0.4877083333333333,0.08260593997676222
lung_disease_alldiet_matched,0.18188118811881185,1018.0,0.5408574400693723,0.029436375900068135,0.5433634227558982,0.49619024116198096,0.039024507905751106,0.49680278337300865,0.5342934916338582,0.027446789308807718,-0.002366018670311819,0.06496856995319641,0.0687893593995629,0.05507647096742015,0.4958772145669291,0.032044145367541715
ibs_alldiet_matched,0.23217821782178216,1076.0,0.5391850493707985,0.03274941302656595,0.5356816288620163,0.5020929942781286,0.03709546546420854,0.5031089612372726,0.5266553344389164,0.027343569111082,0.0014732142552068088,0.057104153561533776,0.0534179754892705,0.054780580522501655,0.49773991155334435,0.028673651281468128
cancer_alldiet_matched,0.2769306930693069,470.0,0.5504252134314322,0.04573415981753027,0.5514220051709279,0.5066641275524415,0.050997666192228494,0.5161290322580645,0.5295821157218001,0.04068436026399243,0.005230551290342266,0.08933559756629073,0.059513029628126525,0.08183036756898025,0.4983518410286382,0.04444047679888841
migraine_alldiet_matched,0.1506930693069307,1018.0,0.5511089673332911,0.0265356224842513,0.552746605493211,0.499137550402514,0.038511276941887045,0.49458309937142236,0.5349615526574802,0.024445386927683166,-0.0006303593898864425,0.06645153414938508,0.07012234127712036,0.04902998879432751,0.49578863188976385,0.033413843491524944
sibo_alldiet_matched,0.4263366336633663,138.0,0.5269966145499594,0.08718579667654476,0.5351413986073732,0.5039706518629334,0.09549716026813801,0.495467032967033,0.5187908496732025,0.06990313718389081,0.02191129710518464,0.1667592943178929,0.03821169512246523,0.14211600355667262,0.4963398692810458,0.08474900308474635
skin_condition_alldiet_matched,0.0099009900990099,2202.0,0.6624032325028945,0.024683071911843588,0.6600909090909091,0.4944358509390267,0.028041278689795713,0.4921128609868397,0.7343992702999961,0.004634628814139098,-0.004956446845563998,0.03766409609888714,0.05684525704740254,0.05388993900776517,0.7311736632912351,0.019277523510286523
add_adhd_alldiet_matched,0.38930693069306943,334.0,0.5369542209110493,0.061284600118205905,0.5393990929705215,0.5114961499940675,0.06370576375284397,0.5155540749394569,0.5258478513356561,0.05466800347370034,0.020897365418030552,0.1129610746754319,0.052220285438082666,0.11006734292002392,0.5023170731707317,0.05656037786998338
autoimmune_alldiet_matched,0.288019801980198,786.0,0.5334658110603423,0.03561269489445273,0.5325987144168962,0.5040253301546666,0.036436073538324974,0.5027600262043593,0.5267192331478046,0.02968568139411244,0.007174350702025996,0.06618515446603339,0.05367739997880185,0.059615859919401555,0.5001530612244899,0.03259855705160635
fungal_overgrowth_alldiet_matched,0.3927722772277228,318.0,0.5248411119329388,0.05849433607749647,0.5245311472715319,0.500050673736836,0.06561447627545831,0.5025205058099795,0.5153846153846154,0.053060720771182485,-0.006481190794329248,0.10421740985850735,0.031002500279298982,0.10687184930151841,0.49138461538461536,0.053926742197145286
cardiovascular_disease_alldiet_matched,0.5460396039603961,260.0,0.4771121504462236,0.05826197486345715,0.47750229568411384,0.488853297509516,0.0703031350780498,0.4832816377171216,0.47919034090909096,0.05447069690092163,-0.019222705451784627,0.12755226150283222,-0.04203640496654317,0.11030882260967126,0.47922348484848487,0.06195206033296665
diabetes_alldiet_matched,0.3658415841584158,126.0,0.5471127604166667,0.08514630928902882,0.5425954861111111,0.4905353969324291,0.11380570278860182,0.503937251984127,0.5255624999999999,0.07359438325393983,-0.014640457988933724,0.17729339276973355,0.05165476108243985,0.1495955030612494,0.4800625,0.08786494084594326
thyroid_alldiet_matched,0.28158415841584156,794.0,0.5325390504540352,0.03431637305018599,0.5337975716763597,0.5022665871355279,0.038696080375922995,0.5054608553638869,0.5223752525252526,0.0309705086103097,0.008740789118140236,0.07129228560825009,0.04498421442587672,0.06221176710150828,0.5012070707070707,0.03517496931744237
celiac_cohort_alldiet_matched,0.19237623762376238,114.0,0.6223240362811793,0.09407573326473008,0.6245578231292517,0.5038345235639546,0.09669379447151118,0.5182291666666666,0.5839047619047618,0.07956808006405186,0.016542059968386293,0.17871502602429623,0.1726203463288007,0.16263891995853993,0.4897380952380953,0.0920980541993238
