,p_val,n_samples,auc_mean,auc_std,auc_median,shuffled_auc_mean,shuffled_auc_std,shuffled_auc_median,acc_mean,acc_std,shuffled_matthews_mean,shuffled_matthews_std,matthews_mean,matthews_std,shuffled_accuracy_mean,shuffled_accuracy_std
dpsvars1-2_1bestmatchedcohort,0.2897029702970297,350.0,0.5516266917788932,0.047782964866928984,0.5519111570247934,0.505817436695731,0.0621526912570291,0.50937564499484,0.5389297040169133,0.043935825072725115,0.0016172882674038499,0.10938174337722235,0.07836648393782371,0.08844709665327005,0.4930655391120508,0.05383385198015489
alcfreqvars1_1bestmatchedcohort,0.3777227722772277,350.0,0.5282633397994896,0.05247256374115895,0.5316965502907536,0.5039475172759694,0.05675440667351974,0.5047835070068272,0.5182346723044396,0.04578257844520897,0.007084360906602113,0.10364078734993039,0.036632634939509835,0.09218175074453681,0.49654862579281184,0.05336961644290894
dpsvars1_1bestmatchedcohort,0.4374257425742574,350.0,0.5155665727286136,0.05231046020484084,0.5149793388429753,0.49950166240566124,0.07165689499524225,0.499180696352913,0.5139799154334038,0.04994729269416994,0.003823510192123262,0.1270009077243311,0.028123485161151675,0.10059051466883331,0.4951162790697674,0.06237564093134824
alcfreqvars2_1bestmatchedcohort,0.34623762376237627,350.0,0.5354177654662561,0.05901465307695526,0.5387396694214877,0.5045358646290615,0.05427392269394013,0.5063219608674154,0.5283165961945032,0.04487601956015245,0.003408848161153482,0.095795872058777,0.05707654790233981,0.09050569903222895,0.49518763213530653,0.04699194167370299
newgroupvarsGroup3_1bestmatchedcohort,0.06326732673267328,350.0,0.629817264972355,0.05158697729899948,0.6330061983471074,0.49770970231943484,0.05974602053974507,0.4999898538961039,0.5861390063424947,0.045926315088618684,-0.0029714782674539193,0.10295377571119227,0.17410079270659662,0.09276783815313842,0.49182082452431286,0.0509949352218054
newgroupvarsGroup2_1bestmatchedcohort,0.11257425742574256,350.0,0.6058652571861493,0.04775441763829002,0.6062527097515298,0.5124784979996526,0.055965892672715775,0.5125661972557349,0.5754677589852009,0.041288767376741684,0.022596973675439412,0.0897148216048742,0.1523109824753458,0.08325836454411607,0.5034751585623678,0.043886038316833256
alcfreqvars3_1bestmatchedcohort,0.12930693069306928,350.0,0.5936646470171502,0.056247692888319864,0.5981386800548878,0.49869002468617574,0.05693548582170513,0.5010703368084055,0.5600026427061311,0.05075006471693347,-0.007096585464783097,0.09760412792834204,0.12110567056622287,0.10218526225338889,0.4884830866807611,0.04936870976141136
alcfreqvars4_1bestmatchedcohort,0.07445544554455447,350.0,0.6308186382856046,0.05636297499834693,0.6340392561983471,0.5020388845200803,0.062071558171677116,0.5023525341636395,0.5864482029598308,0.055184099239305964,0.0023278468722080403,0.10907977727408956,0.17425937672412148,0.11131201686549572,0.4953884778012684,0.05477778899542102
newgroupvarsGroup1_1bestmatchedcohort,0.4006930693069307,350.0,0.5317503039391407,0.04988782628424279,0.5284090909090908,0.5098053776300572,0.06203266324155762,0.513613579403053,0.5220375264270612,0.04356486260467946,0.009743205693334527,0.10833806620703419,0.04449955325830047,0.08786222946497156,0.49911205073995774,0.05500915195132012
dpsvars3-4_1bestmatchedcohort,0.23930693069306927,350.0,0.5768056401382923,0.056976802953689884,0.5767982693347755,0.5112265096647962,0.066319057152125,0.5160523178710263,0.5528884778012686,0.04807047809465506,0.009383833922210802,0.10434486668846582,0.1065904667255561,0.09660622475151098,0.4966966173361522,0.051242971402358506
dpsvars2-3_1bestmatchedcohort,0.20099009900990097,350.0,0.5742163985223194,0.04536692578645858,0.5747675619834711,0.5052736719349223,0.06401388459834759,0.5096218487394958,0.5529915433403807,0.04387859174097652,0.013544261290037394,0.11070425725900046,0.10691365415829242,0.08882422102955037,0.4977484143763214,0.05530443950384084
